Clean Accuracy,94.21,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,87.914,1,1.6948177070568895,0.37082,1.5776467383662356,0.452
shot_noise,89.002,2,1.329383956501856,0.51664,1.5789089746113065,0.5006
impulse_noise,92.54,3,1.1314391188914208,0.59384,1.0895183312742016,0.6555
defocus_blur,76.814,4,1.0075856451793095,0.63996,1.1030860965764975,0.6667
glass_blur,68.878,5,0.9187737185022106,0.67384,1.0693084982377064,0.6808
motion_blur,75.342,6,0.8452918620975426,0.70004,0.8781248157537436,0.7275
zoom_blur,67.828,7,0.7886754420712171,0.72268,0.8111874544167821,0.7409
snow,84.242,8,0.7504408181170978,0.73754,0.8060590013673034,0.7524
frost,82.52,9,0.7230360680224036,0.7455,0.7509214583831497,0.7681
fog,83.58,10,0.688871344718177,0.75606,0.7900465368470059,0.7502
brightness,92.618,11,0.6597265257402454,0.76946,0.6172887554651574,0.8062
contrast,70.3,12,0.6350910947146013,0.77602,0.7146353310422052,0.7714
elastic_transform,83.968,13,0.6168302818942253,0.78054,0.5750994961473006,0.8064
pixelate,74.81,14,0.6000957498160164,0.78856,0.5265560084128682,0.8302
jpeg_compression,82.628,15,0.5834644176161198,0.7933,0.6403954212046876,0.8171
speckle_noise,89.332,16,0.5687539909044494,0.80228,0.5537547612492042,0.8295
gaussian_blur,63.364,17,0.5594669630765305,0.80344,0.7545354705822619,0.7629
spatter,88.692,18,0.550547896596172,0.80638,0.4990896918351137,0.8447
saturate,90.796,19,0.5377073176681538,0.80928,0.4806034827156912,0.8486
Average,81.32463157894736,20,0.5273806545740504,0.81462,0.4384402234720278,0.8617
,,21,0.5252000665878092,0.81554,0.5071521054340314,0.8379
,,22,0.5106783218091101,0.82194,0.4603740701192542,0.8647
,,23,0.5018069337853386,0.82244,0.4699681391821632,0.8571
,,24,0.4947994136444443,0.82512,0.46207610989295983,0.8636
,,25,0.49521107845903967,0.82558,0.4311429863866371,0.8679
,,26,0.479193180875705,0.83026,0.4572136045633992,0.864
,,27,0.4760016345459482,0.83168,0.4127155938480474,0.8794
,,28,0.472240895947532,0.83454,0.4376274903741064,0.8649
,,29,0.4664943136674974,0.83322,0.41626899397071404,0.8741
,,30,0.4652576853552133,0.83482,0.3873562037567549,0.8864
,,31,0.45579501994125676,0.83788,0.38948735217504865,0.8843
,,32,0.4515228914025495,0.8416,0.7648995816707611,0.7984
,,33,0.44485469295850494,0.84186,0.5074730556976946,0.8491
,,34,0.44184232196387124,0.84234,0.42749470566646963,0.8752
,,35,0.4381381528990348,0.84402,0.46755503231211554,0.8565
,,36,0.4335471567747843,0.84714,0.48554971323737617,0.8586
,,37,0.4304968896500595,0.84778,0.43208352787585197,0.8764
,,38,0.42032188748764565,0.85034,0.41283312477642975,0.8826
,,39,0.4237648191125801,0.85092,0.4576250233604938,0.8643
,,40,0.42263000612825996,0.8511,0.5656066435047343,0.8497
,,41,0.41333863859438835,0.85362,0.44100013167797764,0.8741
,,42,0.41591931791866527,0.85238,0.344394572927982,0.8952
,,43,0.4129572634578056,0.85392,0.3633114929440655,0.8896
,,44,0.40066238285025674,0.85804,0.390106068193158,0.8866
,,45,0.40235290239991434,0.8583,0.3352281852990766,0.8987
,,46,0.39995216694481844,0.8583,0.42626986831803865,0.8756
,,47,0.39816410306012234,0.85904,0.4218108229622056,0.8829
,,48,0.3941033952071539,0.8595,0.43777873753746854,0.8741
,,49,0.3969456124717317,0.8606,0.4204949776205835,0.8781
,,50,0.3856782152143586,0.86478,0.31068024001544037,0.9046
,,51,0.38215687341244936,0.8664,0.47813602602934535,0.872
,,52,0.3845579671432905,0.86332,0.48070050361035743,0.8691
,,53,0.37859869479675734,0.86528,0.4159087012462978,0.8821
,,54,0.3745385938516968,0.8684,0.35510582901254484,0.898
,,55,0.3766764785017809,0.8674,0.3436507975941972,0.9021
,,56,0.37885698992425526,0.86608,0.47177719975574106,0.8711
,,57,0.3809242699381031,0.86522,0.46589799951526184,0.8724
,,58,0.3707430649672628,0.86884,0.3771288655226744,0.8867
,,59,0.364608139752427,0.87194,0.4182998576684843,0.8779
,,60,0.36611224421302374,0.86892,0.33842197390674034,0.9042
,,61,0.36502772725908955,0.8708,0.40836953890474537,0.8894
,,62,0.3599644124584125,0.87146,0.4669583221025105,0.8754
,,63,0.3568495366045886,0.8741,0.48405147598514076,0.8663
,,64,0.3616949305738634,0.87314,0.36803505824336524,0.8948
,,65,0.35308196702424216,0.876,0.42416668673859365,0.882
,,66,0.3554423649216552,0.87312,0.36323261600506457,0.8947
,,67,0.354064165859881,0.87386,0.37158286335724816,0.8916
,,68,0.3496508087648455,0.87748,0.4065252201089376,0.8877
,,69,0.34503210490316993,0.87736,0.4537035915293271,0.8855
,,70,0.3464404548830388,0.87556,0.3519485562662535,0.9015
,,71,0.34509992492778224,0.87642,0.4405235385970224,0.8858
,,72,0.35110407465559135,0.876,0.35985458703546586,0.8975
,,73,0.33977247911798375,0.879,0.3317937335070175,0.9039
,,74,0.339985533519779,0.87914,0.43769048569323143,0.8851
,,75,0.3397966157597349,0.87902,0.4728594503447979,0.8826
,,76,0.3360145266556069,0.88138,0.5138992463486104,0.844
,,77,0.3346166813465031,0.88168,0.41821822712693035,0.8911
,,78,0.32912327635013844,0.88572,0.3339892353249502,0.9095
,,79,0.3357955484134157,0.87978,0.46181342288663113,0.8724
,,80,0.3284959368922217,0.88236,0.4531658661516407,0.8787
,,81,0.327722815487086,0.88278,0.32375999705135067,0.9076
,,82,0.32871074665842764,0.88418,0.3952592243499394,0.8939
,,83,0.32087835795281794,0.88748,0.396952234302895,0.8882
,,84,0.32877146466003965,0.88236,0.3934286348050154,0.8915
,,85,0.32217257696649304,0.88478,0.37037337500649165,0.9007
,,86,0.32374445968271826,0.88626,0.3360175394181964,0.9004
,,87,0.32053467917167927,0.88592,0.36387197135747235,0.9049
,,88,0.31474134005853893,0.88838,0.42269757324004475,0.89
,,89,0.3167252351560861,0.88832,0.33657356625116325,0.9047
,,90,0.31926003323339136,0.88756,0.362420224596428,0.9054
,,91,0.3107246645271321,0.88856,0.3469388864085644,0.9038
,,92,0.31410593606169573,0.8877,0.4281991017581541,0.8931
,,93,0.30723107741464434,0.89266,0.4028181912778299,0.894
,,94,0.3042156765680484,0.89164,0.38138556065438667,0.8886
,,95,0.3087911121070842,0.89112,0.42737673487089856,0.8825
,,96,0.3033194582328162,0.8919,0.5576665167567096,0.8538
,,97,0.3024263227229838,0.89178,0.5751119974670531,0.8673
,,98,0.2973574946069961,0.8966,0.4155695088490655,0.8982
,,99,0.304952521725079,0.89164,0.3820936458208893,0.8982
,,100,0.3053423928101654,0.8937,0.3674034723375417,0.9011
,,101,0.2987321320625827,0.89416,0.45768363113644756,0.8848
,,102,0.29490361414144717,0.8949,0.34351354761968683,0.9042
,,103,0.29937117007534825,0.89362,0.4065744797640209,0.8963
,,104,0.2941447165997132,0.89562,0.3609988711114171,0.9028
,,105,0.2879718793627551,0.89664,0.36393596005590656,0.9067
,,106,0.28892680594835746,0.89612,0.36338722130543066,0.8947
,,107,0.29139084584267855,0.8972,0.29610280079554907,0.9152
,,108,0.28261204349720265,0.90046,0.351342098339449,0.9091
,,109,0.28625882624665183,0.89922,0.32689863367925714,0.9091
,,110,0.28094004437594156,0.90022,0.3475886953971054,0.9084
,,111,0.2863022712490443,0.89894,0.36719804021376595,0.8965
,,112,0.2824973394270138,0.89954,0.30786897949402847,0.9119
,,113,0.28271496974293836,0.89992,0.48889218610298785,0.8906
,,114,0.2842958608399267,0.89952,0.3277177084473115,0.9114
,,115,0.2728544622659683,0.9027,0.30365659350741514,0.9152
,,116,0.27545223156433274,0.90338,0.34689821163781837,0.9034
,,117,0.275490714613434,0.90228,0.3530789966447444,0.9038
,,118,0.2727492940242943,0.90374,0.3672257262883307,0.9082
,,119,0.2654742931046754,0.90628,0.32523546221701405,0.9118
,,120,0.2704734011646122,0.90408,0.3761719172891182,0.9043
,,121,0.262430705301597,0.90692,0.3847860209172285,0.901
,,122,0.26833463787956313,0.90428,0.3845405054243305,0.9044
,,123,0.265469283132297,0.9052,0.32832565441539013,0.9162
,,124,0.2615322803368654,0.908,0.32407923269120953,0.9154
,,125,0.263203400384892,0.90538,0.2998267464705189,0.9183
,,126,0.2576621745324806,0.90796,0.3196472475611711,0.9124
,,127,0.25333514971577603,0.91154,0.3148624687632428,0.9181
,,128,0.2549775442503907,0.90804,0.3699010176749169,0.9081
,,129,0.2548372562774612,0.90904,0.2829890738748297,0.9187
,,130,0.2539989135949813,0.911,0.3771589936900742,0.9116
,,131,0.24828764487562888,0.91242,0.37115576976462256,0.9058
,,132,0.2488488837352494,0.91296,0.33800006035385255,0.9118
,,133,0.2525929573666104,0.91162,0.46616150910341286,0.887
,,134,0.2490556017136025,0.9104,0.3541965959004209,0.9096
,,135,0.24512955750269658,0.91322,0.3052885246616376,0.917
,,136,0.246831065115264,0.91266,0.3545343230796766,0.9123
,,137,0.24734996139164775,0.91222,0.37251800958868825,0.9057
,,138,0.239473462066687,0.91482,0.3412535435791257,0.9174
,,139,0.2408924543720377,0.9152,0.463274993851215,0.8902
,,140,0.23955027358916103,0.91494,0.35476421762870836,0.9068
,,141,0.2335790579428758,0.91584,0.3390710361867766,0.9145
,,142,0.23556177312379603,0.91562,0.3152168003630035,0.9168
,,143,0.23090442811208003,0.91866,0.33468658835450305,0.9155
,,144,0.23162637711943262,0.91706,0.3131773391667801,0.9132
,,145,0.22905509063349966,0.91914,0.3342371455664876,0.9176
,,146,0.22673824336141576,0.91904,0.3055178759784638,0.9258
,,147,0.22867145402657102,0.91984,0.31839753347861616,0.916
,,148,0.2223473524727175,0.92012,0.4396456012242957,0.8843
,,149,0.2227334014480681,0.92136,0.3617059333792216,0.9113
,,150,0.22096995719710885,0.92112,0.3352117764798901,0.9183
,,151,0.22096127883323927,0.92226,0.36703588011898575,0.9115
,,152,0.22108972829092494,0.9223,0.3111152285827866,0.9239
,,153,0.2164225599649922,0.92376,0.33658408137816415,0.9114
,,154,0.21674637065824034,0.92206,0.33823489228004144,0.9178
,,155,0.20784019244372692,0.92532,0.306772424945537,0.9222
,,156,0.21190144632326063,0.92552,0.3056503546577466,0.922
,,157,0.20950204402665654,0.92588,0.3135780789241006,0.9165
,,158,0.21427744661298248,0.92238,0.321020395884031,0.919
,,159,0.20578288683272383,0.92624,0.30519007363274125,0.9229
,,160,0.2047370540364014,0.92664,0.3004070484562765,0.9229
,,161,0.202286698209965,0.92916,0.34240755957515934,0.9116
,,162,0.2017020548281767,0.92854,0.3193715340163134,0.9215
,,163,0.2052202640515764,0.927,0.3913195953716206,0.9072
,,164,0.1957758015112194,0.93134,0.32679681093255175,0.9178
,,165,0.19583468522180986,0.92988,0.3155781034427353,0.9237
,,166,0.19389709984631184,0.93152,0.39453403048122987,0.9067
,,167,0.19343703588866212,0.93126,0.30861872811860674,0.9242
,,168,0.19748974629603994,0.92922,0.37310216066580787,0.9155
,,169,0.1942761686566236,0.93196,0.3567201149991796,0.9138
,,170,0.18508355006994798,0.93416,0.3314325749119626,0.917
,,171,0.18548070336394298,0.93346,0.33436474222925644,0.9224
,,172,0.1850721452223218,0.93454,0.3112854819886292,0.9223
,,173,0.18336851166947113,0.93448,0.35760913072507594,0.9188
,,174,0.17746016181186033,0.9373,0.36827392640370354,0.9215
,,175,0.18355067966081906,0.93454,0.3342852645282504,0.9157
,,176,0.1771726237271753,0.93652,0.321215212156501,0.924
,,177,0.1821222358938221,0.93578,0.35093302892733225,0.9204
,,178,0.1736509245451149,0.93942,0.3869004743763163,0.916
,,179,0.1742740925734915,0.93854,0.42596321090867245,0.9081
,,180,0.17805105184807496,0.93736,0.3150236268963995,0.929
,,181,0.17560634685827947,0.93748,0.3175933284661438,0.9243
,,182,0.16318301263901278,0.94212,0.31984495541340185,0.9262
,,183,0.1644558820044598,0.94152,0.32038146766680703,0.9282
,,184,0.16212701394468013,0.94236,0.3067548471161082,0.93
,,185,0.16419311865325778,0.94232,0.2913032046790364,0.9317
,,186,0.16270190200118154,0.942,0.31354582356878474,0.9223
,,187,0.15992241036480345,0.94316,0.2960048768716522,0.9311
