Clean Accuracy,96.63,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,68.368,1,1.4299375977357636,0.3112,1.701874393451063,0.4023
shot_noise,77.004,2,1.1232663208566358,0.47632,1.1904776526402823,0.5848
impulse_noise,81.898,3,0.958323064819931,0.5608,1.0833796021304554,0.6199
defocus_blur,93.256,4,0.8578044118173896,0.60914,0.9286451136009602,0.6949
glass_blur,81.71,5,0.7767925477393752,0.65058,0.8934078699425806,0.7027
motion_blur,87.54,6,0.7197638561048776,0.67744,0.892076895584034,0.7025
zoom_blur,91.296,7,0.6709271838597934,0.70122,0.742566341086279,0.7556
snow,90.82,8,0.6468975264245592,0.71218,0.7014336220071286,0.768
frost,88.746,9,0.6170417433199675,0.72638,0.7716732757000984,0.7427
fog,93.372,10,0.5890036277911243,0.73826,0.6523032535480547,0.7789
brightness,95.896,11,0.5674443382131474,0.7478,0.5021181879918787,0.8369
contrast,94.622,12,0.5499252490985119,0.7556,0.5507977314387695,0.8186
elastic_transform,90.544,13,0.525892028875668,0.7675,0.558287371563006,0.8196
pixelate,81.562,14,0.5151708017072409,0.77176,0.6228039094918891,0.7961
jpeg_compression,85.512,15,0.5038129476177723,0.7757,0.4380604729433603,0.8583
speckle_noise,78.96,16,0.49241960719418343,0.78232,0.45188333509089074,0.8533
gaussian_blur,91.736,17,0.476524889392926,0.7872,0.49579111345206633,0.8408
spatter,92.672,18,0.4691790208944579,0.7913,0.42847086734409573,0.8707
saturate,94.916,19,0.46319131778024347,0.7931,0.5114529579877853,0.8365
Average,87.39105263157894,20,0.4526741070972989,0.79958,0.49636550945571706,0.8456
,,21,0.445445744963863,0.80284,0.4455915002883235,0.8617
,,22,0.4398183781472618,0.80466,0.46783860725692555,0.855
,,23,0.43916110850661,0.80484,0.44385868857933,0.8599
,,24,0.429276738096686,0.81,0.4350964645796184,0.8635
,,25,0.425870852397226,0.8116,0.4227753108060813,0.8713
,,26,0.4209004858570635,0.81252,0.4759967078136492,0.8534
,,27,0.41984974103205647,0.8121,0.4133979048155531,0.8792
,,28,0.413173484794624,0.8164,0.4370222815984412,0.8691
,,29,0.4083617395147338,0.81824,0.3598463403273232,0.8903
,,30,0.4018842926263199,0.82006,0.3916702132813538,0.8817
,,31,0.40145962934969637,0.82042,0.408284715082072,0.8775
,,32,0.3972433397303457,0.8235,0.38643204373649404,0.8873
,,33,0.39834587234060476,0.8238,0.3627092706251748,0.8914
,,34,0.3889008504731576,0.82632,0.39661553502082825,0.8903
,,35,0.3953883088077121,0.82578,0.38070702948902224,0.8875
,,36,0.3885286354728977,0.829,0.41682988593849957,0.8805
,,37,0.387624241125858,0.8282,0.4181477927331683,0.8716
,,38,0.38496199383607604,0.82952,0.4129926154885111,0.8783
,,39,0.37564976185636445,0.83368,0.49982110269462005,0.8528
,,40,0.37698608762620356,0.83422,0.36052419886558873,0.8953
,,41,0.37669395729708854,0.83384,0.35895403125618075,0.896
,,42,0.3808092671968138,0.83146,0.39187210006049916,0.8811
,,43,0.3730366652655175,0.83626,0.38904430292829684,0.8838
,,44,0.36607870036531287,0.83848,0.48127666945698894,0.8547
,,45,0.37091452203443287,0.83492,0.34386022426659546,0.9037
,,46,0.36929744836467,0.83648,0.3540941908766952,0.9064
,,47,0.36218641683116287,0.84068,0.3800984411677228,0.8908
,,48,0.3621317259490947,0.83934,0.36199840827833246,0.8948
,,49,0.3621727549054129,0.83878,0.4599666829350628,0.867
,,50,0.3610306407713219,0.8402,0.35770837528796134,0.9013
,,51,0.3560232300968731,0.843,0.35090996287291565,0.9014
,,52,0.3563364796016527,0.84172,0.3467599108249326,0.9005
,,53,0.35119344755206877,0.84532,0.3546139812922176,0.8977
,,54,0.3517407640776671,0.8435,0.3879289042346085,0.8889
,,55,0.34922091148393536,0.8447,0.40581046742728993,0.879
,,56,0.3464656764512782,0.84634,0.41322679893125464,0.8851
,,57,0.34819418687344816,0.84582,0.3251333251784119,0.9073
,,58,0.3485391778714212,0.84634,0.317584055322635,0.9122
,,59,0.3465891523129495,0.84642,0.3576039324832868,0.8993
,,60,0.3421900652711044,0.84906,0.3705593111771571,0.8983
,,61,0.34181760994674604,0.84772,0.3716970568970789,0.9046
,,62,0.34332794930471483,0.84676,0.30998350642149963,0.9169
,,63,0.3430372690758132,0.84722,0.3016444356003894,0.917
,,64,0.3426521966600662,0.8483,0.3443556620350367,0.9037
,,65,0.34083588855803165,0.8485,0.33735858658446544,0.9062
,,66,0.3343185928395337,0.85128,0.38339255618143686,0.8893
,,67,0.337738370918252,0.8503,0.32303635040415996,0.9173
,,68,0.33998249391155777,0.84856,0.3093667664105379,0.9145
,,69,0.3343321309446374,0.85136,0.3475059770707843,0.9025
,,70,0.33587619738505625,0.85182,0.351291787775257,0.8936
,,71,0.33341269766735604,0.85226,0.3397376131785067,0.9137
,,72,0.33015465724956045,0.8541,0.3664705357219599,0.9004
,,73,0.3322139212390041,0.85408,0.2884968681425988,0.9225
,,74,0.32423839952482286,0.85774,0.30740370497673375,0.917
,,75,0.3290142420383975,0.85434,0.3646482874321032,0.9005
,,76,0.326094353481022,0.85546,0.2933559370569036,0.9252
,,77,0.32460103178268196,0.85658,0.29690887826152995,0.9194
,,78,0.3237556010256033,0.85716,0.28940923832639864,0.9225
,,79,0.3251654766023616,0.85544,0.3112701085172122,0.9169
