Clean Accuracy,96.61,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,67.2,1,2.148449554162867,0.16714,1.9896860243398933,0.2173
shot_noise,75.698,2,1.6840781689909718,0.2256,1.8187746654582928,0.3089
impulse_noise,89.706,3,1.566833133892635,0.2863,1.6152573959736884,0.361
defocus_blur,93.296,4,1.4744978173614463,0.3403,1.691327466240412,0.3747
glass_blur,83.198,5,1.3510053197441199,0.40204,1.386238849615749,0.495
motion_blur,87.826,6,1.2037841099912248,0.47418,1.29951681064654,0.5404
zoom_blur,92.05,7,1.1090990373545595,0.51644,1.3639855701712114,0.5384
snow,90.566,8,1.0322368224258618,0.55462,0.9285957828352723,0.6704
frost,87.934,9,0.9726993496460683,0.58078,0.8312136040458197,0.716
fog,92.656,10,0.9189996582162959,0.60682,1.1397252776954747,0.6208
brightness,95.776,11,0.8709551374930555,0.62464,10.843565264834634,0.3356
contrast,93.778,12,0.8355277218782079,0.64152,0.7881107156789755,0.7361
elastic_transform,90.27,13,0.7917532600710154,0.66148,0.8169630339628533,0.7179
pixelate,82.036,14,0.7594135952422686,0.67884,0.6752424296698992,0.7694
jpeg_compression,82.522,15,0.7251213345381305,0.69302,0.6635713071762761,0.7645
speckle_noise,77.24,16,0.6933581761996764,0.7055,0.6274511998967279,0.7876
gaussian_blur,91.068,17,0.6689186402598916,0.71704,0.6365839446647258,0.7822
spatter,92.666,18,0.6424931503470291,0.729,0.5834189378008058,0.8053
saturate,94.372,19,0.6319015413294058,0.73302,0.48800894353963153,0.8431
Average,87.36094736842104,20,0.6028494246475532,0.74722,0.5464356639717198,0.816
,,21,0.5915260372106986,0.75092,0.4509134534039075,0.8481
,,22,0.58261029700489,0.7525,0.4837267625180981,0.8415
,,23,0.5682385242960947,0.76038,0.4344104139865199,0.8591
,,24,0.5508748471279583,0.76734,0.4226906137375892,0.8581
,,25,0.5383957103847543,0.7712,0.4309610622593119,0.8587
,,26,0.5338409269404838,0.77364,0.3892193894974793,0.8711
,,27,0.5205581308630727,0.77998,0.39745052932183955,0.8661
,,28,0.5101005150686444,0.78366,0.388817409925823,0.8708
,,29,0.5061260332994144,0.7857,0.37978496996662287,0.874
,,30,0.49498265806366415,0.79012,0.36634688418877276,0.8814
,,31,0.48738468013456104,0.79574,0.354479444932334,0.8784
,,32,0.47926593817713314,0.79784,0.3701609705067888,0.8772
,,33,0.4706944979517661,0.8013,0.40105442702770233,0.8738
,,34,0.4649954269761625,0.80336,0.37355918710744834,0.8747
,,35,0.4602318455648544,0.8073,0.355698355579678,0.8861
,,36,0.4531444923194778,0.80914,0.3812664624633668,0.8765
,,37,0.44664850274620155,0.81438,0.4205235201346723,0.8633
,,38,0.4448320272633487,0.81278,0.3646366833886014,0.8817
,,39,0.43979219425364835,0.81486,0.35286516592472417,0.8874
,,40,0.4339943002252018,0.81714,0.3612391226276567,0.8851
,,41,0.42555643865824355,0.82208,0.3621800240082077,0.8817
,,42,0.42530648132114457,0.82118,0.35188558754287186,0.8854
,,43,0.4190702811074074,0.82358,0.35564474346517005,0.8851
,,44,0.4187025914106832,0.82558,0.3409266117252881,0.8882
,,45,0.4106915817236352,0.82708,0.4415054130780546,0.8584
,,46,0.40718358229188356,0.83004,0.33573344859141335,0.8949
,,47,0.40437079886036453,0.8289,0.324814849827863,0.8948
,,48,0.4022863893710134,0.83066,0.3647514994763121,0.8855
,,49,0.4005822764943018,0.8317,0.35500304740440997,0.883
,,50,0.3954222520903858,0.83424,0.34141338852387443,0.8922
,,51,0.3919775785540071,0.83622,0.3545981072172334,0.881
