Clean Accuracy,75.33,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,16.71,1,2.469797734104459,0.052,3.914063559302801,0.0924
shot_noise,24.544,2,2.1958981700565503,0.12366,3.4468216624441026,0.1644
impulse_noise,19.214,3,1.9658724484236345,0.2005,3.2728023861027973,0.2052
defocus_blur,58.096,4,1.742694737356337,0.27068,2.781289625771438,0.3044
glass_blur,19.958,5,1.58236980987022,0.33386,3.454039477094819,0.2575
motion_blur,52.854,6,1.4498110927279344,0.38112,2.64135678206818,0.3509
zoom_blur,51.746,7,1.3510456460211284,0.42274,2.578146508977383,0.3539
snow,54.086,8,1.2544887901267128,0.4602,2.296258985241757,0.429
frost,47.692,9,1.1953623933560402,0.48356,2.6115263594856746,0.392
fog,62.852,10,1.1336690820086643,0.5116,2.1624942203111286,0.4417
brightness,72.554,11,1.0847285243556322,0.53096,2.3334004894087585,0.4396
contrast,53.284,12,1.039406522003281,0.5499,1.9356519889227952,0.5049
elastic_transform,58.496,13,0.988430434633094,0.56932,1.821754289578788,0.5243
pixelate,48.496,14,0.962939333275456,0.58246,1.6491815334633937,0.56
jpeg_compression,49.266,15,0.9247522160525212,0.59562,1.6835632701463337,0.5641
speckle_noise,25.646,16,0.9098063018315893,0.6067,1.8846611010877392,0.5243
gaussian_blur,49.074,17,0.8785898119897184,0.61714,1.7652462162548983,0.5323
spatter,56.606,18,0.8544516442986705,0.62864,1.6306172262264202,0.5745
saturate,62.254,19,0.8285716962631401,0.63758,1.6588230193415774,0.5616
Average,46.49621052631578,20,0.8048538163189998,0.64882,1.529246134094045,0.5959
,,21,0.794634826652839,0.65278,1.5962641646590414,0.5819
,,22,0.7706615203786689,0.66564,1.526696265498294,0.5901
,,23,0.7635861276970495,0.67014,1.4512147827993465,0.622
,,24,0.7449462625681592,0.6767,1.6371306754365753,0.5834
,,25,0.7343104600601489,0.68408,1.486786412287362,0.618
,,26,0.7208136166148174,0.68504,1.4408893690833562,0.6219
,,27,0.7059121881909383,0.69318,1.4231786969341809,0.626
,,28,0.6998588064747393,0.6934,1.3583618349666837,0.6367
,,29,0.686998743077983,0.7031,1.348003146014636,0.6359
,,30,0.6787742592794511,0.7042,1.4360951064508172,0.6302
,,31,0.6637749237477627,0.71394,1.4351390886910353,0.6364
,,32,0.6557090912023773,0.71426,1.4973147956630852,0.6192
,,33,0.645720102369328,0.7201,1.303706415091889,0.6582
,,34,0.6374159993418037,0.72322,1.427610932271692,0.6262
,,35,0.6255177440088423,0.72594,1.2944129252735572,0.6624
,,36,0.622234964614634,0.72854,1.3518129391006277,0.6491
,,37,0.6097389310979477,0.73584,1.3408164879943751,0.6501
,,38,0.6045008634819704,0.73796,1.4215687007843694,0.6386
