Clean Accuracy,74.58,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,17.57,1,2.0391932924080383,0.05484,4.0227102569386926,0.081
shot_noise,26.072,2,1.8073187060368336,0.12116,3.6125089337554157,0.1435
impulse_noise,23.178,3,1.6077573256724327,0.19516,3.178575956368748,0.2203
defocus_blur,58.01,4,1.4159801704499422,0.26378,2.926664983169942,0.2713
glass_blur,19.366,5,1.2935779527630038,0.31964,3.038459325138527,0.2699
motion_blur,52.498,6,1.1845820950120307,0.364,2.7585701580289044,0.3377
zoom_blur,52.092,7,1.106270442228488,0.40464,2.770062008990517,0.3267
snow,52.128,8,1.0253527164459229,0.44062,2.393965075287638,0.3948
frost,44.576,9,0.9751622657031964,0.46472,2.313308130336713,0.4185
fog,60.014,10,0.9296398899134468,0.48698,2.269608653044399,0.4138
brightness,71.782,11,0.8891554509892183,0.5136,2.1369244433656522,0.4637
contrast,51.62,12,0.8463268411129027,0.52826,2.1487185170378864,0.4552
elastic_transform,57.446,13,0.8069224906394549,0.54802,1.851690411567688,0.502
pixelate,48.31,14,0.7843093713531104,0.55978,1.8794692151154144,0.507
jpeg_compression,48.678,15,0.7551625043229984,0.57172,1.8707428038874758,0.5224
speckle_noise,28.122,16,0.7412482343823709,0.58514,1.8665386709985854,0.5183
gaussian_blur,49.862,17,0.7121957490206374,0.59884,1.7940693535382235,0.5274
spatter,56.69,18,0.6976567296420827,0.60496,1.9438838174071493,0.5281
saturate,61.828,19,0.6729608767325311,0.61382,1.7773206249068054,0.553
Average,46.30747368421052,20,0.6527892800853076,0.62482,1.668998602070386,0.5616
,,21,0.6407775654817176,0.63028,1.7668961814687223,0.5747
,,22,0.6291469867577029,0.63866,1.6037789628475527,0.5718
,,23,0.6127520000843136,0.64392,1.508493202396586,0.6005
,,24,0.6065258206156514,0.65134,1.7176854640622683,0.565
,,25,0.5929517316848726,0.6563,1.4511172499837754,0.6203
,,26,0.582696903087294,0.66118,1.4235228918775726,0.62
,,27,0.5679250097335757,0.66944,1.3501712747767,0.6433
,,28,0.5656476367617507,0.6721,1.3698684852334517,0.6399
,,29,0.5531548944580585,0.67892,1.3203798298594318,0.6472
,,30,0.53916922996721,0.68198,1.3756236909311028,0.6352
,,31,0.5316012820319447,0.68944,1.3760932344424575,0.6369
,,32,0.5231782502835364,0.68908,1.4730615404587757,0.6162
,,33,0.5208989623410013,0.69414,1.381144240687165,0.6339
,,34,0.5077201023583522,0.70432,1.455697372744355,0.6226
,,35,0.5014020772388829,0.7045,1.6095383635050133,0.5941
,,36,0.50147518530831,0.70402,1.5617405794843842,0.6032
,,37,0.49301689207706306,0.71048,1.6769391373742986,0.6114
,,38,0.48390662220432934,0.71528,1.4541541722756397,0.6296
,,39,0.4821292154319451,0.71818,1.3501812981653818,0.6487
,,40,0.4710697059893547,0.71996,1.3825376328033736,0.6369
,,41,0.4689385258328274,0.72072,1.3701184135449083,0.6437
,,42,0.46049469381647035,0.72458,1.2821432291706907,0.661
,,43,0.45304165509960537,0.73298,1.3683111826075782,0.6467
,,44,0.45091311401113526,0.73286,1.5036898926843572,0.6366
,,45,0.4458507793714933,0.73244,1.4036532399020618,0.6344
,,46,0.4430544742995211,0.7381,1.3998752568341508,0.6418
,,47,0.43804857272016423,0.73952,1.5008058042465886,0.6351
,,48,0.4325592438583179,0.74302,1.427854040001012,0.6441
