Clean Accuracy,75.97,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,16.468,1,2.883807936592785,0.06638,3.98752401750299,0.0851
shot_noise,24.882,2,2.524286394533904,0.14828,3.4010036927235276,0.1905
impulse_noise,53.698,3,2.2565592268238897,0.22304,3.0489208487015738,0.2464
defocus_blur,55.494,4,2.0149789249805536,0.29392,4.718756138523923,0.1478
glass_blur,21.356,5,1.8361024694979344,0.34636,3.136693390109871,0.2613
motion_blur,49.458,6,1.7058732174241635,0.38966,3.2044553485097764,0.2636
zoom_blur,46.276,7,1.594433353075286,0.42566,2.789094436017773,0.3363
snow,52.508,8,1.5175088409267727,0.45354,2.5945027870467947,0.3743
frost,42.824,9,1.4492862727635962,0.47752,2.2488036321688303,0.4348
fog,57.538,10,1.3826000815462274,0.5005,2.383781875236125,0.428
brightness,71.062,11,1.332096593154361,0.51694,1.9672462713869312,0.5007
contrast,45.476,12,1.2838877784016798,0.53414,1.9769791213771966,0.4993
elastic_transform,57.52,13,1.2423630833930677,0.54706,1.7799958307531816,0.5343
pixelate,48.888,14,1.2075485539863178,0.56358,1.8245197383663323,0.5279
jpeg_compression,49.108,15,1.179653905389254,0.56942,1.7975636418861678,0.5473
speckle_noise,27.06,16,1.1492159512951552,0.5817,1.6987790246553058,0.557
gaussian_blur,45.602,17,1.1172715047436297,0.5959,1.7436536128007913,0.5447
spatter,62.48,18,1.0933201139235436,0.60184,1.5687904448448857,0.586
saturate,60.838,19,1.069814584444246,0.60818,1.6694168093838269,0.5628
Average,46.76505263157894,20,1.049061509349462,0.61822,1.4843355221084402,0.6015
,,21,1.026406719861433,0.6265,1.7336055281796032,0.5643
,,22,1.0142950093959604,0.6307,1.5252326394938216,0.5981
,,23,1.000179337266156,0.6373,1.4669572846798957,0.6141
,,24,0.9833632146610933,0.64522,1.5154688720461689,0.6046
,,25,0.9674189215730828,0.64932,1.3722666471819334,0.635
,,26,0.9523596952638358,0.6552,1.4011115122445021,0.6309
,,27,0.9358205507173563,0.65866,1.3550798115851004,0.636
,,28,0.9270221760205906,0.6634,1.5570182226881195,0.6053
