Clean Accuracy,73.23,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,51.214,1,2.5093716995795363,0.09136,3.6454966158806523,0.1229
shot_noise,56.564,2,2.086600840244147,0.2011,3.4575848488868037,0.1834
impulse_noise,37.866,3,1.7839606457659045,0.29568,3.1646696615822707,0.2336
defocus_blur,56.828,4,1.5671134089569911,0.36952,3.0429369316825383,0.2509
glass_blur,28.11,5,1.416298593096721,0.4259,3.4340482663504686,0.2334
motion_blur,50.214,6,1.3031978713886818,0.46622,2.72440017024173,0.3292
zoom_blur,51.438,7,1.2064965967936894,0.5031,2.2575434657591806,0.4182
snow,55.258,8,1.1296674749430489,0.53154,2.4024599594405935,0.3961
frost,51.882,9,1.0616504318269013,0.55806,2.2944153969800927,0.4332
fog,53.506,10,1.0101482305685272,0.58262,1.9768460566484476,0.4884
brightness,70.492,11,0.9552650953192845,0.5989,2.1434401907498324,0.4638
contrast,41.458,12,0.9101463536472272,0.61858,1.8222960792010343,0.5245
elastic_transform,55.972,13,0.8728268390421368,0.63216,1.7234612069552457,0.5426
pixelate,54.12,14,0.8377985631108589,0.64394,1.5439050559756122,0.5922
jpeg_compression,54.216,15,0.8064697256783391,0.65652,1.7227145131630233,0.5776
speckle_noise,56.25,16,0.7791505061147158,0.66658,1.5597119814232936,0.5876
gaussian_blur,50.432,17,0.7570172057432287,0.6803,1.738788739035401,0.562
spatter,59.156,18,0.7331471113902529,0.68942,1.5397767417038544,0.5981
saturate,60.842,19,0.7062875927256806,0.6997,1.6049721150458613,0.6051
Average,52.41147368421052,20,0.6915920646599186,0.706,1.5603548016729234,0.5902
,,21,0.6784912497186295,0.71142,1.5304578648337834,0.6065
,,22,0.6584511989217889,0.72048,1.5815899809704552,0.602
,,23,0.6372532688290872,0.72802,1.5437639453743077,0.6076
,,24,0.6163012970743886,0.7394,1.5171249365504784,0.6005
,,25,0.612596488059939,0.737,1.4911589433875265,0.6307
,,26,0.6009477508799804,0.74302,1.5208617071562176,0.612
,,27,0.5804884458136985,0.7527,1.6996723202210438,0.5829
,,28,0.5734991481541978,0.75498,1.4381226663348041,0.6212
,,29,0.5600243047680087,0.76118,1.3911751252186448,0.6455
,,30,0.547979364081112,0.76762,1.412364644340322,0.6359
,,31,0.5381943189427066,0.76962,1.4122959367836578,0.6427
,,32,0.5269111789705808,0.77688,1.3981010016006759,0.656
,,33,0.5113291684014108,0.78218,1.5862110174154933,0.6331
,,34,0.5073908524744956,0.78208,1.4202622793897797,0.6414
,,35,0.49780507473384633,0.78994,1.4371616146232509,0.6487
,,36,0.49709117778426853,0.78918,1.4345995715901823,0.6266
,,37,0.4803867238714262,0.79596,1.3916610592528234,0.6539
,,38,0.4778809836301047,0.79826,1.5648039896276933,0.6243
,,39,0.47155396689844253,0.79916,1.5340107022961484,0.6472
,,40,0.4623835010601736,0.80498,1.496929376940184,0.6423
,,41,0.45417706344438635,0.8084,1.6116158192670798,0.6119
