Clean Accuracy,76.08,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,12.32,1,2.487797942612787,0.05052,4.018821287758743,0.0735
shot_noise,21.954,2,2.3149053230310037,0.09114,3.6143581263626676,0.14
impulse_noise,58.97,3,2.1874707885410474,0.13296,3.594654252257528,0.144
defocus_blur,59.73,4,2.0766250663401222,0.16606,3.6050596569157856,0.1573
glass_blur,48.806,5,1.9532790735859396,0.1987,3.213245781162117,0.2072
motion_blur,52.606,6,1.8539356487181486,0.23154,3.0672954728331745,0.2487
zoom_blur,55.06,7,1.7637948776449999,0.25744,2.80585237696201,0.2845
snow,60.38,8,1.6936796245062749,0.27912,2.6366416683679894,0.3255
frost,51.884,9,1.618923544578845,0.30326,2.730750681478766,0.301
fog,56.81,10,1.5677028772471202,0.32134,2.4384989134873014,0.3646
brightness,71.186,11,1.511601724892931,0.34314,2.519888582108896,0.3654
contrast,44.128,12,1.4649687712759618,0.3629,2.338865391815765,0.3984
elastic_transform,62.816,13,1.4146431766812453,0.37688,2.305461153199401,0.4164
pixelate,60.072,14,1.3766920276919898,0.39414,2.001009257533882,0.4628
jpeg_compression,51.054,15,1.3411335335363208,0.40592,2.1515715227851384,0.447
speckle_noise,25.804,16,1.3160597832916339,0.4183,1.9917648336555385,0.4753
gaussian_blur,52.32,17,1.289987132220012,0.42684,2.091319416142717,0.458
spatter,66.818,18,1.259647408562243,0.43634,1.7772165340713308,0.5232
saturate,59.142,19,1.2433995625856893,0.44118,1.7391405769541293,0.5323
Average,51.15052631578948,20,1.2155848999157586,0.45232,1.7606002107451233,0.5326
,,21,1.196229222637918,0.45836,1.6463378305676617,0.5543
,,22,1.1831092610383582,0.47204,1.7201156480402886,0.5452
,,23,1.1659974254610594,0.47196,1.5095396464384054,0.5846
,,24,1.1458148723063262,0.4788,1.779792927488496,0.5261
,,25,1.1413435499991298,0.48484,1.5982919735244558,0.5696
,,26,1.128337291348011,0.48916,1.6716888207423537,0.5614
,,27,1.1174846945516288,0.49578,1.545949650716178,0.5845
,,28,1.1025750103509029,0.4975,1.7836110139194923,0.5291
,,29,1.0858364376570562,0.50732,1.4959009372735326,0.594
,,30,1.0813079575443512,0.50534,1.471664768231066,0.6011
,,31,1.068018403047186,0.51388,1.5326015406017062,0.5855
,,32,1.0524380368649806,0.52084,1.4539051108722445,0.6088
,,33,1.0528598612226794,0.52044,1.6723947102510477,0.5587
,,34,1.0468341500862786,0.52304,1.4672019557107854,0.6053
,,35,1.0328236030190803,0.52486,1.5313206020789811,0.5943
,,36,1.0274991608031876,0.52884,1.5750325193888024,0.5853
,,37,1.0224474766065397,0.5333,1.563466861278196,0.5934
,,38,1.0124528604700131,0.53912,1.4729562756381458,0.608
,,39,1.0055736397843227,0.53946,1.4626757962794243,0.61
,,40,0.9972372082493189,0.53998,1.4679045126407961,0.6085
,,41,0.9880957386987593,0.54326,1.3349649777895287,0.6324
,,42,0.9804945476829549,0.54724,1.4589808771881876,0.6111
,,43,0.9771057097503292,0.54902,1.3808167093916783,0.6295
,,44,0.9652271641184912,0.55456,1.323083602174928,0.6476
,,45,0.9608413883487282,0.55464,1.4681079659280898,0.6137
,,46,0.957877813397771,0.55576,1.421081902105597,0.6241
,,47,0.9518115753712861,0.56132,1.3622715986227687,0.6341
,,48,0.9419407865885273,0.56392,1.3848084897934636,0.6285
,,49,0.9392319766761702,0.56608,1.329550711414482,0.638
,,50,0.9397538420184494,0.56866,1.2692762998085987,0.6548
,,51,0.9353451213568372,0.56602,1.2733468224730673,0.6567
,,52,0.9320684907686375,0.56588,1.3000357218935519,0.6511
,,53,0.9199434329786569,0.5725,1.3450177779680565,0.6404
,,54,0.9120066214705367,0.57538,1.496574043473111,0.6063
,,55,0.9141319395636048,0.57292,1.2994174813922448,0.648
,,56,0.9171638584807705,0.57312,1.3183106704603267,0.6436
,,57,0.9088951254744664,0.57786,1.3287458042555218,0.6423
,,58,0.9046871549333148,0.57576,1.3454910584642916,0.6418
,,59,0.898715760549316,0.58152,1.3182871319070648,0.6484
,,60,0.8962224599955332,0.5806,1.2998045773445805,0.6547
,,61,0.8860852065903452,0.58884,1.2663736049133012,0.6641
,,62,0.8832809024149805,0.58378,1.2492298680015756,0.6603
,,63,0.8834936820027773,0.58944,1.2531476775302162,0.6598
,,64,0.8732555981182382,0.58846,1.2900934702233424,0.6588
,,65,0.877356327403232,0.58684,1.355649930012377,0.6382
,,66,0.8710068241714517,0.59478,1.4224429462529435,0.6245
,,67,0.8692416356652594,0.59536,1.333702715891826,0.6542
,,68,0.8662884935088779,0.59108,1.3854459388346612,0.6264
,,69,0.8626428116922793,0.59558,1.3100841294361065,0.6492
,,70,0.8599170536336387,0.60012,1.3833527813983868,0.6383
,,71,0.8530858630109626,0.59842,1.2435843091976793,0.6657
,,72,0.8505700293099484,0.60252,1.3579928286467926,0.644
,,73,0.8461990655230744,0.60058,1.2535388990293574,0.6631
,,74,0.8378700520986181,0.60404,1.3247236632093597,0.6461
,,75,0.8394354321157841,0.60262,1.2913509637494631,0.6556
,,76,0.8377645180353424,0.60692,1.597238929965828,0.5859
,,77,0.8340672452736388,0.60628,1.665568332128887,0.571
,,78,0.8330712525740914,0.606,1.3159611715546138,0.6576
,,79,0.8265800534002007,0.6111,1.2716818361342708,0.6569
,,80,0.8256377625038557,0.61186,1.273331745515896,0.6618
,,81,0.8266457590605597,0.61078,1.4089043344123453,0.6313
,,82,0.8169894442533898,0.61686,1.183547439454477,0.6826
,,83,0.8144878062140911,0.61534,1.2637733032431784,0.6607
,,84,0.8166028206305735,0.6149,1.3637202766877186,0.6456
,,85,0.8158070109689327,0.61694,1.3087314955795868,0.6509
,,86,0.8078153099855194,0.62022,1.2309842803810216,0.6703
,,87,0.8055084548947756,0.6215,1.3695055925393407,0.6491
,,88,0.7993042452256088,0.6208,1.2826030178915095,0.6647
,,89,0.7964646878754696,0.62406,1.3488061337531367,0.6512
,,90,0.7915167828350116,0.62406,1.1887850723689115,0.6808
,,91,0.7975760571791998,0.62542,1.458142712146421,0.6225
,,92,0.790328390762934,0.62318,1.2964642055426971,0.6548
,,93,0.7899359261898129,0.62752,1.236098881763748,0.6711
,,94,0.7876534436060034,0.62928,1.2539865027500103,0.666
,,95,0.7828472784108214,0.63184,1.2312896817545347,0.6809
,,96,0.7748214341795353,0.635,1.5882661116274097,0.6026
,,97,0.7774813460267108,0.637,1.246594004238708,0.6686
,,98,0.773680070324627,0.63228,1.2767364563821237,0.6712
,,99,0.7729820327075851,0.63732,1.208645933791052,0.6771
,,100,0.7689278749248866,0.63528,1.3129559023470818,0.6533
,,101,0.7680794974727094,0.63776,1.1947426109374324,0.6785
,,102,0.758329041778584,0.63914,1.1981912806064268,0.6829
,,103,0.7539684098699818,0.64034,1.2055720634098295,0.6794
,,104,0.7611557908375245,0.64142,1.2197097683254676,0.6711
,,105,0.7473286980253351,0.64148,1.266085368922994,0.6695
,,106,0.7502484547207727,0.64372,1.310286967060234,0.6641
,,107,0.754399004342306,0.64192,1.3219840835921373,0.6571
,,108,0.7454991858938466,0.64802,1.1913122210321547,0.6838
