Clean Accuracy,77.03,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,13.7,1,2.063861472222506,0.04946,4.10493637640265,0.0736
shot_noise,23.362,2,1.8966919369709767,0.08716,3.7103622321841083,0.1252
impulse_noise,57.608,3,1.787592339698616,0.11868,3.666754683361778,0.1428
defocus_blur,58.028,4,1.678196016479941,0.1526,4.166588303409045,0.1199
glass_blur,51.028,5,1.586335210239186,0.18042,3.9293505421167687,0.1729
motion_blur,50.648,6,1.502377738733121,0.20724,3.8201275626315345,0.1741
zoom_blur,52.426,7,1.4307586555285832,0.23406,3.136726309981527,0.2536
snow,61.85,8,1.359792807218059,0.25422,3.071502742888052,0.2571
frost,53.476,9,1.315321712847561,0.2717,3.05018720143958,0.2656
fog,57.148,10,1.2655667368408359,0.29576,2.531773977641818,0.3551
brightness,71.776,11,1.213242077461594,0.30738,3.2396451702600793,0.2956
contrast,43.902,12,1.1791281139149385,0.32702,2.5401822404016423,0.3814
elastic_transform,60.886,13,1.138661297690838,0.34278,2.3457257913637766,0.4282
pixelate,52.3,14,1.1086272248221785,0.351,2.1864356391037565,0.4386
jpeg_compression,50.032,15,1.0836650774911847,0.36438,2.3271721118613136,0.4362
speckle_noise,27.714,16,1.0653198829392339,0.37642,1.9563154570664032,0.4773
gaussian_blur,49.828,17,1.0353665103387955,0.38946,2.0479462373105783,0.4568
spatter,68.13,18,1.0112578082267585,0.39726,1.8933653922020635,0.4997
saturate,59.774,19,0.9917302528000853,0.40338,2.112969959838481,0.4654
Average,50.716631578947364,20,0.9749561214386044,0.40614,1.796110364455211,0.5272
,,21,0.9612387970585348,0.41322,2.142246516445015,0.4774
,,22,0.9418065996121263,0.42134,1.847526971297928,0.517
,,23,0.938088944958299,0.42902,1.7196434841880315,0.5419
,,24,0.9189813240714695,0.43574,1.6302374375017383,0.5565
,,25,0.8972352270580009,0.44048,1.862831932079943,0.522
,,26,0.8918012737313195,0.44564,1.6976386278490476,0.5459
,,27,0.8801495381023573,0.45028,1.613898161091382,0.5638
,,28,0.8657717617881268,0.4549,1.7208737104753904,0.5399
,,29,0.8566707479374488,0.4586,1.60533915893941,0.5787
,,30,0.8517758645060117,0.46178,1.5709639380249796,0.5731
,,31,0.842180099481207,0.46912,1.4349344817897942,0.5972
,,32,0.8301963668954951,0.4702,1.4829331832596018,0.6008
,,33,0.817460781473028,0.4752,1.5195320542854598,0.5988
,,34,0.8138573495933162,0.47874,1.549555601952951,0.5853
,,35,0.8049488370985631,0.48214,1.5361188665221008,0.5904
,,36,0.8054315164266035,0.4861,1.4915837245651438,0.5979
,,37,0.793043251842489,0.4873,1.4514876468272149,0.6035
,,38,0.7913858250278951,0.48974,1.4908683315108093,0.5963
,,39,0.7799891686195608,0.49186,1.3950905860224856,0.6222
,,40,0.7771515314231443,0.4953,1.4416930418980272,0.6063
,,41,0.7735460211553842,0.4981,1.4304084626934197,0.6241
,,42,0.7701984736925501,0.49878,1.5353293705590163,0.5984
,,43,0.755967257882628,0.50046,1.507832646369934,0.5978
,,44,0.7564405289757282,0.505,1.4245942634872244,0.6111
,,45,0.7535674027774645,0.50246,1.3698473565186127,0.6239
,,46,0.7497376648666304,0.50624,1.4401411768756336,0.608
