Clean Accuracy,78.99,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,15.296,1,2.4823203678326227,0.05432,3.9313882966584797,0.0836
shot_noise,24.666,2,2.311750741261046,0.09628,3.666793820224231,0.1293
impulse_noise,56.006,3,2.181479782399619,0.1387,3.6706263566318946,0.1534
defocus_blur,68.686,4,2.0469151207858034,0.18022,3.594954843762555,0.1574
glass_blur,49.236,5,1.9177612398591493,0.2164,3.4539031318471403,0.1939
motion_blur,61.542,6,1.8106528258384647,0.2498,3.023028750962849,0.2596
zoom_blur,65.512,7,1.708271397654053,0.2815,2.794890669327748,0.2949
snow,63.374,8,1.6308454040371243,0.30718,2.7102713584899902,0.3109
frost,54.71,9,1.5619438850056484,0.32866,2.3355633729620826,0.389
fog,67.272,10,1.5068798379215134,0.34948,2.253595453274401,0.4043
brightness,74.808,11,1.4492216219987406,0.36758,2.199252486228943,0.4206
contrast,67.224,12,1.4010837581151587,0.38586,2.449100699605821,0.3999
elastic_transform,68.01,13,1.3564564389036136,0.40152,2.182649859899207,0.4338
pixelate,57.284,14,1.3166355632455147,0.41888,2.0834146798411504,0.4607
jpeg_compression,51.402,15,1.2826421757793183,0.429,1.981586758094498,0.4867
speckle_noise,28.784,16,1.2553527879593012,0.4404,1.7832337180270423,0.52
gaussian_blur,64.35,17,1.2305830107320606,0.4489,1.8922865239879754,0.5031
spatter,68.776,18,1.2030265337365973,0.45642,1.6592224262937714,0.5573
saturate,63.836,19,1.1793209927161332,0.46794,1.7187637015234065,0.5409
Average,56.35652631578948,20,1.1572915510753232,0.47784,1.5934132654455644,0.5682
,,21,1.1409213613061344,0.48352,1.6084520469737957,0.5633
,,22,1.1312664053629122,0.4909,1.6651063795331158,0.5645
,,23,1.1148649655339662,0.49448,1.5224775498426413,0.5868
,,24,1.0989128712498013,0.50014,1.5003148392785954,0.5941
,,25,1.0801552406052495,0.50764,1.516577124595642,0.5849
,,26,1.0705771642877622,0.51138,1.5807557045658933,0.5964
,,27,1.0643745157724755,0.51516,1.4584661526016043,0.6093
,,28,1.0562787484329985,0.5154,1.436915324458593,0.6183
,,29,1.0386444482657,0.5238,1.3811115222641184,0.623
,,30,1.0318675978714242,0.52968,1.4484828604927547,0.6102
,,31,1.0152645874816133,0.53552,1.5505176692069331,0.5916
,,32,1.0083651579249546,0.53816,1.33302086214476,0.6441
,,33,1.0005632486489728,0.53982,1.4894916060604626,0.5986
,,34,0.9983636762784875,0.5392,1.4045718455616432,0.6178
,,35,0.9896431534796419,0.54508,1.3054978990856605,0.6402
,,36,0.9800808868749672,0.54576,1.702640694907949,0.5534
