Clean Accuracy,78.8,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,16.374,1,2.498892775581926,0.05342,3.928751800633684,0.0871
shot_noise,25.128,2,2.3129740541853256,0.09654,3.69236454480811,0.1244
impulse_noise,51.066,3,2.1707974163162738,0.14098,3.8525784166553354,0.143
defocus_blur,67.756,4,2.0092855286415277,0.18186,3.4103747832624216,0.1742
glass_blur,48.222,5,1.8735767612067025,0.22578,3.924463407902778,0.1678
motion_blur,59.598,6,1.767857522610813,0.26036,3.039731689646274,0.2537
zoom_blur,64.618,7,1.6817124484445127,0.28988,2.7853874496266813,0.2974
snow,63.544,8,1.5916104380736875,0.31642,2.3886384375487704,0.3741
frost,54.306,9,1.5345072298098708,0.33916,2.983813919598543,0.2765
fog,66.35,10,1.4820727234911126,0.35766,2.329172822493541,0.3903
brightness,74.912,11,1.4262031746642363,0.37696,2.2752846222889573,0.414
contrast,65.564,12,1.3784942575122998,0.39564,2.471269930465312,0.3901
elastic_transform,66.436,13,1.3382344663600483,0.41012,1.9260805015322529,0.4948
pixelate,55.82,14,1.2959091590188654,0.42532,2.034034947805767,0.4725
jpeg_compression,50.814,15,1.2676447715295855,0.43694,2.1993696538707876,0.4383
speckle_noise,28.104,16,1.249777763091085,0.44678,1.9069427463072766,0.5095
gaussian_blur,64.602,17,1.210835345718257,0.46268,1.8618568076363093,0.508
spatter,68.168,18,1.19815020457558,0.46536,1.5292794236653968,0.5883
saturate,63.206,19,1.1719130410257812,0.47728,1.8115869021113915,0.5318
Average,55.50463157894737,20,1.1455016838924965,0.48556,1.6645426614375054,0.556
,,21,1.1348317033799409,0.49176,1.7499098807950564,0.5575
,,22,1.1146117366488328,0.49646,1.5049409851243225,0.5897
,,23,1.1098554637426001,0.5022,1.5538881745519517,0.5783
,,24,1.0786454887951122,0.51036,1.4904610235479814,0.5967
,,25,1.0695855055013885,0.51336,1.5285932897012444,0.585
,,26,1.0620684933174602,0.51756,1.467196909687187,0.6049
,,27,1.0445801353515567,0.52624,1.4230210373673258,0.6131
,,28,1.0381145779129184,0.52908,1.4392971373811554,0.6112
,,29,1.0283696523407841,0.53248,1.4141186294676382,0.6276
,,30,1.012672950697067,0.53756,1.3515506318852872,0.6366
,,31,1.0043730978160867,0.54084,1.368662179270877,0.6296
,,32,1.002732838206279,0.54434,1.3661309556116032,0.6293
,,33,0.9931226576990484,0.5469,1.4363272242908236,0.6125
,,34,0.9786926195444658,0.5523,1.3922834999953644,0.6282
,,35,0.969666381931061,0.5593,1.352095235752154,0.6378
,,36,0.9709800658628459,0.55338,1.3190775717361063,0.6385
,,37,0.9566573227762871,0.56142,1.3203345273114457,0.6515
,,38,0.9467165758237814,0.56404,1.3297501093224635,0.6398
,,39,0.943679600877835,0.56354,1.530897072598904,0.6031
,,40,0.9340940741321925,0.56996,1.2755131464970262,0.6514
,,41,0.9231889292102335,0.57142,1.3254773714874364,0.6509
,,42,0.9284743558415367,0.57182,1.330689990822273,0.638
,,43,0.9212088699231062,0.5761,1.32509266122987,0.645
,,44,0.9095412408909225,0.57712,1.279348546191107,0.6589
,,45,0.9052172615704939,0.58176,1.3056821521324447,0.6554
,,46,0.9057425873358841,0.58416,1.3503521741191042,0.6446
,,47,0.8985619362053054,0.5837,1.3989484181886986,0.6306
,,48,0.8866633350586952,0.58838,1.372373493411873,0.6349
,,49,0.885298772693595,0.59042,1.2333995013297359,0.6662
,,50,0.8795320353544581,0.59006,1.3370573075511787,0.6371
,,51,0.8728180706043682,0.59388,1.2028147465066066,0.6752
,,52,0.8761084262672287,0.59322,1.3523054432265367,0.6424
,,53,0.8744752693664083,0.59122,1.3316091087800037,0.6419
,,54,0.8662308123715393,0.5993,1.2048525621619406,0.6752
,,55,0.8694255222444949,0.59736,1.2765210700940481,0.6598
,,56,0.8629488984642126,0.60124,1.152502919299693,0.6818
,,57,0.8495320377447416,0.60336,1.2098125709763057,0.68
,,58,0.8461606879063579,0.60588,1.3250794878488854,0.6499
,,59,0.84938243054368,0.6048,1.259036751487587,0.6647
,,60,0.8426271192253093,0.60798,1.2771009991440592,0.6597
,,61,0.8398458297600222,0.60734,1.3752658435061007,0.6488
,,62,0.8371250557777522,0.60704,1.197764939899686,0.681
,,63,0.8325696137859998,0.61124,1.2070442898364007,0.6851
,,64,0.8331923588462498,0.61116,1.4271454313133336,0.6303
,,65,0.8267403766322319,0.61328,1.1983114148997054,0.6772
,,66,0.8195702643955455,0.61494,1.2449800175956534,0.6685
,,67,0.8180376073283613,0.61504,1.2023460925379885,0.6799
,,68,0.812989832037855,0.61914,1.1805527391312998,0.6822
,,69,0.8082770842420476,0.62096,1.1373605924316599,0.6916
,,70,0.8095065972689167,0.61708,1.2303626824028884,0.6692
,,71,0.8071077711441937,0.61766,1.3203842104235781,0.6636
,,72,0.8008746838630618,0.62026,1.2593469061428988,0.6699
,,73,0.797268636696174,0.62234,1.2429735592648954,0.6694
,,74,0.795208272879081,0.62442,1.2474152966390681,0.6685
,,75,0.7991299982875815,0.62396,1.247585493552534,0.6798
,,76,0.789259166668748,0.6268,1.1998943490318106,0.6833
,,77,0.7934784114818134,0.62728,1.1802737569507165,0.6787
,,78,0.7837310753515004,0.62734,1.210028017623515,0.6786
,,79,0.7862855189901483,0.62894,1.1774053339716755,0.6844
,,80,0.7840901858666364,0.63166,1.1482135676130463,0.6925
,,81,0.7781859883262069,0.6309,1.2801591361625284,0.6667
,,82,0.7800962205433175,0.63276,1.1474693455273592,0.693
,,83,0.7735988494685239,0.63838,1.1692295821407173,0.6931
,,84,0.7745742598153136,0.63354,1.230809259263775,0.6846
,,85,0.7634235580863855,0.63522,1.197559507587288,0.6794
,,86,0.7615235774108516,0.64198,1.22363835950441,0.6774
,,87,0.7625236232262438,0.63992,1.1559912230395064,0.6946
,,88,0.7601943503865196,0.63976,1.1409283853784393,0.6952
,,89,0.7545198080179941,0.64312,1.258125974407679,0.6659
,,90,0.7466230660753177,0.6411,1.1259191021134582,0.6957
,,91,0.7556424956492451,0.64446,1.094441654561441,0.7095
,,92,0.7497579089515959,0.64418,1.192014926596533,0.6783
,,93,0.7426147979238759,0.65174,1.1156917071040673,0.7019
,,94,0.7442654784378189,0.64928,1.296986326386657,0.6663
,,95,0.7394156971246081,0.6446,1.2372430827044234,0.6752
,,96,0.7331273970396622,0.65324,1.2380293185197855,0.6759
,,97,0.736473219626395,0.64852,1.2018694809720487,0.6881
,,98,0.7356959564606552,0.65164,1.1623376947415025,0.6891
,,99,0.7268058958718234,0.6529,1.1833800545221642,0.6907
,,100,0.7284492882316375,0.65372,1.2046687829343579,0.6864
,,101,0.7286517274044358,0.65242,1.2021974295000486,0.6917
,,102,0.7252483067610075,0.65304,1.1615813321705106,0.6971
,,103,0.7194054053567559,0.65614,1.2269245982170105,0.6823
,,104,0.7180707552243987,0.65768,1.1527381086651283,0.6907
,,105,0.7100703754388463,0.65962,1.307272494593753,0.6657
,,106,0.7105057863018397,0.66128,1.2487417897091637,0.6776
,,107,0.7129829702017557,0.66262,1.1144674797601337,0.7018
,,108,0.706669371908583,0.66112,1.19325541695462,0.6863
,,109,0.7081886677790785,0.65994,1.1519183939016318,0.6973
,,110,0.7002331209762017,0.66658,1.12493267768546,0.7041
,,111,0.6992323343711131,0.66582,1.1131096784072587,0.7079
,,112,0.69033083220577,0.66862,1.1773412431342691,0.6948
,,113,0.6972785770435772,0.66616,1.1455160515217842,0.7029
,,114,0.6968784701946141,0.66784,1.1986150205889834,0.6928
,,115,0.6863751980807166,0.67116,1.2266253059423422,0.6799
,,116,0.6867414415644868,0.66948,1.0993508372125746,0.7128
,,117,0.6803579850270011,0.67238,1.0462200573728055,0.7229
,,118,0.6775522120773335,0.67348,1.131938709488398,0.7046
,,119,0.674366531774516,0.6764,1.1195887893061094,0.7049
,,120,0.6773346521512932,0.67844,1.05171498090406,0.7242
,,121,0.6751827586947194,0.67606,1.3881420432766782,0.6521
,,122,0.6737419886662223,0.67584,1.1222905976862847,0.7052
,,123,0.6654682307292128,0.68262,1.1105675689781769,0.7046
,,124,0.6727109415756772,0.67814,1.0777841798866852,0.7098
,,125,0.6673720829627093,0.68162,1.1306135231935526,0.7013
,,126,0.6631045859792958,0.67936,1.1418744536894787,0.7036
,,127,0.6605619510726246,0.6812,1.0818807233737995,0.7175
,,128,0.6542991193206719,0.68786,1.1392024627214745,0.7012
,,129,0.6529517519809401,0.68438,1.0608326023138022,0.7215
,,130,0.645534887490675,0.68986,1.0850725226764437,0.7113
,,131,0.642778933810456,0.69066,1.1348988941953153,0.7016
,,132,0.6500478039312241,0.68564,1.0682016573374784,0.7174
,,133,0.6443597445707492,0.6905,1.1137654517270341,0.7042
,,134,0.6391403460136765,0.69244,1.140035768098469,0.7068
,,135,0.6418385956141041,0.69072,1.0523036778727664,0.7244
,,136,0.6312527366154029,0.69602,1.0501500881170924,0.7234
,,137,0.6366627445001432,0.6959,1.040044432199454,0.7247
,,138,0.6265864347862771,0.69402,1.0677431459668316,0.7179
,,139,0.6272710095281187,0.69536,1.0056857210171373,0.732
,,140,0.6254686941118801,0.69652,1.0746539476551586,0.7185
,,141,0.6137849138978192,0.70102,1.1183892767640609,0.704
,,142,0.6186685623872615,0.70266,1.0858455639851243,0.7149
,,143,0.6152722324099382,0.70226,1.2410993681678288,0.684
,,144,0.6161593639332316,0.70188,1.0852741840519482,0.7148
,,145,0.6085865964822452,0.70798,1.0496051130415518,0.7232
,,146,0.6119362089944922,0.70516,1.0998139011708996,0.7119
,,147,0.6035585879822216,0.70728,1.222386572179915,0.6817
,,148,0.6007690484566457,0.70666,1.1343707027314585,0.7103
,,149,0.6023316187474429,0.7079,1.1002176562442054,0.7133
,,150,0.5917927202818644,0.71268,1.0328473426118683,0.7317
,,151,0.603517108866016,0.70668,1.0676512710655792,0.7206
,,152,0.5868216945082331,0.71476,1.0263241687907447,0.7298
,,153,0.5880645925126722,0.71654,1.067495493194725,0.7189
,,154,0.5821735169881445,0.7158,1.122741911984697,0.7119
,,155,0.5809318004819133,0.71658,1.0231287668022928,0.7328
,,156,0.5778904191368376,0.71832,1.1221588299244265,0.7109
,,157,0.5815314587272341,0.7165,1.123687449135358,0.7104
,,158,0.5782146444710929,0.72108,1.0529633979254132,0.7279
,,159,0.5670260983659788,0.72094,1.073156726511219,0.7232
,,160,0.5643812812807615,0.72508,1.101496094389807,0.7155
,,161,0.5634265524499557,0.72612,1.0204983979840823,0.7373
,,162,0.5630672977251165,0.72694,1.0094588768633106,0.7332
,,163,0.5577435464505345,0.72826,1.0264259003385712,0.7332
,,164,0.557001469232847,0.7265,1.0748355132115037,0.7296
,,165,0.5497896070675472,0.7278,1.0500377959842924,0.7299
,,166,0.5505298929446188,0.73136,1.1226501917537255,0.7133
,,167,0.539608436014951,0.73638,1.0324819035167936,0.7334
,,168,0.5394838530084362,0.73364,1.0760269874258885,0.7207
,,169,0.5420682715333026,0.73372,1.0301706006255331,0.7313
,,170,0.5353831811176847,0.7352,1.0158548596539074,0.7342
,,171,0.5304212975684944,0.73914,0.9921880628489241,0.7448
,,172,0.5338065681402641,0.73674,1.0221293342264393,0.7344
,,173,0.524509849222115,0.74144,1.012522868717773,0.7356
,,174,0.527415910721435,0.74164,1.0720923905131183,0.7288
,,175,0.521103018766169,0.74442,1.0282070327408706,0.7397
,,176,0.5208662525009926,0.7442,1.0435694192029252,0.7372
,,177,0.517217286483711,0.7476,1.0014291217055502,0.7364
,,178,0.5150872180833841,0.74834,1.1091509038888956,0.725
,,179,0.5135610168394835,0.74798,1.0971812719031224,0.7251
,,180,0.5037759261210556,0.7492,1.06285413005684,0.728
,,181,0.5045709572637173,0.74906,1.0509666227087189,0.7305
,,182,0.5052008180667067,0.75096,0.9903382923029647,0.7432
,,183,0.5016248549341851,0.75028,1.0351251273215571,0.7354
,,184,0.4971481818524773,0.75402,0.9941458717177186,0.7479
,,185,0.49682325002787364,0.75534,1.0084830266010911,0.7479
,,186,0.4884471939805219,0.75836,1.0271038345143766,0.7391
,,187,0.48567669951092557,0.76046,1.0898947670489927,0.7233
,,188,0.4839092028110533,0.76078,1.0389953406551216,0.7331
,,189,0.48164131772487667,0.76048,1.0740137402015397,0.7266
,,190,0.47576622882157643,0.76486,1.039595183692401,0.7359
,,191,0.47499460004784566,0.76478,1.059813912910751,0.7364
,,192,0.47052465436403706,0.76648,1.0389920344835595,0.7401
,,193,0.46607206056794853,0.77032,1.0238127949871594,0.742
,,194,0.46377113126123043,0.77094,1.0482620536526548,0.7402
,,195,0.45965020400483897,0.76906,1.0288292494001268,0.7427
,,196,0.45750209986401336,0.77262,1.0445433440087717,0.7371
,,197,0.4558859972850136,0.77374,1.0362654426429845,0.7409
,,198,0.4549461122973801,0.77364,0.9934847030458571,0.7473
,,199,0.4500477185944462,0.77716,1.0779222083997122,0.732
,,200,0.4490022149384784,0.77624,0.975197516664674,0.751
,,201,0.4395397008989778,0.78124,0.9915863177444362,0.7444
,,202,0.4383550497424572,0.77986,0.9924256016936484,0.7479
,,203,0.4338138861119595,0.7825,0.998686696909651,0.7495
,,204,0.4293129010426114,0.7856,1.0268123715738706,0.7458
,,205,0.4326068518869102,0.78576,0.9971623088740096,0.7473
,,206,0.42189119287464016,0.78816,0.9852278813531127,0.7534
,,207,0.4199706487491003,0.79026,0.970765626883205,0.7501
,,208,0.42153665232841314,0.79038,1.0105792834788938,0.7461
,,209,0.418036273830687,0.78982,0.9310185200051416,0.7675
,,210,0.4122594716146474,0.79166,0.972084070308299,0.7547
,,211,0.41418811442602016,0.7932,0.9822531176518791,0.7567
,,212,0.40740282768788544,0.79542,1.020641020581692,0.7487
,,213,0.40429083046400943,0.79956,1.0182327945021135,0.7455
,,214,0.4002286962535985,0.80122,0.9658365189274655,0.7566
,,215,0.39686768980282344,0.80012,0.9760601905327809,0.7552
,,216,0.3924893251312968,0.80246,0.963002090212665,0.7573
