Clean Accuracy,78.54,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,17.862,1,2.073288528510677,0.05248,3.917317936692057,0.0857
shot_noise,28.072,2,1.8925701449899113,0.0942,3.6534434843666945,0.1292
impulse_noise,54.416,3,1.7676076108537366,0.13692,3.9582199054428293,0.1373
defocus_blur,66.862,4,1.6301383078860505,0.17814,3.586731334275837,0.1548
glass_blur,50.506,5,1.518216815141156,0.2155,3.870272289348554,0.153
motion_blur,59.078,6,1.4264087539804562,0.2498,3.048874755448933,0.2495
zoom_blur,63.726,7,1.3525180462986002,0.28188,3.4877768830408025,0.2072
snow,63.614,8,1.2674756864147723,0.30712,2.6121946950502033,0.3196
frost,55.16,9,1.2144092380848077,0.33214,2.936121023153957,0.2819
fog,64.106,10,1.1688980062294494,0.35014,2.5061972292163706,0.3501
brightness,75.08,11,1.1241717346184088,0.36926,2.4034793829616112,0.3905
contrast,59.374,12,1.0827624811540784,0.38902,2.3516081118885475,0.3988
elastic_transform,66.358,13,1.0507284582728316,0.40344,2.069703722301918,0.4607
pixelate,55.636,14,1.0132853611350974,0.41804,1.9967270048358772,0.4798
jpeg_compression,52.518,15,0.9866003808767899,0.4258,1.9569066989270947,0.4949
speckle_noise,32.106,16,0.9698902034698544,0.43872,2.186419449275053,0.4482
gaussian_blur,62.316,17,0.9454028415862862,0.45038,1.9375574015363861,0.4933
spatter,68.23,18,0.9297419039489668,0.45626,1.7457070833520045,0.5382
saturate,63.292,19,0.9093958601317442,0.46608,1.79310044306743,0.5207
Average,55.700631578947366,20,0.8875177831905882,0.47412,1.7466905780985384,0.5336
,,21,0.8785685157531973,0.48012,1.795266512074048,0.521
,,22,0.8575098197478468,0.48896,1.6506742480434948,0.5644
,,23,0.8575316448040935,0.49034,1.6027338836766496,0.5727
,,24,0.827891532569895,0.49548,1.5539772721785534,0.5806
,,25,0.8212671821074717,0.5011,1.4609490723549565,0.6027
,,26,0.81638333163298,0.50662,1.5250121702121784,0.5864
,,27,0.8020190450236621,0.51478,1.3504042534888545,0.6285
,,28,0.792352186901795,0.516,1.5746281810953646,0.5879
,,29,0.7877526700953998,0.52226,1.3910338146777093,0.622
,,30,0.7745274061437153,0.52736,1.3356514180762857,0.6365
,,31,0.7683310325798172,0.53014,1.3444604119168053,0.6244
,,32,0.7708790422705434,0.52988,1.4070842175544063,0.6179
,,33,0.7574512694802735,0.53392,1.5316682646546183,0.5831
,,34,0.7456681063717894,0.53822,1.5164924844910828,0.5981
,,35,0.7426597029351822,0.54494,1.3561584504344795,0.6328
,,36,0.7413846021113188,0.5427,1.4942688489262062,0.6034
,,37,0.7331078061667244,0.54832,1.2955968123448045,0.6483
,,38,0.7216367863328256,0.55002,1.3210597309885146,0.6386
,,39,0.716318064943299,0.54944,1.3463889662223527,0.6387
,,40,0.7174479382117386,0.55312,1.4129783812957475,0.6199
,,41,0.7013962575999062,0.55904,1.2845981513397604,0.6503
,,42,0.7042853373395818,0.5596,1.3366149211231666,0.6357
,,43,0.701873973659847,0.56102,1.328230308581002,0.6379
,,44,0.6918302217255468,0.56662,1.3157429136807406,0.6455
,,45,0.6927595434286405,0.56488,1.2814614410641827,0.6511
,,46,0.6867085510812452,0.57046,1.3971483254734474,0.6271
,,47,0.679177317396759,0.57202,1.3146412621570538,0.6487
,,48,0.6733361574085167,0.57406,1.309652696681928,0.6468
,,49,0.671425495077582,0.57354,1.359710627718817,0.6359
,,50,0.6632816852511042,0.57538,1.2541698466373394,0.6568
,,51,0.6578420866328432,0.57894,1.2749734453008146,0.6508
,,52,0.659130418925639,0.5818,1.267236188242707,0.6588
,,53,0.6579202665087512,0.58066,1.3322441427013543,0.6452
,,54,0.653510342168686,0.58534,1.3507148917717269,0.6446
,,55,0.6541617522611642,0.58204,1.318492911284483,0.6499
,,56,0.6480726661432125,0.5859,1.197398279286638,0.6664
,,57,0.6402834639372423,0.58702,1.2627823707423633,0.6641
,,58,0.6426891452058807,0.59106,1.2510322634177873,0.6647
,,59,0.6379536850678037,0.591,1.223500669002533,0.6647
,,60,0.6335318205149277,0.59154,1.1876474068134646,0.6758
,,61,0.6270332412646554,0.59398,1.297962612743619,0.655
,,62,0.626857139875212,0.59578,1.271181682997112,0.6612
,,63,0.629411261938417,0.59534,1.2030290606655651,0.6766
,,64,0.6215952666824126,0.5986,1.3220191062251223,0.6418
,,65,0.6192791967288308,0.59876,1.278664460665063,0.6577
,,66,0.6133465856847251,0.60144,1.226475087902214,0.6713
,,67,0.6110057911604566,0.5989,1.140564397920536,0.6898
,,68,0.6113670859342951,0.60774,1.2846881430360335,0.6597
,,69,0.6049602928064058,0.60764,1.1707544870014432,0.6813
,,70,0.6039002472939698,0.60816,1.1199184007282499,0.6998
,,71,0.6013507134164385,0.60728,1.202601220788835,0.6732
,,72,0.600343149260182,0.6053,1.2527283550817756,0.6704
,,73,0.5918362714597941,0.6098,1.2947661446619638,0.6559
,,74,0.5923877398833595,0.61178,1.5352324398258064,0.6051
,,75,0.5947191637495289,0.61166,1.1310452592523792,0.6968
,,76,0.5861914827085822,0.61634,1.171953109246266,0.6874
,,77,0.5938502289450077,0.61116,1.197011579441119,0.6775
,,78,0.5802956528370947,0.61634,1.2392658681809148,0.6662
,,79,0.5833217628929012,0.6184,1.202839801583109,0.6799
,,80,0.5841850795404381,0.61696,1.1469377068024647,0.6915
,,81,0.5718106630513126,0.61948,1.1127273877964745,0.6983
,,82,0.5783556182213756,0.61954,1.1324292994752716,0.6963
,,83,0.5770305738119823,0.62202,1.1323696171181112,0.6982
,,84,0.5741328420236592,0.62268,1.2495997170858746,0.673
,,85,0.5636551284119297,0.62438,1.1193920977507965,0.6971
,,86,0.5618772927452537,0.63198,1.2220575190797638,0.675
,,87,0.5649880900254944,0.62806,1.2288866412790516,0.6799
,,88,0.5659362025882887,0.62418,1.1873991783661177,0.6876
,,89,0.5596732847830829,0.62868,1.222533638718762,0.6818
,,90,0.5554646361819313,0.62656,1.1846413921706285,0.682
,,91,0.5601287699111587,0.62888,1.111293055588686,0.7019
,,92,0.5524503593249699,0.62882,1.1205442472349239,0.6961
,,93,0.5483602014039178,0.63596,1.1665136225615875,0.6869
,,94,0.5527686157342419,0.63452,1.1556324951256378,0.6878
,,95,0.5419499053217262,0.63332,1.1209239250496974,0.6981
,,96,0.5403685684856552,0.63816,1.1487617205969896,0.6915
,,97,0.5438861345391139,0.63536,1.3459403039533882,0.6452
,,98,0.5464284927643779,0.63648,1.1401757341396959,0.6944
,,99,0.5358231409126536,0.64006,1.1967245687412311,0.6849
,,100,0.5361635325204991,0.64152,1.1269656668735455,0.6946
,,101,0.5356627897075985,0.63966,1.4944760060008568,0.6206
,,102,0.5315797822097378,0.64084,1.128588171699379,0.6983
,,103,0.537784025720928,0.6363,1.349654024160361,0.6525
,,104,0.5263317242607741,0.6466,1.2996882087067714,0.6679
,,105,0.5232013239884925,0.64656,1.0717697724511352,0.7124
,,106,0.5217488494980366,0.64784,1.1275527379180812,0.6955
,,107,0.5230680725458637,0.64802,1.085554444337193,0.7078
,,108,0.5187660026580782,0.64594,1.13563147602202,0.6937
,,109,0.5178333964494183,0.64586,1.103408923631982,0.7084
,,110,0.5135830936529447,0.65352,1.1359538345397273,0.6984
,,111,0.5116708750462593,0.65136,1.242124245136599,0.6767
,,112,0.5075647302753176,0.65452,1.1686837597738338,0.69
,,113,0.5130223560211299,0.65044,1.1890783875803403,0.6883
,,114,0.5086217361795323,0.65434,1.2153443596031093,0.6811
,,115,0.49871776811302165,0.659,1.1458047220978556,0.6931
,,116,0.5011893811128328,0.65878,1.0610313385347776,0.7146
,,117,0.4991401388212238,0.65876,1.2002041181431542,0.6852
