Clean Accuracy,79.36,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,17.36,1,2.4874565500737456,0.05596,4.035273512707481,0.0782
shot_noise,27.038,2,2.2887996212600745,0.10396,3.614634987674182,0.1399
impulse_noise,55.104,3,2.133716044523527,0.15252,3.287082675137097,0.195
defocus_blur,67.226,4,1.982557865055016,0.19882,3.532890368111526,0.1732
glass_blur,49.354,5,1.8392955046480575,0.2424,3.39767047121555,0.2066
motion_blur,59.288,6,1.7295229328257957,0.27658,2.9385360856599445,0.2669
zoom_blur,64.206,7,1.6424171375801495,0.30708,2.952447498900981,0.2798
snow,64.948,8,1.5679781885098314,0.33436,2.333593510374238,0.3897
frost,56.314,9,1.5067569291805063,0.35724,2.448537165605569,0.3735
fog,67.806,10,1.4483507277105776,0.37872,2.223887857002548,0.4228
brightness,75.786,11,1.4038138792033086,0.39602,2.1493770532970187,0.4397
contrast,65.7,12,1.359037770334717,0.41222,2.1326501354386536,0.451
elastic_transform,66.732,13,1.3161880030961293,0.42892,2.2391118037549753,0.4415
pixelate,56.252,14,1.282034533407987,0.44556,2.0893394086934345,0.4616
jpeg_compression,52.894,15,1.2461805993028918,0.45436,1.892280620864675,0.5029
speckle_noise,30.408,16,1.226044029378525,0.46682,1.7213726436035544,0.5406
gaussian_blur,62.968,17,1.2035971331169537,0.4715,1.7172150129004369,0.5379
spatter,70.362,18,1.1745770479102269,0.48048,1.8076011395152611,0.515
saturate,66.306,19,1.1528047586950805,0.49288,1.5994822043406813,0.5741
Average,56.63431578947368,20,1.139095823783094,0.50104,1.6801739644400682,0.5661
,,21,1.1190617773538964,0.50588,1.7641541822047173,0.54
,,22,1.1062892149476444,0.51114,1.5143991301331339,0.5911
,,23,1.0942624468937554,0.51694,1.595123814631112,0.5809
,,24,1.072749627520666,0.52274,1.555943774271615,0.5945
,,25,1.0564282923708181,0.52926,1.5028610425659372,0.597
,,26,1.0501821954232042,0.53398,1.5316686720787724,0.5961
,,27,1.0311923769428908,0.54154,1.4506784798223762,0.6158
,,28,1.029554107000151,0.54198,1.5512869629678847,0.5915
,,29,1.0085864356716576,0.55146,1.423466089405591,0.6228
,,30,1.0062269748324324,0.55472,1.3712748681442648,0.6301
,,31,0.9884715542159117,0.55872,1.4348088683961313,0.6263
,,32,0.9861327659748399,0.56034,1.4343753434434723,0.6242
,,33,0.9710205250688831,0.56886,1.4883514476727835,0.611
,,34,0.9712252862313214,0.56688,1.4418958727317521,0.6212
,,35,0.96013928465831,0.57174,1.4963278800626345,0.63
,,36,0.9556531389351086,0.57552,1.352432525610622,0.6511
,,37,0.9460680570138995,0.57612,1.3693775647803197,0.6504
,,38,0.9390899247830481,0.57968,1.367346906963783,0.6392
,,39,0.9294953573390347,0.58278,1.395617036879817,0.6327
,,40,0.9283145676793345,0.5847,1.3515043990521491,0.642
,,41,0.9196141662500094,0.58608,1.353845486158057,0.6456
,,42,0.9105936052549221,0.5925,1.285377769530574,0.6473
,,43,0.9089722979404128,0.59062,1.43388733833651,0.6223
,,44,0.9000061410467338,0.59604,1.35802700851537,0.6425
,,45,0.9007026790962804,0.5932,1.416415659687187,0.6332
,,46,0.8985694006580831,0.59704,1.3154057883009125,0.6585
,,47,0.8862593898078059,0.60368,1.2660102202922483,0.6628
,,48,0.8897925138168628,0.60116,1.295531041260007,0.6519
,,49,0.877131168799632,0.60362,1.3351174479798427,0.6519
,,50,0.8761686428123728,0.60582,1.2073964521854739,0.6689
,,51,0.8756159345817078,0.60508,1.3307797403275212,0.6661
,,52,0.8679621919341709,0.60678,1.2605142804640759,0.6686
,,53,0.8583840796404787,0.61508,1.5191776767561707,0.61
,,54,0.8563804527377838,0.61572,1.1745800534381141,0.6908
,,55,0.8528865956894273,0.61402,1.2069383150414577,0.6849
,,56,0.8478133054950353,0.6114,1.3726138600820228,0.6376
,,57,0.8478473947786004,0.6184,1.2652273396902447,0.6664
,,58,0.8460220098495483,0.61774,1.2325969708116749,0.6855
,,59,0.8435870511147677,0.61974,1.360686490052863,0.6481
,,60,0.83940779248162,0.61692,1.3788569682761083,0.6665
,,61,0.8330101963809079,0.62106,1.2587445989439758,0.6696
,,62,0.829695885596068,0.62348,1.4046809643129758,0.6381
,,63,0.827874908819223,0.6234,1.299505941475494,0.6662
,,64,0.8303220598289119,0.62268,1.2733995801285853,0.6581
,,65,0.8227067591284242,0.62742,1.268206008627445,0.6668
,,66,0.8174140308519153,0.628,1.3695818955385233,0.6532
,,67,0.8142670258841551,0.62892,1.1973060920268674,0.6852
,,68,0.8073643729509905,0.63026,1.295768392236927,0.664
,,69,0.8039997015767695,0.63324,1.228923910026309,0.6853
,,70,0.8051570196590765,0.63378,1.2401652539832682,0.6751
,,71,0.7984039864271802,0.63816,1.3499710054337224,0.6637
,,72,0.7976900471750733,0.63694,1.2402423212799845,0.6699
,,73,0.7896020866720878,0.64034,1.1943975241878364,0.6867
,,74,0.7876074349178988,0.63896,1.4312719883798044,0.6365
,,75,0.7867244591798319,0.6418,1.1965778764290145,0.6828
,,76,0.7845621980974437,0.64136,1.2961787309827684,0.6713
,,77,0.7830436836423167,0.64324,1.3715277351910555,0.6538
,,78,0.779245777813065,0.64284,1.2102696148655083,0.6908
,,79,0.7761118514153659,0.64416,1.238575063174284,0.6712
,,80,0.7793131772514499,0.64432,1.2020068493070482,0.6941
,,81,0.7701786782430566,0.64846,1.2996441654012174,0.6653
,,82,0.7641326452765014,0.6503,1.245540046239201,0.6751
,,83,0.7672880456575653,0.6486,1.1261563029470323,0.7115
,,84,0.7647963817162282,0.65014,1.176183806944497,0.6901
,,85,0.7671201040067941,0.64858,1.2168069934543175,0.684
,,86,0.7584703535679966,0.65044,1.2299147919763493,0.6763
,,87,0.7547001088671672,0.65558,1.2373826126509075,0.6786
,,88,0.7613790576415294,0.65584,1.2071054834353774,0.6855
,,89,0.7506359826268443,0.65588,1.2800322190115723,0.6706
,,90,0.745549996338232,0.65536,1.212253212928772,0.6934
,,91,0.7452853053731991,0.66034,1.2324402377575259,0.6825
,,92,0.747154600327582,0.65962,1.1944540527802479,0.701
,,93,0.7374593502725176,0.66204,1.1992308414435084,0.6879
,,94,0.7412155769060335,0.66596,1.1433016740823094,0.7038
,,95,0.732327204226228,0.66068,1.2281353232226795,0.6915
,,96,0.7351821273793955,0.66272,1.2223190182371984,0.6917
,,97,0.7282263490245166,0.66826,1.1905326171766353,0.6999
,,98,0.7175960295340594,0.6708,1.2450892110414142,0.6888
,,99,0.7235472295290369,0.6649,1.1824734859828707,0.6865
,,100,0.7233054878766579,0.66746,1.2496791972389705,0.6738
,,101,0.72390722283317,0.66936,1.2489941014519221,0.684
,,102,0.7080608155111523,0.67318,1.3767084879211233,0.6532
,,103,0.7144579544396656,0.67352,1.300558705118638,0.6696
,,104,0.7106843163900058,0.67588,1.256768273401864,0.6784
,,105,0.7070974721323193,0.67486,1.1658868985840036,0.694
,,106,0.7068140910714483,0.67502,1.1866456172134303,0.7039
,,107,0.7009290045179675,0.67712,1.1989901020557066,0.6859
,,108,0.7055693490578391,0.67572,1.4434596013419236,0.6429
,,109,0.6939800598889666,0.67936,1.0965812568423114,0.7176
,,110,0.7046585851313208,0.67642,1.2071250118786776,0.6879
,,111,0.6936178506182893,0.68034,1.1935951309868051,0.7002
,,112,0.6947413600619187,0.68118,1.2391161843191218,0.6842
,,113,0.6864158208565334,0.68274,1.1649737946594818,0.705
,,114,0.6857552939211317,0.6856,1.1134362092501,0.7135
,,115,0.6901289181941,0.68284,1.1386867135385923,0.7033
,,116,0.6846034442982101,0.68368,1.1641325694096238,0.7045
,,117,0.6749541175639843,0.6875,1.1083581470235992,0.7174
,,118,0.6769701672332061,0.6859,1.1224924944624115,0.7163
,,119,0.6754356043418045,0.69054,1.1036834935598736,0.7117
,,120,0.6752650952705032,0.68766,1.1583409354656558,0.7055
,,121,0.6646848532854749,0.69268,1.1707627826099154,0.6955
,,122,0.6653074891213566,0.69284,1.1372089114370225,0.705
,,123,0.6562815297899953,0.6937,1.1783322518384909,0.6993
,,124,0.6613152797722146,0.69496,1.1650803866265695,0.6971
,,125,0.6582255064678924,0.69368,1.0658610515956637,0.723
,,126,0.658762834794686,0.69756,1.1807186324385148,0.7056
,,127,0.6545749736563934,0.69866,1.104075243201437,0.7159
,,128,0.6457305868415881,0.69834,1.1396969685071632,0.7043
,,129,0.646321572992198,0.69944,1.0694269077687324,0.7214
,,130,0.6500900505143968,0.69928,1.126766809179813,0.7103
,,131,0.6414392335183176,0.70144,1.1850665189042877,0.6962
,,132,0.6353352049275127,0.7028,1.1022297302378883,0.7105
,,133,0.6310808077035353,0.71028,1.1581472090527982,0.7017
,,134,0.6290819993256913,0.70556,1.1481174472012097,0.7046
,,135,0.633872900320136,0.7048,1.07674388191368,0.7206
,,136,0.6329930994059424,0.70924,1.1720097894910015,0.7009
,,137,0.6290507322687018,0.70656,1.1288875198062462,0.7106
,,138,0.6208311882622711,0.71056,1.1331041477903534,0.7132
,,139,0.6198304925885652,0.7127,1.11660987289646,0.7161
,,140,0.6233741743180453,0.71162,1.05402078281475,0.735
,,141,0.6152219306629942,0.7148,1.1403483152389526,0.71
,,142,0.6136135542789078,0.71682,1.0853694850885416,0.7228
,,143,0.6086255292148541,0.7175,1.1233415460284752,0.7125
,,144,0.6058583973008959,0.7189,1.0784027244471297,0.7206
,,145,0.6068324102922473,0.72268,1.1118112462985366,0.7177
,,146,0.6059389970339167,0.71866,1.1176432273055934,0.7151
,,147,0.5974160049425061,0.72408,1.190371244768553,0.7046
,,148,0.5935522404015826,0.7247,1.077502424958386,0.7261
,,149,0.5893219707109739,0.72604,1.0936513890193988,0.7228
,,150,0.5953377366370862,0.72172,1.1467745764346062,0.7092
,,151,0.589727860963558,0.7274,1.0947324173359931,0.7268
,,152,0.5898686262500256,0.72564,1.0647178126286856,0.7284
,,153,0.5820595595385413,0.72902,1.0458958677098722,0.7394
,,154,0.5810723466336575,0.72808,1.1374421044241023,0.7075
,,155,0.573579095666061,0.7346,1.0483046589018423,0.7319
,,156,0.5694345414181194,0.73478,1.092930577223814,0.7231
,,157,0.573036098419248,0.73468,1.0463289346876024,0.7347
,,158,0.5700674404573562,0.73446,1.0426049617272388,0.7384
,,159,0.5698516096757806,0.73484,1.0689969870108593,0.7259
,,160,0.5628024787091843,0.73778,1.0344562719139871,0.7378
,,161,0.5640616372723104,0.74076,1.0704266655294201,0.7292
,,162,0.5550272247522993,0.74106,1.0401319567161271,0.7373
,,163,0.5566958823167455,0.7433,1.0557959985129441,0.7313
,,164,0.5456362471860998,0.7482,1.1714292183707031,0.7065
,,165,0.5458230209320097,0.7439,1.1896242212645616,0.6998
,,166,0.5469883416619752,0.74416,1.0209866505634935,0.7381
,,167,0.5408474602510253,0.74638,1.112385254117507,0.7222
,,168,0.540087038598707,0.74834,1.0491358011583738,0.7339
,,169,0.5365848895686361,0.7523,1.0630219797544842,0.7333
,,170,0.5339267251589109,0.75272,1.058477586583246,0.7329
,,171,0.5309761347978011,0.75374,1.0896443392657027,0.7223
,,172,0.5217253541397622,0.75552,1.1477577716489382,0.719
,,173,0.5223648238669881,0.75558,1.0409201760835285,0.7362
,,174,0.5249206491595949,0.7542,1.0566966111146952,0.7342
,,175,0.5152178244365145,0.7588,1.0216788755187505,0.7377
,,176,0.518127043533813,0.75772,1.0871485132205336,0.7281
,,177,0.5136801559297021,0.75776,1.056379288812227,0.737
,,178,0.516322474269306,0.7586,1.0862945099420185,0.7296
,,179,0.5055958018888294,0.76328,1.058691681185855,0.7376
,,180,0.506601904054432,0.76294,1.0148709816268728,0.7428
,,181,0.5000858825948232,0.76896,1.0658319622655459,0.7333
,,182,0.5001610333809767,0.76574,1.0923511740527576,0.7243
,,183,0.4959077107174622,0.77102,1.029843279078037,0.7472
,,184,0.4920735355380856,0.7686,0.9848254066479357,0.7458
,,185,0.48801628182001433,0.7669,1.0344271478773672,0.7432
,,186,0.4871081590195141,0.77284,1.081709368319451,0.73
,,187,0.487225710202361,0.77376,0.9898238151888304,0.7503
,,188,0.4819917902922082,0.77038,1.00856530968147,0.7485
,,189,0.47745058580737587,0.77642,1.0587592260747016,0.7324
,,190,0.47279203166742156,0.77984,1.0245935366123538,0.7436
,,191,0.46970374908898493,0.77992,1.0609789558603793,0.7347
,,192,0.4698517098451209,0.77874,1.083493606199192,0.733
,,193,0.4663828853755961,0.78236,1.077256384529645,0.7334
,,194,0.46311949814676934,0.78064,0.982345172121555,0.754
,,195,0.45633021218087666,0.78612,1.0298040629942207,0.7426
,,196,0.4578641647725459,0.78374,1.029160707811766,0.7445
,,197,0.4496748653214301,0.79036,1.0072965327697465,0.7459
,,198,0.45227670036923245,0.7883,1.0036157927935636,0.7518
,,199,0.44309405041167804,0.79162,1.0081445831286757,0.7476
,,200,0.4428149947272542,0.79112,1.040231081503856,0.7433
,,201,0.43913183668080497,0.79324,1.0268638533881949,0.7439
,,202,0.43756623173613685,0.79312,0.996495778802075,0.7523
,,203,0.43612642239426713,0.7947,0.9566870769367942,0.7604
,,204,0.42980878020796326,0.7974,1.0311299305927903,0.7423
,,205,0.4271802290931077,0.80082,0.9964015883735463,0.7522
,,206,0.429652365729632,0.80004,0.9847694627846344,0.7537
,,207,0.4240834136753131,0.79954,0.9895682085918475,0.7597
,,208,0.4163835967898064,0.80358,0.9767366896701765,0.756
,,209,0.4182880938510456,0.80586,0.9770913946477673,0.7572
,,210,0.4146321877036863,0.8055,1.0052237676668772,0.7537
,,211,0.4087338566475207,0.80738,0.9585854765735095,0.7652
,,212,0.4059721098836426,0.80826,0.9904565139661862,0.7567
,,213,0.40216025885413675,0.80874,0.9644679796846607,0.7637
,,214,0.4014450211049346,0.80892,0.9843004066732866,0.7581
,,215,0.3982563184960114,0.81356,1.0038063103639627,0.7537
,,216,0.3971106579998875,0.81234,0.9779619046404392,0.7566
,,217,0.39046845304996464,0.81676,1.0098213168639172,0.7523
,,218,0.38542062188963144,0.81652,0.984014453012732,0.7599
,,219,0.3827561568421171,0.81762,0.9585885043385662,0.7636
,,220,0.38368545964245904,0.81784,0.9867284494110301,0.757
,,221,0.3806421962159369,0.821,0.9779015100454982,0.7583
,,222,0.37606139404846883,0.82188,0.9533344763743726,0.7648
,,223,0.375703942745238,0.823,0.9311636633510831,0.7685
,,224,0.37296817263069054,0.8233,0.9737337095827996,0.7622
,,225,0.3674628476200201,0.82662,0.9735413963281656,0.7668
,,226,0.36333196897945746,0.82754,0.9313353911230836,0.7698
,,227,0.36355341105814787,0.82736,0.9343123722680008,0.7723
,,228,0.3592705037587744,0.83062,0.9279911623725409,0.7739
,,229,0.3559839561619722,0.83088,0.9500730958166002,0.7673
,,230,0.3511643857144944,0.83338,0.9427099001558521,0.7675
,,231,0.353993566863982,0.83162,0.9336045965363707,0.7705
,,232,0.34208464462433935,0.8362,0.9216829553435121,0.7753
,,233,0.34823440003882894,0.83392,0.9532199849056292,0.7655
,,234,0.3439060732760393,0.83692,0.9040672650820092,0.7783
,,235,0.3438552507506612,0.83892,0.9176050017151651,0.7739
,,236,0.33388693851735585,0.84144,0.8878642116920857,0.7821
,,237,0.3330847172404799,0.84132,0.9081643578372424,0.7741
,,238,0.3291941094962532,0.84464,0.9354080210758161,0.7701
,,239,0.32801244779468497,0.8428,0.9186320644390734,0.777
,,240,0.32983696670331003,0.84242,0.9045885846584658,0.7762
,,241,0.3267371442997852,0.84428,0.8982115010671978,0.7805
,,242,0.32384748878838765,0.84776,0.9004908136174649,0.7804
,,243,0.3220086369444342,0.84626,0.9008601134336447,0.7786
,,244,0.31504062988111736,0.84886,0.9044349518003343,0.7774
,,245,0.3109263329935806,0.85156,0.9017111794858039,0.7761
,,246,0.31288078492102417,0.85006,0.9015920924234994,0.7826
,,247,0.30909262010660926,0.85024,0.9073591933974737,0.7763
,,248,0.3068422531456594,0.85122,0.9042915098274811,0.78
,,249,0.30702778407374914,0.8546,0.9011613470089587,0.7813
,,250,0.2983408903755495,0.85384,0.9064244507234308,0.7793
,,251,0.29951383821342303,0.85334,0.9056504497045204,0.7796
,,252,0.29568439558186493,0.85766,0.905579029004785,0.7819
,,253,0.295048388640594,0.85586,0.896101124678986,0.7845
,,254,0.29540220467025974,0.85614,0.8747123894812185,0.7882
,,255,0.2924858301191989,0.85666,0.8932697999326489,0.7826
,,256,0.28973358004446836,0.86088,0.8975341818000697,0.7821
,,257,0.28663688539848914,0.8597,0.8881235628188411,0.784
,,258,0.28423753716146855,0.8601,0.9025947708117811,0.7833
,,259,0.2851787344421572,0.86266,0.8793234379985665,0.7862
,,260,0.2839015536677197,0.86264,0.8844851308231112,0.7838
,,261,0.2800496630656445,0.8628,0.886457955535454,0.7869
,,262,0.2796701750791896,0.86142,0.8821515071241162,0.7879
,,263,0.2799472804645748,0.86616,0.8797497930406015,0.7871
,,264,0.27338230670870417,0.86692,0.8786837518969669,0.7873
,,265,0.2722996999235714,0.86918,0.8680651361429239,0.7876
,,266,0.2712693425166942,0.86642,0.8695283562322206,0.7868
,,267,0.2723193149584943,0.86888,0.8749215120001684,0.7852
,,268,0.2679389311224603,0.8701,0.886850300468976,0.7866
,,269,0.26860406415541765,0.86982,0.8810106010376653,0.7858
,,270,0.26678324355493727,0.87062,0.8806663864775549,0.791
,,271,0.26269401766150197,0.87152,0.8699529035181939,0.7917
,,272,0.2651391866262002,0.86938,0.8620117751857902,0.7927
,,273,0.2648891517725747,0.86874,0.8637715993048269,0.792
,,274,0.2622490992860111,0.86866,0.8636991743800007,0.7905
,,275,0.25859186041842946,0.87666,0.865248030499567,0.7902
,,276,0.2611414730320196,0.87278,0.8640495727333841,0.7919
,,277,0.2604266278198003,0.87,0.8717924281011654,0.7905
,,278,0.25843222092484575,0.87204,0.8563906384419792,0.7935
,,279,0.25817117323655914,0.87602,0.8496131165118157,0.7938
,,280,0.2550477771579152,0.87598,0.8622390937201584,0.7926
,,281,0.2595649082642382,0.87444,0.8650400963010667,0.7918
,,282,0.257073595167121,0.87366,0.8597259430945674,0.7956
,,283,0.25516662112129923,0.87452,0.8663130576097513,0.7934
,,284,0.2523802345823449,0.87674,0.8626191374621813,0.7934
,,285,0.2506320652601969,0.87902,0.853450120249881,0.7954
,,286,0.25572425115596303,0.874,0.8564564012273957,0.7928
,,287,0.2516239895616346,0.87736,0.8638369546660895,0.7946
,,288,0.25211038236575356,0.87874,0.8643112424053724,0.7937
,,289,0.24936396676256223,0.87598,0.8572071602072897,0.794
,,290,0.2468429226857012,0.87782,0.8497674616077279,0.7948
,,291,0.24940524221686147,0.8782,0.8546654219868817,0.7954
,,292,0.249671900135172,0.87652,0.8528999060015136,0.7939
,,293,0.25079418158592165,0.8756,0.8578016644791712,0.7926
,,294,0.25377216077674075,0.87352,0.8544214896008938,0.7959
,,295,0.2500121596524173,0.87602,0.8536994042275827,0.7969
,,296,0.2499466739652102,0.87862,0.862078066868118,0.7923
,,297,0.25135822537000224,0.8772,0.8494669870485233,0.7949
,,298,0.24941367124352615,0.8761,0.8572225593313386,0.7939
,,299,0.25076981430011025,0.87828,0.8566141151174714,0.7927
,,300,0.25061552859175845,0.87746,0.8560785553123378,0.7936
