Clean Accuracy,80.04,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,40.218,1,4.242833502152386,0.05316,3.903184003467801,0.0906
shot_noise,47.86,2,3.8791177156941057,0.10284,3.7176087234593647,0.1328
impulse_noise,57.944,3,3.5961315997726166,0.1529,3.782016639468036,0.1726
defocus_blur,75.312,4,3.3177509777381293,0.20164,3.8478061307834674,0.1569
glass_blur,49.012,5,3.063167597021898,0.2444,4.062712672390515,0.1969
motion_blur,67.11,6,2.8460933448713455,0.28454,2.9486283773108375,0.3207
zoom_blur,72.976,7,2.6468040010203486,0.32818,2.534173075156876,0.3712
snow,66.572,8,2.5027720391597894,0.35672,2.147020118146003,0.43
frost,57.81,9,2.3848394768317336,0.38154,2.4693801357776306,0.4067
fog,71.264,10,2.273268082867498,0.40788,1.9918886860714684,0.483
brightness,77.662,11,2.1895048703683915,0.42668,1.9088329635088956,0.5034
contrast,72.33,12,2.1083369349579675,0.4435,1.8032846933678737,0.5211
elastic_transform,69.43,13,2.0526468500761728,0.45752,1.648291847373866,0.5594
pixelate,60.688,14,1.9949753116768645,0.47034,1.660983716385274,0.5548
jpeg_compression,56.054,15,1.942897998158584,0.482,1.619352499140969,0.5737
speckle_noise,48.662,16,1.9013096206938214,0.49436,1.7305269196063657,0.5564
gaussian_blur,74.252,17,1.8703639159726975,0.50084,1.6511881426919865,0.5631
spatter,69.86,18,1.8270772567490483,0.51374,1.540766331213939,0.5981
saturate,72.29,19,1.7754533181105123,0.526,1.6163775211648097,0.5784
Average,63.54242105263158,20,1.7542519487078538,0.52952,1.5647053190424471,0.601
,,21,1.741264767963868,0.53064,1.4611065357546262,0.6122
,,22,1.7037031065167674,0.54158,1.51848403864269,0.6045
,,23,1.685862640895502,0.5464,1.375359776653821,0.6324
,,24,1.666907020846901,0.54914,1.6180784219427953,0.5876
,,25,1.6368990420075633,0.55558,1.4907887283759782,0.6097
,,26,1.6294125166085676,0.55952,1.3204921197287645,0.6448
,,27,1.6144237737826375,0.56172,1.3771581664870056,0.6389
,,28,1.5890237596028907,0.56954,1.4873083505449416,0.6221
,,29,1.573940703021291,0.57322,1.307691195343114,0.6422
,,30,1.564312190046091,0.576,1.3630501861813702,0.6428
,,31,1.5413967221594223,0.58052,1.3510202652291408,0.6485
,,32,1.5289326848276437,0.58308,1.4543591979183728,0.6274
,,33,1.5287260378108305,0.58528,1.4877971984163116,0.6196
,,34,1.5086868562356894,0.58856,1.2799958835674237,0.6574
,,35,1.4900858890065147,0.59354,1.427599618706522,0.6485
,,36,1.486451604482158,0.5956,1.424027820176716,0.6407
,,37,1.4731239848734472,0.59766,1.3428906881356542,0.6562
,,38,1.4674983576435567,0.59834,1.2736139840717557,0.6595
,,39,1.464066124328262,0.5995,1.2783367943160142,0.6638
,,40,1.44351253698549,0.60696,1.2944407787504075,0.6578
,,41,1.4443270160109185,0.60556,1.3197120843054373,0.6718
,,42,1.4280009077638007,0.60712,1.3506564430043668,0.6617
,,43,1.435359288359542,0.60934,1.2796162359322174,0.6669
,,44,1.4060408206242125,0.61462,1.4765495748459538,0.6422
,,45,1.4051918523086002,0.61402,1.3250515709949444,0.6672
,,46,1.4059584512734962,0.6166,1.3047121438799025,0.6693
,,47,1.3920946691347205,0.6197,1.2961178512512883,0.6684
,,48,1.3854898901851587,0.6202,1.35283933108366,0.6615
,,49,1.3717257459755139,0.6227,1.5659434395500376,0.6303
,,50,1.376040047087023,0.62472,1.312377691268921,0.6738
,,51,1.3582088755219794,0.62892,1.3012479694583747,0.6672
,,52,1.3540010510198295,0.62556,1.3347766399383545,0.6685
,,53,1.3463511590457633,0.63014,1.3361080326611483,0.665
,,54,1.3535063120410264,0.62844,1.237970103191424,0.687
,,55,1.3302733988103355,0.63564,1.462271900871132,0.6467
,,56,1.3310783356047042,0.63496,1.3018270353727703,0.6707
,,57,1.32023657785962,0.6372,1.2290558226500885,0.6919
,,58,1.3294272963958018,0.63516,1.3431713965874683,0.6766
,,59,1.3223894555550402,0.63778,1.4167182566244392,0.6577
,,60,1.3213350971031677,0.63526,1.2208590515052216,0.7004
,,61,1.3031470139922998,0.6418,1.4245202043388463,0.6657
,,62,1.300305553561891,0.6428,1.244162524048286,0.6843
,,63,1.3079785918030897,0.63842,1.245002950671353,0.6878
,,64,1.2998060585592714,0.64394,1.2444947233682946,0.683
,,65,1.287086585446087,0.64754,1.292085038710244,0.6828
,,66,1.2847751670176415,0.64738,1.2748202568368068,0.6857
,,67,1.2748123779321265,0.65044,1.2841347191907182,0.6891
,,68,1.27731256076442,0.64712,1.2380880185320406,0.683
,,69,1.2697021046562877,0.65076,1.1298239034942434,0.7072
,,70,1.2611500588829254,0.65318,1.199223206767553,0.697
,,71,1.2608751895482584,0.65234,1.2474777517439444,0.6836
,,72,1.2447513530931205,0.65602,1.361979141265531,0.6739
,,73,1.2488793494451382,0.65802,1.354189257078533,0.6722
,,74,1.2373023106314032,0.65938,1.2140963945207717,0.6936
,,75,1.2399092168759203,0.66008,1.2650336623191833,0.6918
,,76,1.2424354245290732,0.65802,1.3301450685609746,0.6805
,,77,1.2278913282372457,0.65936,1.3132518461987943,0.6863
,,78,1.22489547119726,0.66322,1.2984067080896111,0.6831
,,79,1.2243458470115272,0.66266,1.2910239756861819,0.6951
,,80,1.2162210040385155,0.66456,1.338365652893163,0.6802
,,81,1.2085134272685136,0.66336,1.2449362232715269,0.6954
,,82,1.2177972228020963,0.66386,1.3599897457074515,0.6715
,,83,1.2257819491274216,0.66132,1.3436441330970088,0.6761
,,84,1.2007091885332561,0.66752,1.2150583191762996,0.6995
,,85,1.1943509618339636,0.66924,1.2987622731848607,0.6944
,,86,1.1895503929204039,0.67254,1.2440145445775381,0.6927
,,87,1.1985665776235672,0.6696,1.20921169202539,0.7018
,,88,1.1910687918248384,0.6691,1.3088224409501763,0.6828
,,89,1.1839259678445508,0.67564,1.1824331404287605,0.7087
,,90,1.1790655323916384,0.67398,1.1441039790081073,0.713
,,91,1.1739612590626378,0.67572,1.3325951597358607,0.6809
,,92,1.17652486398092,0.6763,1.2084355580655834,0.7027
,,93,1.1704591948662877,0.67628,1.281761451612545,0.6877
,,94,1.172381689176535,0.67648,1.1100132623805274,0.7215
,,95,1.1549544736857305,0.68018,1.233989582031588,0.6984
,,96,1.1523920404331764,0.68276,1.2703782169124749,0.6957
,,97,1.1390254474661845,0.68426,1.2586061939408508,0.6899
,,98,1.1402609692815016,0.68326,1.127406345892556,0.7134
,,99,1.1315872574706212,0.6865,1.1664443114135838,0.7113
,,100,1.133457423171119,0.68686,1.1703219964534421,0.7129
,,101,1.133971021455877,0.68694,1.154176553593406,0.7108
,,102,1.1403164813280715,0.68658,1.117844331113598,0.7238
,,103,1.1194058940233782,0.68886,1.2020981998383244,0.703
,,104,1.123406936293063,0.68804,1.2490944900090182,0.6975
,,105,1.1195870587587966,0.69092,1.250666371629208,0.7005
,,106,1.1030570253386827,0.69408,1.263132337527939,0.6929
,,107,1.107159787889027,0.69384,1.1943837864489495,0.7143
,,108,1.1123029054583187,0.69462,1.3063374893574775,0.6876
,,109,1.1142737223669086,0.69086,1.1750023199033133,0.7072
,,110,1.1038838394767487,0.6944,1.1366410353515721,0.7187
,,111,1.0918689365582088,0.69712,1.1793699754944331,0.7097
,,112,1.0939888791050143,0.69542,1.2132223572912095,0.7106
,,113,1.0778625811762212,0.69832,1.066716193398343,0.7259
,,114,1.0787244038203794,0.7005,1.3005247983751418,0.6908
,,115,1.0678981856616867,0.70416,1.1769904464106016,0.7216
,,116,1.0684600762089196,0.70492,1.1957971966719325,0.716
,,117,1.08364174966617,0.69958,1.1063013582289973,0.7263
,,118,1.0710314600668904,0.70422,1.2157581418375425,0.7101
,,119,1.0756878648572565,0.70056,1.2002798658383043,0.7188
,,120,1.063048815635769,0.70786,1.1864152754409403,0.718
,,121,1.0474198925525635,0.7095,1.1324715863300274,0.7315
,,122,1.0602309261746419,0.70578,1.1491751851914804,0.72
,,123,1.0527208304161306,0.70796,1.1345847807353056,0.7262
,,124,1.0446628888549707,0.70946,1.1450486069993129,0.7285
,,125,1.037377759776152,0.71362,1.149743912717964,0.7247
,,126,1.0276284405337575,0.7142,1.1752014175246033,0.7297
,,127,1.041142215814127,0.71182,1.1707553418376777,0.7162
,,128,1.0399391216695155,0.71004,1.177557270738143,0.7179
,,129,1.0247247470614245,0.71576,1.1358215635335898,0.7285
,,130,1.0201576353643862,0.7168,1.1576115421102018,0.7226
,,131,1.0134966792657858,0.71946,1.1510034678857537,0.7269
,,132,1.009836226168191,0.7177,1.176492682740658,0.7191
,,133,1.0111229247449305,0.72036,1.2058405646040469,0.7184
,,134,1.001705225318899,0.72166,1.1999532293669786,0.7213
,,135,1.0067181925639472,0.72108,1.146715115142774,0.7314
,,136,1.0005928817612435,0.72056,1.1858727607545974,0.7207
,,137,0.995667708956677,0.72414,1.1332800516599342,0.7321
,,138,0.9859564661065026,0.72922,1.328714387326301,0.7024
,,139,0.9810599323428805,0.72832,1.1147919508475292,0.7397
,,140,0.984107386425633,0.72648,1.3105982926827442,0.7061
,,141,0.9846714457587513,0.72668,1.2491511755351778,0.706
,,142,0.9838538146994608,0.72542,1.1269029627872418,0.7316
,,143,0.9804568447725243,0.72826,1.2475636571268491,0.7174
,,144,0.9724751448692264,0.73292,1.1101963376697106,0.7391
,,145,0.9633084928897946,0.73334,1.0758731885801387,0.7386
,,146,0.9552671351396215,0.73474,1.200326460071757,0.7193
,,147,0.9559961502509349,0.7352,1.2553064204469513,0.716
,,148,0.9587523905212617,0.73232,1.124691354323037,0.7321
,,149,0.9580735779174453,0.734,1.126144199431697,0.7315
,,150,0.9431369892319145,0.7385,1.1247421435162992,0.7399
,,151,0.949965761902997,0.73432,1.142237421078018,0.7314
,,152,0.9478017745725335,0.737,1.125115359885783,0.733
,,153,0.9362072203775196,0.73954,1.2006445210191268,0.7267
,,154,0.9293602802564421,0.74194,1.155014594898948,0.7318
,,155,0.9185738222068532,0.74566,1.120448113242282,0.7355
,,156,0.9076839525376439,0.7479,1.1409068696106537,0.7324
,,157,0.9065697699251687,0.74888,1.1291616204418713,0.737
,,158,0.9123821500926981,0.7475,1.1887611739243134,0.7288
,,159,0.9067931852072401,0.75072,1.1255311339716367,0.7323
,,160,0.8882246727833663,0.7546,1.1038108513325076,0.7354
,,161,0.8920998018415992,0.75366,1.1346885546853271,0.7384
,,162,0.891563250280707,0.75172,1.1330155511445636,0.7437
,,163,0.8748924733732667,0.75642,1.1568868122523344,0.7356
,,164,0.8815441546232804,0.75442,1.0633468318589125,0.751
,,165,0.8758607755231735,0.7562,1.0551742767985863,0.7481
,,166,0.873202980479316,0.75754,1.1697187650052807,0.7415
,,167,0.8606163934063729,0.7638,1.104858070234709,0.7384
,,168,0.8586914176526277,0.76084,1.1332575052599363,0.739
,,169,0.8571598045051555,0.7637,1.1034754009186467,0.7407
,,170,0.8672092020359186,0.76094,1.098370295536669,0.7465
,,171,0.8579323371048169,0.7634,1.1313217403013496,0.7452
,,172,0.8478307934368358,0.7653,1.0537958763822723,0.7576
,,173,0.8437173038797305,0.76808,1.1103057476538647,0.7437
,,174,0.8446632052016685,0.76606,1.1690384451347062,0.7295
,,175,0.8221943556805096,0.77076,1.138511356673663,0.7454
,,176,0.8445488712976655,0.76552,1.121220899533622,0.7468
,,177,0.8413499238545937,0.76746,1.1789375943473623,0.7282
,,178,0.8114131103696116,0.77526,1.1558995412874826,0.7418
,,179,0.8135808405973722,0.77488,1.1309502939634686,0.7491
,,180,0.8169776186766222,0.77604,1.2259033005448836,0.73
,,181,0.8105539091102912,0.77528,1.1837469097934192,0.7346
,,182,0.8084332827107071,0.77822,1.119455657427824,0.7501
,,183,0.8022755446946225,0.78024,1.1497062920015069,0.7416
,,184,0.7928208148540439,0.78238,1.134434933149362,0.743
,,185,0.7816498256705301,0.78368,1.0855012113534952,0.7541
,,186,0.7801897925184206,0.78306,1.048345222503324,0.7615
,,187,0.7828202904642695,0.78338,1.190905450265619,0.7358
,,188,0.7699637365005815,0.7886,1.0677336311038537,0.7531
,,189,0.7844493407422625,0.78382,1.1096599841419654,0.7531
,,190,0.7676077270141953,0.78876,1.171196954159797,0.7397
,,191,0.7627356245999446,0.78954,1.1040947339202785,0.7506
,,192,0.7451657296903907,0.79404,1.0611020967930178,0.7587
,,193,0.7509308621249235,0.79272,1.088311804246299,0.755
,,194,0.7483376577839522,0.79484,1.1400340554080433,0.747
,,195,0.7385892298672815,0.79622,1.1539595089381254,0.7485
,,196,0.7354540283722646,0.7981,1.1053033041048654,0.7578
,,197,0.73338185239326,0.7983,1.1096305847167969,0.7523
,,198,0.7299956041376304,0.80108,1.1174115659315376,0.755
,,199,0.7186344633321933,0.80286,1.0755618041074728,0.7609
,,200,0.7189437686787237,0.80172,1.067198417609251,0.7619
,,201,0.7129897023253429,0.80482,1.056682089461556,0.7652
,,202,0.7167916704169319,0.80304,1.0777554459209684,0.7639
,,203,0.7087486142392658,0.80492,1.0576302688333052,0.764
,,204,0.6962027255531467,0.80826,1.0753479841389233,0.7637
,,205,0.7013869638485677,0.8081,1.1208219482928892,0.7494
,,206,0.6911821362307614,0.81074,1.0921551411664938,0.7598
,,207,0.6766839477107348,0.81434,1.0549690549886679,0.7621
,,208,0.6836066061578443,0.81328,1.054916054387636,0.764
,,209,0.6859545809076265,0.81144,1.0352583825588226,0.7644
,,210,0.6722816859212373,0.81584,1.0460231522970562,0.7739
,,211,0.6670553593531899,0.81806,1.0534012709991842,0.7598
,,212,0.6567988523741817,0.82244,1.047369775892813,0.7638
,,213,0.6545298378485853,0.82196,1.0882645106013817,0.7649
,,214,0.6580787051821608,0.8195,1.0575179857543753,0.7679
,,215,0.656366507872901,0.81974,1.0370869429051122,0.7652
,,216,0.6464727713781244,0.82346,1.042443282996552,0.7676
,,217,0.646861622019497,0.82424,1.0449544334713416,0.7693
,,218,0.6397384430288964,0.82542,1.0377399265011655,0.7739
,,219,0.6251890907811997,0.82902,1.0441767052759099,0.7702
,,220,0.6336636556993664,0.82574,1.0011755099779442,0.7783
,,221,0.621629431881868,0.83116,1.0529559677160238,0.7735
,,222,0.6102294540008926,0.83248,1.0360811118838154,0.7705
,,223,0.6149167222592532,0.83064,1.0227575558650344,0.7774
,,224,0.6119086907800201,0.83428,1.0164345721655255,0.7803
,,225,0.605542476601003,0.83544,1.083663613735875,0.7691
,,226,0.5984686058576759,0.8368,1.0130999178826054,0.7761
,,227,0.6045131919634007,0.8354,1.0113271422024015,0.7779
,,228,0.5864849186614346,0.83962,1.0356960017469865,0.7777
,,229,0.5873838705022622,0.84164,1.0262855532803112,0.7819
,,230,0.5814302049939285,0.8403,1.040101854107048,0.7758
,,231,0.579698914533381,0.84168,1.0346129212198378,0.775
,,232,0.5740545635180705,0.84298,1.0009737905067733,0.7802
,,233,0.5724909586064956,0.84378,1.0286700318131266,0.7756
,,234,0.5707268758350627,0.84534,1.054975307440456,0.7701
,,235,0.5648260170693897,0.84732,0.9738775846324389,0.7847
,,236,0.5593516603302773,0.8467,0.9801859968825232,0.7843
,,237,0.5601170492141753,0.84908,1.0091252115708362,0.7782
,,238,0.5529954332067534,0.84882,0.9898738759227946,0.7848
,,239,0.5382519043467539,0.8545,1.0175554488278642,0.7822
,,240,0.5477985547631598,0.84998,0.990551964391636,0.7875
,,241,0.5379922505839706,0.854,0.9911255466787121,0.7828
,,242,0.5193854802862152,0.8581,0.9850902663001532,0.7792
,,243,0.5334464081412996,0.85548,1.0042123190964325,0.7836
,,244,0.5349526079109562,0.85426,1.002185107031955,0.7839
,,245,0.5248622989181972,0.85884,0.9725078208537041,0.7842
,,246,0.513038830074203,0.86162,0.9812085107911991,0.7849
,,247,0.5103729819245351,0.86066,0.9801570380790324,0.7884
,,248,0.509455273218472,0.86088,0.959796467913857,0.7865
,,249,0.5042518487824198,0.86334,0.9820237778410127,0.7897
,,250,0.5042782399965369,0.86456,0.9819117037555839,0.7894
,,251,0.5065423139678243,0.8647,0.9719833595843255,0.7866
,,252,0.49125414012033314,0.86814,0.9773756718333764,0.7874
,,253,0.48831487788111355,0.86942,0.9611944488332241,0.7921
,,254,0.4947810370446471,0.86576,0.9660966630223431,0.7922
,,255,0.48264692037764106,0.87068,0.9952890269363983,0.7899
,,256,0.48459062418516946,0.8685,0.9722374481490895,0.79
,,257,0.47976289563776586,0.87056,0.9743040264407291,0.7919
,,258,0.47674300359643024,0.8731,0.9769333012496368,0.7912
,,259,0.4756922360576327,0.87202,0.9622773969475227,0.7939
,,260,0.46419662046615423,0.87394,0.9625313266923156,0.795
,,261,0.46173838661302385,0.87472,0.9564025937756405,0.7926
,,262,0.4660098033640391,0.87354,0.963395404664776,0.795
,,263,0.46074169104361473,0.87548,0.946125412666345,0.7943
,,264,0.45579426588914584,0.87676,0.9340479969978333,0.7994
,,265,0.4610008992959776,0.87596,0.9443634386304058,0.794
,,266,0.45402053589253777,0.87734,0.935731412489203,0.7942
,,267,0.4541137320230074,0.87822,0.9437342120122306,0.7942
,,268,0.44500133437116435,0.88004,0.9293416534798055,0.7954
,,269,0.45802819286770835,0.87792,0.9306221483628961,0.7966
,,270,0.44993035079878,0.87902,0.936626175536385,0.798
,,271,0.4497845502536925,0.87952,0.9263186590581001,0.7971
,,272,0.4421758318267515,0.88036,0.9383534721181362,0.7988
,,273,0.44177939001556554,0.88096,0.9219778138625471,0.798
,,274,0.437456403851814,0.8809,0.9288638053061087,0.7991
,,275,0.4366545410793456,0.88394,0.9386087535302851,0.8008
,,276,0.4305127636550942,0.8839,0.9374709989451155,0.8004
,,277,0.42870315695967515,0.88578,0.9330656762364544,0.7979
,,278,0.4348503236880388,0.88312,0.9307713123816478,0.8
,,279,0.4300426940250275,0.88372,0.9261567577531066,0.8013
,,280,0.4412209646171316,0.8817,0.9237167224099364,0.802
,,281,0.42345058643604483,0.88624,0.928043384340745,0.8025
,,282,0.42346647431326034,0.88618,0.9264298624630216,0.799
,,283,0.42873435290268314,0.88496,0.923992066443721,0.8008
,,284,0.4196650273049884,0.88678,0.9249092581905897,0.8004
,,285,0.41644439070730865,0.8875,0.9231704669662669,0.8009
,,286,0.4188940764769264,0.88664,0.9337847617608083,0.7982
,,287,0.4160267982412787,0.88858,0.9405235278455517,0.7961
,,288,0.41515692089067396,0.88906,0.9298818111419678,0.8004
,,289,0.41246310554806837,0.88838,0.9171382290653035,0.7972
,,290,0.42014565191153064,0.8866,0.9116374620153934,0.8017
,,291,0.41719921794541354,0.888,0.942257903799226,0.7988
,,292,0.41772097688349313,0.88844,0.9309243831453444,0.8002
,,293,0.417473520311858,0.88864,0.924903613102587,0.8002
,,294,0.41771799436463114,0.8878,0.9335382724110084,0.7992
,,295,0.41976229770256734,0.88682,0.9253684810445278,0.8007
,,296,0.41629955145861486,0.88916,0.9283850758890563,0.7985
,,297,0.4176741594548725,0.8871,0.9133733461929273,0.8008
,,298,0.41536002204088907,0.88896,0.9148730680912356,0.8006
,,299,0.4121017017023033,0.88976,0.9153079515016531,0.8011
,,300,0.421743327013367,0.88564,0.9158192525936079,0.8004
