Clean Accuracy,74.6,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,17.458,1,2.388388041949943,0.08996,3.6677440601059152,0.1253
shot_noise,25.07,2,2.0743138848058402,0.19986,3.2289379276806796,0.2155
impulse_noise,19.832,3,1.8388014083628155,0.29344,2.8813798940634427,0.276
defocus_blur,64.692,4,1.6515254544480074,0.36074,2.920291287989556,0.2782
glass_blur,18.102,5,1.5066247333955887,0.40836,3.065508917917179,0.2571
motion_blur,55.976,6,1.3883894502049516,0.448,2.493254438231263,0.3645
zoom_blur,61.286,7,1.2958859443054784,0.48884,2.709728600103644,0.3371
snow,50.072,8,1.207631623196175,0.51866,2.3573427803908724,0.4242
frost,42.874,9,1.158584236031603,0.54264,2.4670785665512085,0.3832
fog,57.292,10,1.098897229375132,0.56922,2.2315303630466703,0.4512
brightness,70.14,11,1.054202874603174,0.59146,2.1867480700529076,0.4499
contrast,49.016,12,1.0055532592641727,0.60854,2.078570501713813,0.4758
elastic_transform,58.564,13,0.9633046435882978,0.62378,1.8910251765311519,0.5137
pixelate,49.62,14,0.9303912290221895,0.64088,1.7603716910639895,0.5378
jpeg_compression,44.418,15,0.8973956911460214,0.65148,1.6601184395295154,0.5659
speckle_noise,26.614,16,0.8831739933289531,0.65782,1.69599611397031,0.5571
gaussian_blur,62.116,17,0.8480356645096293,0.6689,1.867252121997785,0.5193
spatter,54.312,18,0.8282392557014895,0.68086,1.527218702473218,0.5934
saturate,61.42,19,0.7979167279075173,0.6898,1.6444393456736697,0.5762
Average,46.78284210526315,20,0.7754222993045816,0.7014,1.480066655557367,0.606
,,21,0.7605834796910396,0.70696,1.5797762146478966,0.5849
,,22,0.7469410760628293,0.71606,1.5000392696525477,0.6108
,,23,0.7252070757434191,0.72376,1.6265581936775884,0.5711
,,24,0.7198551528898957,0.72996,1.692470804045472,0.5755
,,25,0.703160063308828,0.73526,1.609845683544497,0.5906
,,26,0.6931609823880598,0.73902,1.3270968666559533,0.6477
,,27,0.6749184317601001,0.74424,1.4298749528353727,0.6248
,,28,0.6664319868435336,0.74842,1.3772864447364324,0.6398
,,29,0.657077983212288,0.75602,1.5184531800354584,0.6028
,,30,0.642289279367003,0.76268,1.368058871619309,0.6432
,,31,0.6337523788899717,0.76652,1.454045061823688,0.6228
,,32,0.6210682654319821,0.77218,1.3990000380745418,0.635
,,33,0.6114946491730487,0.77382,1.3470267381849168,0.6443
,,34,0.6037496183534412,0.77738,1.549819451344164,0.6081
,,35,0.5999823254545021,0.78216,1.4640919151185434,0.6272
,,36,0.5894165434648314,0.7864,1.4431206848047957,0.6322
,,37,0.5803762175085599,0.79062,1.4370667013940932,0.6423
,,38,0.5703941790953927,0.7939,1.8497339653063425,0.5488
,,39,0.5659935243446809,0.79614,1.4957324100446097,0.6249
,,40,0.5586095706886037,0.80024,1.4434125076366375,0.6353
,,41,0.5523365648353801,0.8017,1.3305414673648304,0.6578
,,42,0.5383797309282795,0.80782,1.4744600419756733,0.634
,,43,0.5404876420260085,0.8079,1.3810039743592468,0.6488
,,44,0.5354086381700033,0.81194,1.5462857741343825,0.6184
,,45,0.5232750446442753,0.81644,1.4811908896965316,0.6367
,,46,0.5240905791749735,0.81704,1.342108220993718,0.6606
,,47,0.5143105558422215,0.8193,1.4976142659971985,0.6281
,,48,0.5093673873130623,0.81818,1.4617931080769888,0.6383
,,49,0.5033086879783885,0.82424,1.6972806166998948,0.5999
,,50,0.502118590009182,0.82568,1.4059916214097905,0.6485
,,51,0.4944075926795335,0.82654,1.4173285976240906,0.6512
,,52,0.4886773785819178,0.83314,1.3527755435509017,0.6553
,,53,0.485338914424867,0.83272,1.5114535810072212,0.6264
,,54,0.4779639235695305,0.8387,1.4554543532902682,0.6385
,,55,0.4809548653605039,0.83614,1.3099594983873488,0.6666
,,56,0.4705346110836624,0.8397,1.4209864388538311,0.6503
,,57,0.46216570027648946,0.84342,1.331305275234995,0.6674
,,58,0.45890545684968115,0.84274,1.4187652521495577,0.6479
,,59,0.4592330334589,0.8469,1.4792821241330496,0.6398
,,60,0.4560844262542627,0.84786,1.341980049881754,0.6598
,,61,0.4546185232641752,0.84594,1.4973540954951998,0.6334
,,62,0.454155765607229,0.84948,1.4137377904940256,0.6551
,,63,0.44103233047458523,0.85328,1.4621103398407562,0.641
,,64,0.43547338277787506,0.8543,1.6109529612939568,0.6136
,,65,0.43717973524957054,0.85324,1.4510071745401696,0.6424
,,66,0.4372485619219368,0.8542,1.445138083228582,0.6524
,,67,0.43392459777614956,0.85662,1.39474903556365,0.654
,,68,0.4216080912391243,0.86056,1.443411021292964,0.6523
,,69,0.42456106220364875,0.85882,1.4568319984629183,0.6391
,,70,0.41869486567309444,0.86318,1.4239124089856692,0.65
,,71,0.41613149353305395,0.86316,1.459209546258178,0.6509
,,72,0.41290869470447533,0.86458,1.6374084994762759,0.6088
,,73,0.40950178398805503,0.86896,1.4809277751777745,0.6451
,,74,0.4063821200976896,0.86818,1.5111821407004247,0.6406
,,75,0.4038114586602087,0.86904,1.481765317011483,0.639
,,76,0.3965039233417462,0.87128,1.3355750999873197,0.6695
,,77,0.39784337705968287,0.8721,1.4185077110423316,0.6542
,,78,0.3928795103221903,0.87278,1.4082520302337935,0.6611
,,79,0.39599652546446035,0.87284,1.3890408866013153,0.6615
,,80,0.3894512859146918,0.87686,1.4761666987515702,0.6422
,,81,0.38414779999067106,0.87744,1.3152985037127627,0.6796
,,82,0.38105911176527857,0.88038,1.372569072850143,0.6663
,,83,0.38551313294779005,0.87872,1.4452695740929133,0.6491
,,84,0.38466300744839643,0.87668,1.5723417635205426,0.6469
,,85,0.3748897616287022,0.88344,1.4292612905743756,0.656
,,86,0.3641134645704113,0.88618,1.6277133181125303,0.6218
,,87,0.3731210054186604,0.88492,1.4480639945102642,0.6545
,,88,0.37419764297392666,0.88474,1.3822146216525306,0.666
,,89,0.36674169510069404,0.88666,1.357582351074943,0.6676
,,90,0.35986178393101753,0.89038,1.3140619035008587,0.6739
,,91,0.35740345022867404,0.89144,1.393485132651993,0.6622
,,92,0.36097638507175933,0.88556,1.6051251692107962,0.6293
,,93,0.35957468783154206,0.89132,1.4103400744969332,0.6597
,,94,0.35160491392588067,0.89216,1.446048089220554,0.6532
,,95,0.3463779350985651,0.89452,1.5164653274077404,0.6494
,,96,0.347849375527838,0.89374,1.5351841781712785,0.6398
,,97,0.34573504424003687,0.8937,1.3985476742816876,0.6619
,,98,0.33869122563268217,0.89882,1.469297624841521,0.6526
,,99,0.3389732484774821,0.89736,1.427661108065255,0.6584
,,100,0.33822773759017516,0.8998,1.5461603984048096,0.6302
,,101,0.3333683367580404,0.90144,1.3478921516032158,0.6727
,,102,0.33003460983638566,0.9045,1.4312877006168607,0.6585
,,103,0.3276641727103602,0.90248,1.4373423230798938,0.6595
,,104,0.3261061752467509,0.90246,1.3306119502345217,0.6768
,,105,0.3245994274497337,0.90594,1.4067831069608279,0.6672
,,106,0.31985722325951854,0.90526,1.4162903073467785,0.667
,,107,0.32052407617611656,0.90638,1.2984388055680673,0.6822
,,108,0.3188813728520937,0.90544,1.3970311849932127,0.6747
,,109,0.31552481350234096,0.90952,1.3530923377109478,0.6736
,,110,0.3209457289227439,0.9065,1.6036626236348213,0.6416
,,111,0.30815978778902525,0.91208,1.3675210755082625,0.6712
,,112,0.3070172942279245,0.91194,1.3780698715885984,0.669
,,113,0.3010458351324891,0.91474,1.5321822754944427,0.6408
,,114,0.2972727855453101,0.9169,1.5392345386215402,0.6434
,,115,0.3001203012969488,0.91518,1.4225914153871657,0.6651
,,116,0.3025398170551681,0.91296,1.3808773356147959,0.6689
,,117,0.3012748428851442,0.91358,1.4279379195804838,0.6587
,,118,0.2963388096112424,0.916,1.4666516328159767,0.6589
,,119,0.29296047070904463,0.91834,1.3692615115189855,0.6708
,,120,0.2861143137183031,0.92314,1.3265491874912116,0.6817
,,121,0.2830453802405111,0.92342,1.365056548692003,0.6761
,,122,0.28356729764157856,0.9241,1.4657896493054643,0.6542
,,123,0.2784518488227864,0.9235,1.3669063675252697,0.6759
,,124,0.2802655008595313,0.9246,1.673299075681952,0.6131
,,125,0.28131442019701614,0.92354,1.7277856989751887,0.6134
,,126,0.2735284383949416,0.92666,1.4819912005074416,0.6512
,,127,0.2749591420602311,0.92678,1.59373515014407,0.6409
,,128,0.267600366678994,0.92858,1.3757261731956578,0.6795
,,129,0.2691781450720394,0.92868,1.4336487605601926,0.6702
,,130,0.27101762318397726,0.9282,1.4419841079772273,0.6662
,,131,0.26137601033501,0.93014,1.3963031897061988,0.6811
,,132,0.2583170358253562,0.93402,1.447263954560968,0.6683
,,133,0.2620181253041758,0.93038,1.480891223195233,0.6647
,,134,0.2575118258557356,0.9326,1.4498369037350523,0.664
,,135,0.26459124166032544,0.92986,1.43151945026615,0.6699
,,136,0.24979239919453936,0.93554,1.60406166088732,0.6536
,,137,0.2532566910814446,0.93352,1.391570387007315,0.6754
,,138,0.24817301984638204,0.9368,1.3352884205081794,0.6894
,,139,0.24149933907077137,0.93876,1.3699646478966823,0.6768
,,140,0.24022769009518197,0.9385,1.3564806007131744,0.6814
,,141,0.24129275459310282,0.93976,1.406095507778699,0.6727
,,142,0.23221610951454133,0.94366,1.3485545327391806,0.6828
,,143,0.2334554400819037,0.94198,1.4897503264342682,0.6626
,,144,0.23164404002601838,0.94222,1.4614731880682934,0.6698
,,145,0.22962144344968868,0.94234,1.4208862675896174,0.6713
,,146,0.22841239291841112,0.94352,1.4149091553084459,0.6835
,,147,0.2286075627636117,0.94462,1.455587953706331,0.6629
,,148,0.2354320063615394,0.9397,1.4309157216096227,0.6629
,,149,0.22008898278788838,0.94682,1.4230732329284088,0.6666
,,150,0.2147533882533193,0.9489,1.4454079360901555,0.6727
,,151,0.22195276618003845,0.94626,1.4274899506870704,0.6732
,,152,0.2131572701894414,0.95112,1.4010016246687007,0.6805
,,153,0.21298922644094434,0.95002,1.3055943552451799,0.6918
,,154,0.209389832089929,0.95162,1.4320127081267442,0.6765
,,155,0.20731928519656895,0.9519,1.4513708503940437,0.6729
,,156,0.20305220241589314,0.95526,1.3495775287664389,0.6887
,,157,0.20371814948671005,0.9538,1.3970062136650085,0.6809
,,158,0.20437066984908356,0.9528,1.551131879227071,0.648
,,159,0.20153790316008546,0.95352,1.4099659089800678,0.6758
,,160,0.19631761948928197,0.95604,1.4235419864895977,0.6818
,,161,0.19685459323703786,0.95604,1.3627670648731762,0.6886
,,162,0.19225272471490112,0.959,1.4812418644941305,0.667
,,163,0.19246717532882301,0.95844,1.381951551648635,0.6836
,,164,0.18777023474959767,0.9584,1.452119191990623,0.675
,,165,0.18857100640264007,0.95872,1.3697726387011855,0.6847
,,166,0.18903049862826876,0.9593,1.378590027742748,0.6877
,,167,0.18121098079111264,0.96156,1.3826214210896552,0.6866
,,168,0.18197030526445346,0.96192,1.2823246543920492,0.7004
,,169,0.17992561544908586,0.9618,1.35481319095515,0.6833
,,170,0.17750522629607973,0.9631,1.359039826483666,0.6929
,,171,0.17629866345840342,0.9628,1.4035116811341877,0.686
,,172,0.1736707139731673,0.96458,1.3549776416790635,0.6965
,,173,0.169437953997451,0.9646,1.332851390295391,0.6981
,,174,0.1663870849382237,0.96636,1.3665535698963116,0.6859
,,175,0.16200972912485337,0.96906,1.6003393583659884,0.6462
,,176,0.1646065673293055,0.96614,1.3562881350517273,0.7007
,,177,0.16085893180592895,0.96962,1.3265303592138653,0.6989
,,178,0.15789193538067592,0.96946,1.5093222848976715,0.6741
,,179,0.15564163118753288,0.96996,1.3445007974588419,0.7038
,,180,0.15895408816883327,0.96922,1.3893552369709257,0.6899
,,181,0.1525150473846499,0.97296,1.4423967034001894,0.689
,,182,0.1555464874638621,0.97012,1.5452970658676535,0.6634
,,183,0.15277575922515385,0.97192,1.3809421560432338,0.6866
,,184,0.15210255071558915,0.97126,1.3337070247795009,0.7015
,,185,0.1414556347424417,0.97674,1.330799404578873,0.7025
,,186,0.14696139444018264,0.974,1.349558732932127,0.6945
,,187,0.1415605024456063,0.97454,1.2778217105925838,0.7084
,,188,0.13725088182312753,0.97728,1.3340831089623366,0.7059
,,189,0.1330934132799468,0.97916,1.3498398714427706,0.6983
,,190,0.13548156567622938,0.9769,1.390964072716387,0.6913
,,191,0.13381435078047121,0.97738,1.3411009311676025,0.7012
,,192,0.131197912804306,0.97922,1.3512644443330886,0.6959
,,193,0.12639725400739923,0.98164,1.3270856790904757,0.6967
,,194,0.12520846027090116,0.98082,1.3829347747790663,0.696
,,195,0.12247765062333983,0.982,1.3605525056018104,0.7011
,,196,0.12056773106384155,0.98168,1.3473815925513641,0.7048
,,197,0.1180144481722961,0.98276,1.342189319526093,0.7054
,,198,0.11708737900266257,0.98274,1.413154743140257,0.6931
,,199,0.11456645811762652,0.9845,1.3075660097448132,0.7052
,,200,0.1157027626567332,0.98346,1.2999379929107955,0.7126
,,201,0.108865290460989,0.9861,1.305247940594637,0.7111
,,202,0.10953508410840998,0.9855,1.2986246792575982,0.7106
,,203,0.10743111897917355,0.98718,1.3264933786814725,0.6992
,,204,0.10734896295134673,0.98582,1.290695154214207,0.7062
,,205,0.10249356071814857,0.9874,1.3114642863032184,0.709
,,206,0.10318956642275881,0.98742,1.3188161880155154,0.7152
,,207,0.09752368835537024,0.98838,1.3206013871144644,0.7076
,,208,0.09768206700492088,0.98866,1.2684871079046516,0.7191
,,209,0.09806441563322112,0.98832,1.2736626207074033,0.7182
,,210,0.09552853813637859,0.98998,1.294455590881879,0.7183
,,211,0.09419284190248955,0.98968,1.277931402755689,0.7087
,,212,0.0921977563187137,0.9906,1.290689463856854,0.7113
,,213,0.08921648810624772,0.99144,1.2500638644906539,0.7213
,,214,0.08749665598125408,0.99108,1.2810327697403823,0.7191
,,215,0.08479622680970166,0.99312,1.2579072298882883,0.7226
,,216,0.08353310840590225,0.99216,1.2566317138792593,0.7219
,,217,0.08256890118846198,0.99284,1.2383492151393165,0.7209
,,218,0.07875034579878573,0.994,1.2885431073888947,0.7202
,,219,0.08090380850769675,0.99372,1.2770534640626063,0.7201
,,220,0.07984137957167747,0.99424,1.2482513581650168,0.7255
,,221,0.07589629589749114,0.9945,1.248422834692122,0.724
,,222,0.07504712618754038,0.99464,1.2481658526613741,0.7292
,,223,0.07421728634201658,0.99506,1.2513354647008679,0.7272
,,224,0.07422017502357893,0.99498,1.285875060135805,0.7238
,,225,0.07141630849836732,0.996,1.2297327774989455,0.7309
,,226,0.07064815140936685,0.99596,1.254036723058435,0.7271
,,227,0.07036865650273649,0.99566,1.2367362425297121,0.7334
,,228,0.06857420882338758,0.99696,1.2510842877098276,0.728
,,229,0.06818610888041193,0.99616,1.2202645668500587,0.734
,,230,0.06721491727720746,0.9965,1.2199141556703592,0.7319
,,231,0.06612149099140521,0.99684,1.2308558006829853,0.7317
,,232,0.06453463265581814,0.99704,1.2150131388555598,0.7303
,,233,0.06346993652336738,0.99734,1.23565206874775,0.7316
,,234,0.06320579001284621,0.99734,1.223716226559651,0.7359
,,235,0.06230171234406474,0.99758,1.2427684785444526,0.7265
,,236,0.06168269455585333,0.99732,1.2191452542437782,0.7324
,,237,0.05912135981614022,0.9979,1.2191304888906358,0.7345
,,238,0.05874691021335704,0.99774,1.2190526980388015,0.7307
,,239,0.058094978789844175,0.99816,1.2067073417615286,0.7333
,,240,0.058359100166565314,0.99778,1.2108700388594518,0.7385
,,241,0.05713117438966356,0.99824,1.193683009358901,0.7378
,,242,0.05552190622252881,0.9983,1.2229019592079935,0.7318
,,243,0.0556339281789787,0.99858,1.2046214885349515,0.7375
,,244,0.05499145357162141,0.99872,1.194412099409707,0.7392
,,245,0.0530742832538112,0.9988,1.207772888714754,0.7396
,,246,0.05401513930362509,0.99838,1.2258294254918642,0.737
,,247,0.053663892028353095,0.99844,1.203955603551261,0.7401
,,248,0.052786275620579415,0.9988,1.1885185830200775,0.7417
,,249,0.052532920990224996,0.9986,1.2006152777732173,0.7393
,,250,0.051171971699389654,0.99874,1.2065579906294617,0.7393
,,251,0.051571508793308,0.99878,1.1895126398605635,0.7429
,,252,0.04985163715260718,0.99904,1.195225434212745,0.742
,,253,0.050126766657356714,0.999,1.1921016868156722,0.7438
,,254,0.04900073322951031,0.9992,1.1908963247190547,0.7465
,,255,0.049640160759010586,0.9991,1.1962330311159544,0.7411
,,256,0.04966890957692395,0.9992,1.193820665154276,0.7436
,,257,0.048881878833407943,0.99924,1.2164313906355748,0.7401
,,258,0.04858132275512152,0.99916,1.1826853955848307,0.7418
,,259,0.04789147526502152,0.99904,1.1740409845038304,0.7476
,,260,0.04791923463725678,0.99906,1.1984421565562864,0.7411
,,261,0.047157052018300956,0.9992,1.1732617707192143,0.7461
,,262,0.04743790120610496,0.99884,1.207587800448454,0.7429
,,263,0.04649447345310617,0.99918,1.1939556191239176,0.7445
,,264,0.045550682012687256,0.99916,1.1922160658655288,0.7461
,,265,0.04602816838132756,0.9994,1.1773200517968287,0.7436
,,266,0.04595567408920554,0.99912,1.187097958371609,0.7472
,,267,0.04556808453005598,0.99926,1.1982340782503538,0.7455
,,268,0.045683655835440394,0.99946,1.176257839685754,0.7462
,,269,0.04442320546359205,0.99926,1.17608316337006,0.7477
,,270,0.04505338064392509,0.99908,1.1757176028022283,0.7469
,,271,0.04469335335009086,0.9995,1.1762375333641149,0.7475
,,272,0.04470266569453432,0.99954,1.1677897006650515,0.7478
,,273,0.04412171761493396,0.99934,1.1871457605422298,0.7426
,,274,0.04402611515653865,0.99932,1.1748244241823125,0.7468
,,275,0.0438682669368775,0.99924,1.1770949152451526,0.7464
,,276,0.04346239023729968,0.99942,1.1657226696799072,0.7455
,,277,0.04385477236812682,0.99924,1.1693935220754599,0.7466
,,278,0.043270547119209836,0.99936,1.1610332780246493,0.7459
,,279,0.04309955793325706,0.9994,1.1613095749782611,0.7473
,,280,0.04375909049244945,0.99932,1.168404433546187,0.7483
,,281,0.0429342751298338,0.99946,1.1706741769102555,0.7467
,,282,0.0430523025400727,0.99938,1.1813494019870516,0.7472
,,283,0.04294668321909807,0.99934,1.1733481748194634,0.7458
,,284,0.04323625871840188,0.99938,1.1695931327493885,0.7477
,,285,0.042675041772253675,0.99946,1.173538244223293,0.749
,,286,0.04240331143293234,0.99936,1.1702132640005667,0.747
,,287,0.042237259071234545,0.99958,1.1765631897540032,0.7493
,,288,0.04205423321031854,0.99948,1.164254073100754,0.7479
,,289,0.042406459045989435,0.99942,1.162054228631756,0.7483
,,290,0.04206691513223874,0.99934,1.1622831655454031,0.7486
,,291,0.04242855823501144,0.99956,1.1706443527076817,0.7496
,,292,0.0418895837253012,0.99958,1.1601554977742932,0.7468
,,293,0.043128355503882596,0.9992,1.1603206984604462,0.7475
,,294,0.04256158133449457,0.99954,1.1695799057996725,0.748
,,295,0.04223795222294757,0.99946,1.1801180190677885,0.7453
,,296,0.04195329144863826,0.99946,1.1842966275879099,0.7445
,,297,0.042019300057988644,0.99958,1.1625732560701008,0.7465
,,298,0.04220920962179103,0.9994,1.1735338719585273,0.7473
,,299,0.042521332292948535,0.99918,1.1658525655541239,0.7482
,,300,0.042370635530223015,0.99942,1.167528038537955,0.746
