Clean Accuracy,9.81,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,9.248,1,4.0174732519232705,0.07596,3.971009827867339,0.0981
shot_noise,9.574,,,,,
impulse_noise,8.606,,,,,
defocus_blur,9.384,,,,,
glass_blur,9.436,,,,,
motion_blur,9.08,,,,,
zoom_blur,9.304,,,,,
snow,7.49,,,,,
frost,5.282,,,,,
fog,4.472,,,,,
brightness,8.728,,,,,
contrast,5.064,,,,,
elastic_transform,9.344,,,,,
pixelate,9.64,,,,,
jpeg_compression,9.392,,,,,
speckle_noise,9.604,,,,,
gaussian_blur,9.28,,,,,
spatter,9.5,,,,,
saturate,6.388,,,,,
Average,8.358736842105262,,,,,
