Clean Accuracy,75.44,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,12.344,1,2.404179755074289,0.06798,3.8167857369290124,0.1062
shot_noise,19.824,2,2.1533247695859434,0.1346,3.626996991000598,0.1326
impulse_noise,16.57,3,1.962036253546205,0.19226,3.7344283484205416,0.1839
defocus_blur,58.096,4,1.7859891229273412,0.2418,3.519879114778736,0.2006
glass_blur,30.132,5,1.6632182043226784,0.28484,3.151294919508922,0.2487
motion_blur,52.57,6,1.5530542382193953,0.31952,3.469940553737592,0.2301
zoom_blur,52.776,7,1.4706357119943174,0.35334,3.9441811978062495,0.2137
snow,56.498,8,1.3761441280774753,0.383,2.784235335603545,0.333
frost,46.594,9,1.3201344263218249,0.40656,2.7945950031280518,0.3341
fog,55.682,10,1.2637658384449952,0.42634,2.8471455151521705,0.3459
brightness,70.388,11,1.2184118425754635,0.4451,2.5889107652857333,0.4006
contrast,44.302,12,1.1666170925740391,0.46276,2.346772779392291,0.4402
elastic_transform,60.952,13,1.1253642570941955,0.4824,2.1281579808343816,0.4672
pixelate,55.564,14,1.0886198559685436,0.49516,2.2924974538102934,0.4363
jpeg_compression,48.968,15,1.0602782117131422,0.50658,2.0757691543313523,0.4959
speckle_noise,21.336,16,1.0388329730314367,0.51906,2.254254027257992,0.4504
gaussian_blur,49.448,17,1.010159785332887,0.52748,2.2500811136221586,0.4706
spatter,59.356,18,0.9893823244687542,0.53534,1.7578953112228006,0.5426
saturate,58.788,19,0.9645482662998502,0.54356,2.1269709324534936,0.4974
Average,45.799368421052634,20,0.9402831585510917,0.55476,1.977306202997135,0.5182
,,21,0.9278478284016289,0.55994,2.072382090966913,0.5138
,,22,0.9096529326780373,0.56556,1.8286312652539602,0.5452
,,23,0.8978849826261516,0.57272,1.7641543768629242,0.5452
,,24,0.8807516334306859,0.57994,1.7000957742522034,0.5793
,,25,0.8701302956437211,0.58168,1.9051530391355105,0.5493
,,26,0.8564446435864929,0.58962,1.6117320860488504,0.5887
,,27,0.843067158823428,0.59372,1.6082818719405163,0.6019
,,28,0.8291118727315723,0.6015,1.548568441898008,0.5937
,,29,0.8256846445295817,0.6028,1.526610929754716,0.6075
,,30,0.8104540789523698,0.6082,1.688310267050055,0.5775
,,31,0.8000198628591455,0.61514,1.7220317608193507,0.5725
,,32,0.7891873441388845,0.61576,1.5711384468440768,0.6001
,,33,0.7773387328438137,0.61968,1.429631249814094,0.6286
,,34,0.7747259379347877,0.62464,1.4636896411074867,0.617
,,35,0.760425585157731,0.62942,1.5014833423155773,0.6174
,,36,0.7594059359691941,0.63094,1.4090055800691437,0.6366
,,37,0.7513827146471613,0.63424,1.4653527329239664,0.6193
,,38,0.7356628133817706,0.6433,1.6764060243775574,0.5798
,,39,0.7419764734899906,0.63674,1.5797319412231445,0.603
,,40,0.7280835164782337,0.64464,1.460440365574028,0.6251
,,41,0.7261374106492533,0.64478,1.4176676258256165,0.6303
,,42,0.7152913169330343,0.64962,1.3827054002616979,0.6453
,,43,0.7114363954500165,0.65148,1.3464150194880329,0.6451
