Clean Accuracy,77.32,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,8.82,1,2.4546079437446107,0.04424,4.215861942194685,0.0686
shot_noise,14.986,2,2.256942861525299,0.08266,3.7078287329854844,0.1325
impulse_noise,9.328,3,2.1281122600331024,0.11546,3.907778435115573,0.138
defocus_blur,56.508,4,1.977021751196488,0.14692,3.8619027349013315,0.1565
glass_blur,17.868,5,1.858236505857209,0.18184,3.741538120221488,0.1935
motion_blur,47.558,6,1.7401877501431633,0.21004,3.1868055228945575,0.2557
zoom_blur,48.018,7,1.6528464723426057,0.23726,5.537959135031398,0.1436
snow,51.488,8,1.5597633565478313,0.26388,3.776342322554769,0.2257
frost,41.944,9,1.5009812119671755,0.28122,3.169954287854931,0.3184
fog,56.526,10,1.4463260536608489,0.29986,3.5115228906462463,0.2584
brightness,72.452,11,1.3956018677148063,0.31992,3.4505166856548453,0.307
contrast,43.294,12,1.3511594024765523,0.32814,3.5691959948479375,0.2923
elastic_transform,57.188,13,1.3060471048135587,0.34594,2.4848467684999296,0.41
pixelate,47.012,14,1.275915360206838,0.3542,2.2438628085051913,0.4478
jpeg_compression,42.958,15,1.240342173734894,0.36654,2.319064523600325,0.4509
speckle_noise,16.326,16,1.2256643291934373,0.37492,2.558691815484928,0.4158
gaussian_blur,47.154,17,1.1879485621476722,0.3871,2.17305701141116,0.4663
spatter,56.954,18,1.1778781630498978,0.38726,1.8439880684961247,0.5198
saturate,61.218,19,1.1463361472424949,0.394,1.951763460907755,0.5109
Average,41.978947368421046,20,1.1250707967506954,0.4045,1.9957551850548274,0.5072
,,21,1.1125157403823969,0.40902,1.8349782243559631,0.5353
,,22,1.0918469506761301,0.41738,1.757744675950159,0.5392
,,23,1.0715447819751243,0.42576,1.7135884248757665,0.5651
,,24,1.0646458983116442,0.42738,1.6364776575112645,0.5742
,,25,1.0500723615936611,0.4305,1.7605442774446705,0.5675
,,26,1.037587369799309,0.43732,1.611652905427957,0.5702
,,27,1.025958203751108,0.44134,1.931864420069924,0.5495
,,28,1.0241212956130963,0.4412,1.5269660889347898,0.5947
,,29,1.0045970236248982,0.45094,1.6071447103838377,0.5863
,,30,0.9936884065418292,0.45208,1.5668965397001822,0.5934
,,31,0.9856570209078777,0.45348,1.4113823975188822,0.6162
,,32,0.9732934690802298,0.45718,1.4174524636208257,0.6165
,,33,0.9620912971399019,0.45996,1.5304283552531954,0.6067
,,34,0.9571454293282745,0.46334,1.5099905435043046,0.6188
,,35,0.9515166637842613,0.46642,1.5256847837303258,0.6074
,,36,0.9465092722412265,0.4681,1.554678806775733,0.5974
,,37,0.9334066670264125,0.47444,1.4716949289358114,0.6174
,,38,0.9310642052489473,0.47614,1.5724045581455472,0.598
,,39,0.9298945301024201,0.47358,1.3729941543144515,0.6404
,,40,0.9205527172978881,0.47772,1.438779129257685,0.6344
,,41,0.9057213339354376,0.48082,1.481851253328444,0.6213
,,42,0.9036440292892554,0.48176,1.409986972808838,0.6275
,,43,0.8978814773852258,0.48506,1.3767799350279797,0.6409
,,44,0.8926681722216594,0.48714,1.360874458958831,0.6464
,,45,0.8884681040978493,0.48562,1.3809315539613556,0.6307
,,46,0.886464976746103,0.48912,1.3846961946427068,0.6439
,,47,0.8781304854871063,0.49058,1.2960422152205358,0.6587
,,48,0.8692292911012459,0.49208,1.3574497865725168,0.6461
,,49,0.8696550329018127,0.49624,1.3991784113871901,0.6348
,,50,0.8694034432206312,0.4937,1.3960863216013848,0.6345
,,51,0.8564129720258591,0.49796,1.2962144673625124,0.6555
,,52,0.860357203294554,0.49834,1.4708195215539088,0.6205
,,53,0.8432383709551429,0.50366,1.4747762898855572,0.6212
,,54,0.8419517676543702,0.50402,1.3529808068577247,0.6453
,,55,0.8428433200587397,0.50418,1.3170195297349858,0.6572
,,56,0.8445239968007178,0.50224,1.402495480790923,0.6382
,,57,0.835573846117005,0.508,1.5470951599410818,0.6104
,,58,0.8318662169339407,0.50536,1.2981901002835623,0.6551
,,59,0.853856562958349,0.49838,1.3147961150241803,0.6608
,,60,0.8346128209167735,0.50546,1.267752230921878,0.6614
,,61,0.8300063292998487,0.50416,1.384117980546589,0.6476
,,62,0.8301560436673177,0.50858,1.4022664571110206,0.6449
,,63,0.8253643308454157,0.50726,1.2817075493969494,0.6598
,,64,0.8178543481985321,0.51198,1.289936224871044,0.6631
,,65,0.8093310186015371,0.51696,1.2820256186437002,0.6536
,,66,0.8104220361965696,0.51908,1.4055463611325132,0.6501
,,67,0.8124710623260654,0.5141,1.2557484892350208,0.6782
,,68,0.7984779379556856,0.51932,1.4035785922521278,0.6435
,,69,0.7965399851579495,0.52084,1.3546583863753308,0.6476
,,70,0.7921944047179064,0.52172,1.367686325990701,0.6552
,,71,0.7900458623076339,0.51938,1.390355624730074,0.6581
,,72,0.7858437180823987,0.52306,1.4990719949142843,0.6332
,,73,0.7903084754943848,0.52588,1.2779208474521395,0.6684
,,74,0.7731901831029321,0.52798,1.342558572563944,0.6688
,,75,0.7784849036380154,0.52426,1.3025069304659396,0.6654
,,76,0.7760910983280758,0.52744,1.2784238329416588,0.6707
,,77,0.7777371001060661,0.52544,1.3596921691411659,0.6572
,,78,0.7641585656749014,0.53076,1.3995484309860422,0.6574
,,79,0.7714074988804205,0.52852,1.404965665521501,0.6538
,,80,0.7731488016255371,0.52678,1.4029575835300396,0.652
,,81,0.7625170270805164,0.5324,1.2984665647337708,0.673
,,82,0.7566915444096031,0.53584,1.2293525564519665,0.6888
,,83,0.7563711293518086,0.5372,1.263475114031683,0.6679
,,84,0.7491213380528228,0.53826,1.2645373593402813,0.6767
,,85,0.7507991277043472,0.53604,1.4638363522819327,0.6553
,,86,0.7467988121235157,0.5387,1.2037847117532658,0.684
,,87,0.737770068523524,0.54092,1.2747069687782964,0.6802
,,88,0.7523306097520892,0.53336,1.255599142629889,0.6773
,,89,0.7447416599449295,0.54164,1.376264872430246,0.6617
,,90,0.7290565699262692,0.5456,1.292686874353433,0.6753
,,91,0.7307480297734975,0.54456,1.5180288741860208,0.6368
,,92,0.7300872732611263,0.5421,1.3877328377735765,0.6695
,,93,0.7305842715760936,0.5476,1.2749043118350114,0.6813
,,94,0.7304860310786215,0.54556,1.2842883045160318,0.6793
,,95,0.7208394891465716,0.54546,1.321903182735926,0.6774
,,96,0.726854581052385,0.54958,1.2608098704603654,0.6846
,,97,0.7282998115205399,0.54468,1.2601944019522848,0.6763
,,98,0.7147558887901209,0.55134,1.2904833660850041,0.6787
,,99,0.7164764163439231,0.5497,1.2348046393334111,0.6854
,,100,0.7118335944002546,0.55662,1.2956328497657292,0.6794
,,101,0.7091298223761342,0.55522,1.2299739054486722,0.6847
,,102,0.7047060554289757,0.55594,1.3242054393019858,0.6795
,,103,0.706396432331456,0.55526,1.2873835405216942,0.6756
,,104,0.7056735430836982,0.55054,1.2194522392900684,0.6841
,,105,0.7021429421346815,0.5549,1.3788957565645628,0.6662
,,106,0.7057348799217692,0.55506,1.3051044171369528,0.683
,,107,0.6987263727980806,0.55998,1.2230665065065216,0.6946
,,108,0.6934416077630904,0.55954,1.2220032803619965,0.6932
,,109,0.6928702944989704,0.56042,1.2768208950380735,0.6834
,,110,0.6799947580565577,0.5657,1.3113537355314326,0.6914
,,111,0.6778945374824202,0.5624,1.318324041517475,0.6803
,,112,0.6838061961981342,0.56364,1.2852831392348567,0.6881
,,113,0.6836550007085971,0.5623,1.365560601783704,0.6745
,,114,0.6759858527756712,0.5645,1.2283434686781485,0.6965
,,115,0.6775039647851149,0.56468,1.323567392705362,0.6756
,,116,0.6799652109213192,0.5655,1.2912667272966118,0.6856
,,117,0.6682289009508879,0.56978,1.3399593830108643,0.6805
,,118,0.674261750467598,0.56464,1.2438351006447514,0.6836
,,119,0.6658854502088883,0.57032,1.265875457962857,0.688
,,120,0.6696576661313586,0.56878,1.2167513498777076,0.6975
,,121,0.6558604171056577,0.57452,1.3386212104483495,0.6743
,,122,0.6595669825516088,0.57184,1.2342534940454024,0.7023
,,123,0.65503975078273,0.57436,1.2778839182250108,0.6898
,,124,0.6482496295133819,0.57692,1.2310749201834956,0.6967
,,125,0.650278179541878,0.5803,1.384662285635743,0.6716
,,126,0.649414845439784,0.57536,1.209887432901165,0.7049
,,127,0.6434113297163678,0.58078,1.2873141735414915,0.6905
,,128,0.6420741369352316,0.5772,1.2871900231023379,0.6948
,,129,0.636356485774145,0.5837,1.2714279686348349,0.6859
,,130,0.6376576113426472,0.58388,1.3649036605146867,0.6698
,,131,0.6351714559528224,0.57992,1.3342786272869835,0.6938
,,132,0.6251478937580762,0.5862,1.2439307125308845,0.701
,,133,0.6286188492079829,0.5864,1.2442627194561535,0.6974
,,134,0.6223852535342926,0.58688,1.204332458822033,0.7076
,,135,0.6253301405235935,0.587,1.3142155559757087,0.683
,,136,0.6169394192183414,0.58952,1.1923970670639714,0.7123
,,137,0.6146723599080235,0.59186,1.2718534303616873,0.6971
,,138,0.6143912689002884,0.59116,1.2384276842769188,0.7016
,,139,0.6152430879490455,0.59176,1.2341920952253704,0.7018
,,140,0.60471287163932,0.59598,1.3431057703645923,0.6904
,,141,0.6013545044090437,0.60046,1.2568348880055584,0.7041
,,142,0.6015811244697522,0.59694,1.299815002875992,0.6948
,,143,0.6020445370155832,0.59338,1.2809372936623007,0.7034
,,144,0.5969594554675509,0.59932,1.208135371343999,0.7046
,,145,0.5938389806643777,0.60124,1.1500369393372838,0.722
,,146,0.5917734394750327,0.60072,1.2194198649140853,0.7106
,,147,0.6202296757941965,0.58726,1.3609781159630305,0.6766
,,148,0.6040612227471588,0.59628,1.3290964938417267,0.6869
,,149,0.5912083519999024,0.59656,1.2873264890682847,0.6922
,,150,0.5874261567964578,0.60116,1.290611359137523,0.703
,,151,0.6035462514976101,0.59334,1.2026901328110997,0.7117
,,152,0.576229034025041,0.60326,1.1430861270880397,0.718
,,153,0.5665308468786957,0.61024,1.1814791167838663,0.7142
,,154,0.5692734677163537,0.60982,1.3282020544704003,0.7007
,,155,0.5707269778946782,0.60894,1.2579042745541922,0.7109
,,156,0.5668994732525038,0.61226,1.2005177472211137,0.7155
,,157,0.5645414612177387,0.61224,1.2389508734775494,0.7103
,,158,0.5583991333651726,0.61424,1.2133154397523855,0.7213
,,159,0.555559034313997,0.61624,1.2322946998137463,0.7155
,,160,0.5559113755860292,0.61544,1.235209944127481,0.7169
,,161,0.5496333707171632,0.61758,1.1803533540496343,0.7132
,,162,0.5456630371110823,0.61798,1.3203612913059284,0.7052
,,163,0.5484384985835961,0.62028,1.144208914116968,0.7221
,,164,0.5451834641606607,0.619,1.3081865770907342,0.6969
,,165,0.5384863967938192,0.62394,1.2364801922930946,0.719
,,166,0.5384822751554992,0.62228,1.231561554383628,0.7219
,,167,0.5316219890818876,0.62566,1.2559613796729077,0.7147
,,168,0.5310609148591375,0.6255,1.277460320840908,0.7039
,,169,0.5274630844440606,0.63028,1.2180376309382765,0.722
,,170,0.5265513881088217,0.62594,1.1879502119897287,0.7122
,,171,0.5175768477685007,0.6294,1.1540184473689599,0.7227
,,172,0.5177708204140139,0.6291,1.210668964476525,0.7214
,,173,0.5144078770409459,0.63198,1.2210900247851504,0.71
,,174,0.5089516742607517,0.63358,1.1835522696941714,0.7227
,,175,0.5031047403202642,0.63674,1.4061617994610267,0.6931
,,176,0.5044065797725297,0.63468,1.1930740724636029,0.7297
