Clean Accuracy,79.75,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,39.088,1,3.970547154736336,0.05246,4.016842962820319,0.075
shot_noise,47.656,2,3.6481543629980453,0.09438,3.5639427311812777,0.1514
impulse_noise,58.91,3,3.3956515770738998,0.14064,3.7116937395892564,0.1667
defocus_blur,75.076,4,3.1517050900422703,0.18338,3.695980545840686,0.1705
glass_blur,46.398,5,2.8976929748759552,0.23286,3.4918203866934476,0.1978
motion_blur,66.374,6,2.679960736228377,0.2757,2.84291507322577,0.3174
zoom_blur,72.556,7,2.5043940568519067,0.31164,3.734913593606104,0.2449
snow,65.358,8,2.34870679207775,0.34634,2.9782192857959604,0.331
frost,57.29,9,2.220418633097578,0.37712,2.2159672734103624,0.442
fog,71.1,10,2.1294378447715583,0.39836,2.1790981835956815,0.4614
brightness,77.546,11,2.0389295051164944,0.42174,2.402743861645083,0.4382
contrast,73.746,12,1.962186959698377,0.43818,1.9120719613908213,0.497
elastic_transform,69.27,13,1.8996342496798777,0.45204,2.031450811820694,0.5139
pixelate,56.106,14,1.846404977161866,0.46854,1.7466573171977755,0.5521
jpeg_compression,55.854,15,1.7977473333363643,0.4806,1.7208744408209113,0.5582
speckle_noise,49.058,16,1.7501354308994226,0.48792,1.7737532914439333,0.5473
gaussian_blur,73.814,17,1.711217904639671,0.50234,1.6181819574742378,0.5769
spatter,69.376,18,1.6874788130640679,0.50564,1.6100674611103685,0.5821
saturate,72.502,19,1.643721485381846,0.51922,1.705395451074914,0.5696
Average,63.004105263157896,20,1.62067229607526,0.52282,1.5039004464692707,0.6012
,,21,1.5977012361102092,0.53036,1.5628890825223318,0.6003
,,22,1.5661105664489825,0.53796,1.5303321503385712,0.5962
,,23,1.5492905954570722,0.54422,1.4316788323317902,0.6146
,,24,1.5197433541193033,0.54834,1.5802630593505087,0.5947
,,25,1.5023337044679295,0.55548,1.368306304835066,0.6369
,,26,1.4912510287121434,0.5589,1.582725906673866,0.6001
,,27,1.4729440770185818,0.56326,1.555468607552444,0.6117
,,28,1.4536379923296097,0.56692,1.4262855566000636,0.6293
,,29,1.4422666044796215,0.5713,1.3723499533496326,0.6397
,,30,1.4261941934180686,0.5745,1.3493397409402872,0.647
,,31,1.4133828262538861,0.57764,1.3843498712853541,0.6388
,,32,1.4032736330690896,0.5802,1.4197376234621941,0.6361
,,33,1.3947225065182542,0.58424,1.4310983147802232,0.6377
,,34,1.3775126799902953,0.58914,1.4678366003157217,0.6286
,,35,1.363558755506335,0.59242,1.3958361624162408,0.6489
,,36,1.3531328985453261,0.59506,1.454313186905052,0.6363
,,37,1.3501035118346933,0.59698,1.30477082352095,0.6601
,,38,1.3392293899870285,0.59838,1.3609258110010172,0.6482
,,39,1.3402039306547942,0.59588,1.3858815710755843,0.647
,,40,1.3320671646186457,0.60024,1.3938544996177094,0.6492
,,41,1.3051214004721483,0.60962,1.3518018375469159,0.6636
,,42,1.2944974272757235,0.60932,1.4250727250606199,0.6346
,,43,1.2944338664679271,0.61086,1.4222607401352894,0.6397
,,44,1.2827521885752373,0.61164,1.2366280223749861,0.6741
,,45,1.2799385196107733,0.61402,1.3034067078481746,0.6614
,,46,1.2679396023225906,0.61986,1.3061130160017858,0.6649
,,47,1.2745597751244255,0.61534,1.3557849624488927,0.6535
,,48,1.2623014174154044,0.62024,1.4498591996446442,0.6493
,,49,1.237034588823538,0.62772,1.2475195413903346,0.6778
,,50,1.2512904536693603,0.6232,1.269298017779483,0.6706
,,51,1.2387114058979942,0.62496,1.291103019744535,0.6778
,,52,1.229457374423971,0.62778,1.2428775950323177,0.682
,,53,1.2289877343360724,0.63154,1.2103100479403628,0.6824
,,54,1.2173692053541199,0.6314,1.2836481378048281,0.679
,,55,1.2218023038581205,0.62914,1.3630024179627624,0.6651
,,56,1.2036080398522984,0.63354,1.316599879083754,0.6812
,,57,1.215073351055155,0.63532,1.3245493369766428,0.6728
,,58,1.1915573514331028,0.64046,1.4838188101973715,0.6439
,,59,1.194968924650451,0.63884,1.2938772138160994,0.6733
,,60,1.1899627511153745,0.64004,1.3084697851651832,0.6777
,,61,1.1794689075111429,0.64364,1.3234489884557603,0.668
,,62,1.1774760359693366,0.64306,1.2044705529756183,0.6932
,,63,1.181569443334399,0.64298,1.2688776805431028,0.6889
,,64,1.157775706342419,0.64886,1.2636955833133263,0.6773
,,65,1.16764733995623,0.64538,1.275028390974938,0.675
,,66,1.1666265838896221,0.64578,1.3640810039978992,0.6619
,,67,1.1491567806514633,0.65254,1.3118974558914764,0.6778
,,68,1.150181651267859,0.65194,1.2829858939858931,0.6885
,,69,1.1506105246751204,0.65204,1.1886273946943162,0.6967
,,70,1.158848699248965,0.6474,1.1313575377947167,0.7055
,,71,1.1419063483357734,0.65384,1.2762744909600368,0.6855
,,72,1.1368036463742366,0.65446,1.2680253167695636,0.6884
,,73,1.1215399281143228,0.65968,1.3530235826214658,0.6822
,,74,1.121095529145292,0.65916,1.1912000232105013,0.7003
,,75,1.1251433523719574,0.65538,1.285204771953293,0.6861
,,76,1.1261278468629587,0.65472,1.30624201856082,0.6869
,,77,1.1134084275616405,0.66104,1.399120284032218,0.6661
