Clean Accuracy,74.8,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,22.082,1,3.9504854026657847,0.08912,4.007839592197273,0.1017
shot_noise,30.858,2,3.286690536972202,0.1937,3.5631519993649254,0.1766
impulse_noise,34.668,3,2.746705540610701,0.29542,3.6653905126112925,0.2051
defocus_blur,56.75,4,2.3295980609591354,0.37764,3.5414151511614835,0.243
glass_blur,21.02,5,2.026755231420707,0.4457,2.657513660720632,0.3577
motion_blur,51.296,6,1.8134970329606626,0.49288,2.6139598918866507,0.3766
zoom_blur,50.054,7,1.6494635023424387,0.5344,2.521499187131471,0.4254
snow,53.038,8,1.5164426693221187,0.5668,2.187664608412151,0.4651
frost,45.632,9,1.4057021506911958,0.59656,2.0124533885641944,0.5097
fog,58.57,10,1.3177891407171478,0.61966,2.077274947226802,0.5087
brightness,70.77,11,1.2404801176332148,0.63862,2.0689031715634503,0.5165
contrast,46.044,12,1.1691394134250748,0.65698,1.9662435145317754,0.5251
elastic_transform,57.46,13,1.1112684776715915,0.67288,1.6799626969083954,0.5853
pixelate,50.478,14,1.0575094686444764,0.68692,1.5900485002541844,0.5929
jpeg_compression,51.304,15,1.0089103472812095,0.69974,1.6095594710941556,0.6082
speckle_noise,32.582,16,0.9656567706171509,0.7108,1.7728847355782231,0.5865
gaussian_blur,48.274,17,0.9216476166644669,0.72094,1.649754056447669,0.6025
spatter,59.736,18,0.898658812046051,0.727,1.706089354768584,0.5976
saturate,61.786,19,0.8573622302630978,0.73926,1.5841426502300213,0.6193
Average,47.49484210526316,20,0.8237900746143078,0.74844,1.5635038765170906,0.6284
,,21,0.8011725010621883,0.75498,1.6083015641079674,0.6178
,,22,0.76937654561094,0.7631,1.5220876449271092,0.6361
,,23,0.7377705019910622,0.7738,1.7116288218317153,0.6194
,,24,0.7227696783249945,0.77744,1.5514685473864591,0.6303
,,25,0.6972844834675265,0.78336,1.8488336907157414,0.5959
,,26,0.6726517924262435,0.79172,1.7788755591911605,0.614
,,27,0.651192137652346,0.79542,1.95016676413862,0.5871
,,28,0.6426166492654845,0.79788,1.7708810794202587,0.6174
,,29,0.6284653167895344,0.8058,1.7170785454255115,0.6328
,,30,0.608524972825404,0.80896,1.7156324280968196,0.6258
,,31,0.5959540897470605,0.81276,1.8594991119602058,0.6054
,,32,0.5843486662411019,0.81666,2.0651299138612385,0.5873
,,33,0.5623625920861578,0.82126,1.639716919464401,0.6466
,,34,0.5514092464428728,0.82474,1.7184380541873883,0.6376
,,35,0.5344709920151459,0.83126,1.716566203515741,0.6402
,,36,0.5194864396548942,0.83422,1.688655660876745,0.6353
,,37,0.5151187045799802,0.8358,1.7129465907434873,0.6263
,,38,0.5039519278137276,0.83814,1.8113328988039041,0.6212
,,39,0.4966258921891527,0.84146,1.702449827254573,0.64
,,40,0.4879500832399139,0.84446,2.010389157488376,0.5966
,,41,0.4785384417647291,0.84718,1.7800759831561317,0.6228
,,42,0.46994864559539445,0.84914,2.001276022271265,0.6112
,,43,0.4687590797996277,0.85066,1.7673377719106553,0.64
,,44,0.4496093793293399,0.85602,1.8192526509490194,0.6319
,,45,0.43389969336254824,0.86064,1.9466621287261383,0.6129
,,46,0.4407292541183169,0.85916,1.918390981758697,0.6237
,,47,0.42806376924600137,0.86386,2.03432785710202,0.6127
,,48,0.42463460614156845,0.8639,1.7256740557996533,0.6401
,,49,0.4096393221631989,0.86984,1.6625571748878383,0.6527
,,50,0.4081973979997513,0.86934,1.7077759911742392,0.6588
,,51,0.4125706935325242,0.8675,1.770233513433722,0.6437
,,52,0.3989536721459435,0.8719,2.103163218196434,0.614
,,53,0.39224696910137413,0.874,1.7608015582531313,0.6526
,,54,0.38360363374585693,0.87698,1.8378201330764383,0.6428
,,55,0.3876166609699464,0.8779,1.8049815651736683,0.6424
,,56,0.378309681096955,0.87732,1.8467340107205548,0.6323
,,57,0.3751745143967211,0.88016,2.0368962302992615,0.6104
,,58,0.35985713762700405,0.88546,1.8972805512102344,0.6511
,,59,0.36018559184220744,0.88344,1.9274090754834912,0.6311
,,60,0.3636966659056256,0.8821,1.9409730524956426,0.6481
,,61,0.34566085059624496,0.89034,1.703577237793162,0.6566
,,62,0.35790054408638067,0.88432,1.8128242288963705,0.6353
,,63,0.34591965876576847,0.88826,1.8746747004834912,0.6455
,,64,0.3472539118260069,0.89056,2.021515852288355,0.6141
,,65,0.33901393775592376,0.89256,1.9988397329668455,0.6341
,,66,0.34734645302948136,0.88928,1.8552284361440925,0.6404
,,67,0.33331193860686953,0.89438,1.9139106243471555,0.6365
,,68,0.33010742868608833,0.8943,1.799721744996083,0.6539
,,69,0.32886485576324753,0.89318,1.7850311345691923,0.6422
,,70,0.33234028438168106,0.895,1.8178077136413962,0.6484
