Clean Accuracy,79.68,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,41.43,1,3.991731435136722,0.05698,3.8977133533622643,0.0859
shot_noise,49.806,2,3.6313622290521024,0.11348,3.446296664732921,0.1778
impulse_noise,55.598,3,3.313962474808364,0.1689,3.382370927665807,0.1907
defocus_blur,75.132,4,2.9717370640591283,0.22718,3.20892105525053,0.2533
glass_blur,50.772,5,2.6974003382046203,0.28138,3.0926432126685035,0.2823
motion_blur,66.986,6,2.5035351152005405,0.3241,2.7788507395152804,0.3421
zoom_blur,72.276,7,2.3375619091951023,0.35984,2.447922060761271,0.4138
snow,66.456,8,2.214379486220572,0.39062,2.1272592227670213,0.4514
frost,60.466,9,2.0949770257905924,0.4153,2.0491008426569683,0.4715
fog,71.758,10,2.003352901514839,0.43946,2.3446079598197453,0.437
brightness,77.336,11,1.932262454191437,0.45674,1.9671869640108905,0.4971
contrast,74.81,12,1.8646331870037576,0.47234,1.7874332364601424,0.5311
elastic_transform,68.346,13,1.8090755646795873,0.48758,1.795251087297367,0.5462
pixelate,63.336,14,1.7478624737781028,0.49954,1.5677257112309904,0.5845
jpeg_compression,56.53,15,1.710725324842936,0.51182,1.5997410876841485,0.572
speckle_noise,51.682,16,1.6710606999409474,0.52032,1.7363080163545246,0.5607
gaussian_blur,73.814,17,1.6426805114502188,0.53002,1.459416864793512,0.6072
spatter,70.468,18,1.604120252992186,0.53944,1.4954907954493655,0.5968
saturate,71.872,19,1.5672116919856547,0.54798,1.5845720300191566,0.5869
Average,64.15126315789475,20,1.5401655563613033,0.5556,1.4043632036522975,0.628
,,21,1.5209913583057921,0.56362,1.3730268274681479,0.6317
,,22,1.4954642886700837,0.5663,1.516304521621028,0.6072
,,23,1.4735851970779927,0.57322,1.3925385414799558,0.6343
,,24,1.452795444547063,0.5785,1.6042262059223802,0.5987
,,25,1.4387038909565761,0.58374,1.3403369603277762,0.6434
,,26,1.4126322711520183,0.58856,1.4674064268039753,0.6162
,,27,1.4015888606800753,0.59046,1.3819004244442228,0.6298
,,28,1.3798471112995196,0.59792,1.3091494478756869,0.6465
,,29,1.3726806777822391,0.59966,1.3741987581494488,0.647
,,30,1.3629258011308167,0.60378,1.3914754194549368,0.6438
,,31,1.351755238097647,0.60572,1.2833336531361448,0.6561
,,32,1.324282264922891,0.61304,1.2284686361687094,0.6739
,,33,1.3084632620177306,0.61602,1.3219643408739115,0.6543
,,34,1.3021785667180406,0.62026,1.2616417913497249,0.6657
,,35,1.2984693068677506,0.61876,1.3224488436421262,0.6527
,,36,1.286893251759317,0.62064,1.321646027172668,0.6638
,,37,1.272630028712475,0.62592,1.308223553850681,0.6633
,,38,1.2665474881296572,0.62716,1.293935231015652,0.6616
,,39,1.260950853147775,0.62844,1.3403213333479966,0.6612
,,40,1.2516809590637226,0.63282,1.2485785921917687,0.6687
,,41,1.239645500012371,0.6324,1.2802404459518721,0.6675
,,42,1.2373282095355451,0.63612,1.201256292530253,0.6827
,,43,1.2098758103292617,0.6418,1.1980010927477969,0.6842
,,44,1.2119636529546869,0.64586,1.3643816332273846,0.661
,,45,1.1972352046795818,0.64788,1.3782384003264994,0.6628
,,46,1.1920627457711397,0.64868,1.1989960761009892,0.6893
,,47,1.1855236779698326,0.65066,1.3329526525509507,0.6742
,,48,1.1879490237406758,0.6492,1.323097063016288,0.6657
,,49,1.1783288456594851,0.6511,1.327910481374475,0.6694
,,50,1.180119109885467,0.65342,1.1865605727026733,0.6873
,,51,1.1715871435601999,0.65268,1.2323138412041,0.681
,,52,1.162620867914556,0.65694,1.2257076675378824,0.6842
,,53,1.1532990392821525,0.66074,1.2249355949933016,0.6865
,,54,1.148110061350381,0.66094,1.3155499349666546,0.6813
,,55,1.1502840031138466,0.66122,1.2591309630418126,0.6915
,,56,1.1429519020687893,0.665,1.2695338265805305,0.6839
,,57,1.1467937162465147,0.66022,1.487036692945263,0.6646
,,58,1.1255655072229294,0.66738,1.3236339771294896,0.6831
,,59,1.1237851564231736,0.66724,1.3295351470573038,0.6772
,,60,1.1204227032258993,0.66818,1.121923544738866,0.7123
,,61,1.1141456168935733,0.66988,1.2005978022949606,0.695
,,62,1.1089932959707802,0.67244,1.274154146260853,0.6863
,,63,1.1068761987454445,0.67328,1.227978960622715,0.7042
,,64,1.0974547087079118,0.67624,1.2838804420036605,0.676
,,65,1.0955305657423366,0.67448,1.3204215440569045,0.6714
,,66,1.0784737909846294,0.6798,1.2486662547799605,0.6883
,,67,1.093284343514601,0.67576,1.2480034918724736,0.6877
,,68,1.072376544213356,0.68132,1.3011737828013263,0.6833
,,69,1.0772869769874436,0.68086,1.3637376322021968,0.6706
,,70,1.0767125690074832,0.68204,1.3425186653680439,0.6773
,,71,1.074544179470033,0.68262,1.2460150447072862,0.6945
,,72,1.0695331643914323,0.68428,1.3121366900733755,0.6823
,,73,1.0588449698579891,0.68566,1.300598663619802,0.6819
,,74,1.0591052270606351,0.686,1.3155518747583221,0.686
,,75,1.054024944067611,0.68658,1.2167744719529454,0.7042
,,76,1.0447301189307971,0.69046,1.2885006145585942,0.6928
,,77,1.042844962433476,0.6924,1.2216800262656393,0.6934
,,78,1.046261142281925,0.68994,1.2705062657971926,0.6937
,,79,1.0383909090095773,0.69332,1.359665049027793,0.6751
,,80,1.0317837874907667,0.69602,1.1528139401085769,0.713
,,81,1.029773462306508,0.695,1.2039621253556843,0.7035
,,82,1.0260608270954903,0.69478,1.248329659806022,0.6948
,,83,1.0239374416563518,0.6938,1.1428200527082515,0.7121
,,84,1.029493453862417,0.69888,1.2565835608711726,0.6897
,,85,1.0183915137634862,0.69704,1.2269325203533414,0.7055
,,86,1.0043922005711918,0.70406,1.1841604098489014,0.707
,,87,1.0004831781167813,0.70262,1.2784088261519806,0.696
,,88,1.015502016562635,0.69798,1.2358034969885139,0.6985
,,89,1.0048030927358076,0.70188,1.2104690610607969,0.7071
,,90,0.997930567892616,0.70226,1.2917274010332325,0.699
,,91,0.9946263772447396,0.70376,1.21531334330764,0.7007
,,92,0.9841346152298286,0.70588,1.3742955576015423,0.679
,,93,0.978981009072355,0.70738,1.3630272632912745,0.687
,,94,0.9888265000279907,0.70688,1.3227265281013296,0.6877
,,95,0.9669075809476321,0.71362,1.2392517728141592,0.7021
,,96,0.9683952576973859,0.7132,1.195704780047453,0.7039
,,97,0.9812375172934569,0.70978,1.2182103833065758,0.7124
,,98,0.9628512668792549,0.7129,1.2681310146669798,0.6992
,,99,0.9599231816923527,0.71182,1.2467942192584653,0.7102
,,100,0.9678368760496759,0.71264,1.277790596968011,0.6997
,,101,0.9696647190986691,0.71166,1.2977912358090848,0.6966
,,102,0.9433903043227427,0.7208,1.3559558180314075,0.6877
,,103,0.9520962968506776,0.71762,1.2668529311312904,0.7045
,,104,0.947005826189085,0.71872,1.1324855006193812,0.7221
,,105,0.937001322693837,0.71918,1.1893308570113363,0.7141
,,106,0.9463417301397494,0.71988,1.1819981502581247,0.7153
,,107,0.9343561106325721,0.72356,1.2592344178429133,0.7095
,,108,0.9293805668725992,0.72508,1.209536681446848,0.7134
,,109,0.9221811562852786,0.72358,1.205341490009163,0.7169
,,110,0.9200374827055675,0.7258,1.2628327411941336,0.7059
