Clean Accuracy,80.33,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,38.788,1,3.733764619168723,0.0534,3.895695508280887,0.0938
shot_noise,47.288,2,3.4473672248518374,0.09688,3.830730863764316,0.1226
impulse_noise,57.48,3,3.208455961988405,0.14268,3.7908677692654766,0.1477
defocus_blur,74.36,4,2.982595069938913,0.18892,3.559716345388678,0.1933
glass_blur,50.406,5,2.7529168836296063,0.23598,2.923665592942057,0.2771
motion_blur,65.274,6,2.5613502681712665,0.27786,3.4612160242056547,0.2267
zoom_blur,71.558,7,2.3986418167953296,0.31318,3.090236875075328,0.2793
snow,65.474,8,2.2685596756922926,0.3451,2.3988924479182763,0.3852
frost,58.51,9,2.163006183741343,0.3725,2.2565155195284494,0.4181
fog,70.194,10,2.065483400278994,0.39566,2.5368442550490173,0.3981
brightness,77.678,11,1.9888626974257058,0.41648,1.923306072814555,0.4952
contrast,71.818,12,1.911794688390649,0.43604,2.060030490537233,0.4661
elastic_transform,69.248,13,1.8599209379966912,0.44994,1.6795546782167652,0.5505
pixelate,53.752,14,1.7959789025509143,0.46694,1.7319103554834294,0.539
jpeg_compression,53.622,15,1.7512595028523594,0.47858,1.710652375523048,0.5473
speckle_noise,49.298,16,1.7118228372100674,0.49076,1.670296471330184,0.5501
gaussian_blur,72.314,17,1.673012104790534,0.50064,1.5662029015867016,0.5777
spatter,69.88,18,1.6459796047576554,0.50808,1.5805397622192963,0.568
saturate,71.03,19,1.620866054159296,0.51688,1.443580561046359,0.5991
Average,62.524842105263154,20,1.5708910239017224,0.52854,1.4860590756693972,0.5999
,,21,1.5616176408879898,0.53224,1.6177523694460905,0.5713
,,22,1.5388019066637435,0.53966,1.524024715906457,0.5977
,,23,1.516293897958058,0.54334,1.4491329132756101,0.613
,,24,1.4925330538883843,0.54946,1.3932020053078857,0.6173
,,25,1.4766720469345522,0.55638,1.3500087547905837,0.6301
,,26,1.4575971758274167,0.56282,1.372205393978312,0.6254
,,27,1.4500296353684057,0.5633,1.3381885207152064,0.6306
,,28,1.4328574512315833,0.56774,1.4020053472699998,0.6229
,,29,1.4116707582912786,0.5747,1.5012791820719271,0.6165
,,30,1.4005026686222046,0.57628,1.322239331052273,0.6423
,,31,1.3920657884739245,0.5809,1.3897884608824043,0.6227
,,32,1.3705929194569892,0.58728,1.2864248767683777,0.6514
,,33,1.3630408063873916,0.58812,1.2581541666501685,0.6566
