Clean Accuracy,65.92,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,23.97,1,4.933913377239881,0.03163,4.564371646205081,0.0615
shot_noise,29.046,2,4.465519616061159,0.07884,4.273412683342077,0.1055
impulse_noise,28.144,3,4.133843083515801,0.12262,4.313772461082362,0.1238
defocus_blur,26.106,4,3.8906444582487922,0.15634,4.755007831356194,0.1278
glass_blur,24.56,5,3.7215241437677835,0.18184,3.7711446556863906,0.2146
motion_blur,31.768,6,3.5894894084662123,0.20481,3.8909351855893677,0.2126
zoom_blur,29.262,7,3.4589970209409513,0.22616,3.9336075284813026,0.2262
snow,32.448,8,3.3713124331915774,0.24318,3.4513846590549133,0.2812
frost,37.24,9,3.2906567876601156,0.25715,3.3638519516474084,0.3046
fog,33.706,10,3.2164370126431554,0.26988,3.0281994810587243,0.3324
brightness,42.4,11,3.1564843017426902,0.2802,3.0074575913103323,0.3488
contrast,22.474,12,3.0975757663512167,0.29299,2.9735691622842717,0.3545
elastic_transform,38.604,13,3.0430089329819543,0.30095,3.662346921389616,0.3034
pixelate,44.576,14,3.0096519395823367,0.30896,2.9754980515830125,0.3867
jpeg_compression,42.482,15,2.964626549454906,0.31674,3.02994571758222,0.3773
speckle_noise,24.596,16,2.9364278618332067,0.32287,2.6883891051328637,0.4132
gaussian_blur,27.426,17,2.9002514623315134,0.32865,2.9710084456431716,0.3814
spatter,36.914,18,2.874394403089343,0.33408,2.6788503293749653,0.4254
saturate,38.046,19,2.854507067319377,0.33694,2.664685967602307,0.4081
Average,32.30357894736842,20,2.8238282072574585,0.34379,2.69950041288062,0.4193
,,21,2.7994634867324244,0.34726,2.7651627833330177,0.4078
,,22,2.78331046305654,0.35034,2.953751538373247,0.4084
,,23,2.766018105589825,0.35375,3.3378556046304824,0.3518
,,24,2.7508690360257084,0.35766,2.6471196533758428,0.4313
,,25,2.726645647412371,0.36178,2.6538008738167678,0.4465
,,26,2.7166738382080937,0.36441,2.50015017050731,0.4276
,,27,2.6922245708572894,0.36875,2.883253219761426,0.4157
,,28,2.6841676195564173,0.37178,2.8575699819794185,0.4026
,,29,2.6794827636855336,0.37061,2.494213602210902,0.4634
,,30,2.6564683124537356,0.37733,2.4566470927829984,0.4576
,,31,2.6409441461343595,0.38024,2.8363971529127676,0.3962
,,32,2.633996680874349,0.37837,2.4332266321665124,0.4616
,,33,2.6180175616003365,0.38504,2.483411275887791,0.4538
,,34,2.6132002041467923,0.38564,2.609459057638917,0.4503
,,35,2.6050214212568825,0.38612,2.7925845444956914,0.4285
,,36,2.5959418993776717,0.38703,2.6456795659246324,0.4527
,,37,2.586565997137133,0.39167,2.463690537440626,0.4724
,,38,2.5758458071047694,0.39131,2.4300221710265437,0.478
,,39,2.5675055730678236,0.39282,2.757369894015638,0.4465
,,40,2.563385351539573,0.39443,2.535944809642019,0.4697
,,41,2.5524918087912947,0.39678,2.316140505331981,0.4804
,,42,2.5446387297662016,0.3977,2.677573496782327,0.4657
,,43,2.5415269358993493,0.39824,2.42166418667081,0.4711
,,44,2.5302593110467466,0.40156,2.4800891725322867,0.4712
,,45,2.5293922471573285,0.39953,2.4187623352944096,0.4722
,,46,2.51842990098402,0.40135,2.4870979016340233,0.4781
,,47,2.508907637632716,0.40539,2.3188246307493765,0.4924
,,48,2.5118952318835444,0.4055,2.3556803600697576,0.4807
,,49,2.4903432463136173,0.40899,2.593514510347873,0.4702
,,50,2.500016387923599,0.40746,2.541610959209973,0.4673
,,51,2.4953987485612443,0.40799,2.955905179434185,0.4192
,,52,2.4798366221625483,0.41087,2.639263971696926,0.4598
,,53,2.4852609236526977,0.41037,2.4519721541223647,0.4835
,,54,2.4806426611092998,0.41043,2.340990276276311,0.4987
,,55,2.4719116779239587,0.41284,2.3895409816428077,0.4893
,,56,2.4623600852763867,0.4165,2.5516353558890428,0.4679
,,57,2.4537361948691365,0.41437,2.31640943017187,0.5098
,,58,2.455507807109667,0.41662,2.3158736545828322,0.5026
,,59,2.4449648044603256,0.41794,2.536767653272122,0.4703
,,60,2.450396701502983,0.41661,2.365524163729028,0.4986
,,61,2.4395303714000964,0.417,2.492984522747088,0.463
,,62,2.42626112729997,0.42328,2.413598199433918,0.4897
,,63,2.42334289014187,0.42233,2.574428132817715,0.4635
,,64,2.422732402753952,0.41992,2.5139970266366305,0.4722
,,65,2.4161901228568134,0.42368,2.4709913459005235,0.4795
,,66,2.42364757216495,0.42113,2.3234105925016766,0.4977
,,67,2.413706189988519,0.4237,2.9509472303752657,0.3863
,,68,2.411654450094608,0.42476,2.3677979783166814,0.4899
,,69,2.405492824514199,0.42572,2.432922165605086,0.4768
,,70,2.4038139266126297,0.4245,2.5720473693895944,0.4753
,,71,2.401986546528614,0.42555,2.365028305898739,0.4904
,,72,2.382683873481458,0.43023,2.2749832498876352,0.5093
,,73,2.388842498554903,0.42847,2.319980518727363,0.4886
,,74,2.3815425260902368,0.43213,2.2165581048289433,0.5113
,,75,2.3784778397101576,0.43081,2.286901852752589,0.4961
,,76,2.3710715516144054,0.43306,2.4283086121836797,0.4877
,,77,2.3803844508307668,0.43073,2.211882237392136,0.523
,,78,2.3630299159632924,0.43484,2.4279014113583144,0.4921
,,79,2.3672995390489584,0.4332,2.3482861918739126,0.5061
,,80,2.3633349595777213,0.43475,2.3873623081400424,0.4828
,,81,2.3556378759691476,0.43793,2.2224372693254977,0.5186
,,82,2.3594847143153705,0.4349,2.2766329721559453,0.5152
,,83,2.3479127313779746,0.43734,2.3332437435282936,0.5037
,,84,2.352625743659866,0.436,2.472742377957211,0.4793
,,85,2.3391865502537974,0.4383,2.368540424334852,0.5025
,,86,2.3325539301423466,0.4416,2.6575377304342727,0.447
,,87,2.3333106873285434,0.44177,2.144488825828214,0.5227
,,88,2.3279766583686596,0.44108,2.2472375042830843,0.5195
,,89,2.3224590823168643,0.44243,2.2464795595482934,0.5199
,,90,2.3223916365362496,0.44267,2.266196198101285,0.5096
,,91,2.311813042596783,0.44507,2.3991593590265587,0.4947
,,92,2.3037208695240947,0.44613,2.3381213070471074,0.5006
,,93,2.305241184923655,0.44667,2.254409930374049,0.5138
,,94,2.3046247273150002,0.44587,2.0788102512118183,0.5387
,,95,2.2973936389169425,0.44872,2.143457687353786,0.5329
,,96,2.293580239386205,0.4498,2.1659981200966656,0.5347
,,97,2.29159192721862,0.44784,2.3137534290929382,0.5201
,,98,2.2852649664330054,0.45134,2.2319187801095506,0.54
,,99,2.279995751045549,0.45031,2.3646919961217083,0.5158
,,100,2.277745788359581,0.45246,2.1634446578689768,0.5356
,,101,2.272342609017706,0.45111,2.1740770747389973,0.5287
,,102,2.276188705430921,0.45055,2.224271943297567,0.5098
,,103,2.2638853335624463,0.45418,2.1878549418871915,0.5374
,,104,2.2667800656060124,0.45351,2.198571472228328,0.527
,,105,2.2513411726488175,0.45819,2.359722857233844,0.51
,,106,2.255226762855754,0.45681,2.249323337892943,0.5183
,,107,2.245238258558161,0.4597,2.387082108968421,0.5067
,,108,2.244050712536668,0.45929,2.1191191861901104,0.5328
,,109,2.2428799382865887,0.45927,2.1126834901073313,0.5413
,,110,2.235509052605885,0.45945,2.300936703440509,0.5062
,,111,2.2389897521194593,0.45964,2.138065276266653,0.5382
,,112,2.22018988922124,0.46342,2.2837241058108173,0.5169
,,113,2.2158497623775317,0.4647,2.3186861480338665,0.51
,,114,2.2202923270442603,0.46322,2.152784561809105,0.5318
,,115,2.2218499576953974,0.4632,2.1314735397507873,0.539
,,116,2.2081093696682044,0.46682,2.1060183448127554,0.5469
,,117,2.2048461655216753,0.46671,2.214266681218449,0.5207
,,118,2.1957613072736795,0.47011,2.236051265197464,0.5288
,,119,2.19726893252424,0.46783,2.282653558857833,0.5325
,,120,2.194234442070622,0.46872,2.2495674777634536,0.5192
,,121,2.1873387035811342,0.47119,2.1239624476131005,0.5256
,,122,2.194716249737898,0.4682,2.246157948729358,0.5266
,,123,2.1789185371240385,0.4717,2.0458152512960797,0.5572
,,124,2.181311507054302,0.47093,2.188993189908281,0.5223
,,125,2.1722209590780155,0.47328,2.1515990978554833,0.5321
,,126,2.164487974570535,0.47593,2.0806549591354178,0.5474
,,127,2.1582822188392017,0.4752,2.150674214091482,0.5364
,,128,2.153869417774708,0.47727,2.2902081299431716,0.52
,,129,2.1543074074913475,0.47622,2.098906649818903,0.5472
,,130,2.1445118114161676,0.47877,2.094085234629957,0.5406
,,131,2.1435829259245596,0.47927,2.152449274364906,0.5414
,,132,2.1369914229568616,0.481,2.1609572692762447,0.5426
,,133,2.1290214174543807,0.48128,2.1349185433568834,0.5534
,,134,2.127954641876318,0.48217,2.184854759445673,0.5434
,,135,2.126776201798178,0.48282,2.097120317477214,0.5514
