Clean Accuracy,66.41,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,20.108,1,4.907405398995675,0.03467,4.664605542074276,0.0698
shot_noise,24.456,2,4.303761477055757,0.09651,4.35717835607408,0.1253
impulse_noise,25.82,3,3.910497468145912,0.15054,4.618561361409441,0.1158
defocus_blur,23.198,4,3.6563208993438563,0.19002,3.9830519685262367,0.1821
glass_blur,23.18,5,3.4595208829626096,0.22355,3.424993499924865,0.2508
motion_blur,28.698,6,3.3035488049392505,0.25313,3.2544870648203017,0.2855
zoom_blur,26.26,7,3.1708286302473843,0.2763,3.2725124253502376,0.2996
snow,33.096,8,3.0792604032379893,0.29207,3.1786696835409236,0.3214
frost,36.328,9,2.989110978058232,0.31226,3.4856372935862483,0.2908
fog,34.286,10,2.914006069797994,0.32581,2.949550770506074,0.3521
brightness,40.844,11,2.850534197009738,0.33808,3.220826933655558,0.3097
contrast,21.222,12,2.788873680717195,0.34928,2.8678655745107915,0.3702
elastic_transform,36.866,13,2.739516133847444,0.35839,2.8262771111500413,0.3816
pixelate,40.28,14,2.6982751721921177,0.36558,2.5520156320137315,0.4154
jpeg_compression,40.958,15,2.6485580593118887,0.37728,2.9544145728968365,0.3772
speckle_noise,20.324,16,2.616456118995881,0.38401,2.737581023687049,0.3962
gaussian_blur,23.542,17,2.5920509944486496,0.38864,2.5625735717483713,0.4299
spatter,33.538,18,2.548143065189157,0.39776,2.5294047337544114,0.4394
saturate,37.126,19,2.527024973993716,0.40204,2.643481606169592,0.4069
Average,30.00684210526315,20,2.5011607201203057,0.40603,2.4377724882922593,0.4557
,,21,2.477535240942865,0.41035,2.7759049315995807,0.4227
,,22,2.456640789880777,0.41565,3.125939311860483,0.3978
,,23,2.4384439901622663,0.42103,2.5444550800927077,0.4524
,,24,2.423452695159961,0.42192,2.47513044484054,0.4565
,,25,2.40382492359337,0.42476,2.5474809528906133,0.4431
,,26,2.3849752232851578,0.42989,2.543253445927101,0.4441
,,27,2.3708949951869447,0.43216,2.4446858982496624,0.4672
,,28,2.3526420346306414,0.43625,2.7255001581167875,0.3935
,,29,2.347695067715462,0.43833,2.3975846344911598,0.471
,,30,2.3279464287526164,0.44321,2.7969660894780217,0.4237
,,31,2.3218855632235633,0.4417,2.627391677868517,0.4434
,,32,2.3125438905128126,0.44536,2.352203356314309,0.4965
,,33,2.3004008148942154,0.44823,2.597017362147947,0.4473
,,34,2.2871382356909535,0.45,2.3751535076129286,0.4729
,,35,2.276574049154511,0.45266,2.4899507278128516,0.4656
,,36,2.267667531967163,0.4541,2.4322880521605286,0.4852
,,37,2.254124912459527,0.45677,2.4824559001982966,0.4771
,,38,2.2579649706630756,0.45571,2.618910256820389,0.4441
,,39,2.234817808393932,0.46022,2.8652493229395226,0.4225
,,40,2.230817977272336,0.46222,2.5155736041974417,0.4667
,,41,2.2272140296828717,0.46352,2.3077520765835726,0.489
,,42,2.2188750802708403,0.46283,2.314956247806549,0.4884
,,43,2.2114529772792633,0.46514,2.4439874646029893,0.4831
,,44,2.203563718387233,0.4676,2.3754283257677584,0.4951
,,45,2.1932305210386702,0.47113,2.5194866536538814,0.474
,,46,2.1943912536591825,0.46961,2.3731195081638385,0.4932
,,47,2.1801722342400907,0.47168,2.3334530290169053,0.494
,,48,2.1703852340388483,0.47695,2.3451890311663663,0.4978
,,49,2.177703123263386,0.47278,2.436376509787161,0.4871
,,50,2.16806126021973,0.47531,2.412201347230356,0.4856
,,51,2.1522055830796964,0.47887,2.3656836340699017,0.5097
,,52,2.1464458396062827,0.4816,2.247855751574794,0.5136
,,53,2.1456190558040844,0.47786,2.55227661585506,0.4728
,,54,2.137447106716273,0.48072,2.3821027135547204,0.508
,,55,2.1362275360795238,0.48055,2.1741023833238624,0.5293
,,56,2.131192148189106,0.48172,2.6504692457899264,0.4643
,,57,2.123428609974854,0.48372,2.791600007045118,0.4481
,,58,2.1162389051883728,0.48606,2.3364816345746005,0.4985
,,59,2.1146053728240224,0.48643,2.3828945401348647,0.4973
,,60,2.1025685257923876,0.48836,2.8348569779456416,0.4485
,,61,2.0913171789530294,0.48832,2.508592292477813,0.4779
,,62,2.097636467812921,0.48993,2.415932880172247,0.5062
,,63,2.0937655222080553,0.49027,2.52345383016369,0.482
,,64,2.089055035425269,0.49092,2.375191325628305,0.4965
,,65,2.080612245423105,0.49371,2.290604323525972,0.5233
,,66,2.0899980062109127,0.49149,2.4511128452759756,0.4885
,,67,2.074319848624032,0.4948,2.30654085210607,0.5097
,,68,2.0695558444923146,0.49624,2.213055656680578,0.512
,,69,2.058191351421044,0.49791,2.5211392248733135,0.4706
,,70,2.0595284761370296,0.49784,2.373884647707396,0.4999
,,71,2.0593570665935115,0.49676,2.354898461812659,0.4945
,,72,2.0539836725005713,0.49822,2.4248979725415194,0.4912
,,73,2.0492483860696367,0.49901,2.20017486056195,0.5256
,,74,2.050073117093967,0.49879,2.3343152245388756,0.5121
,,75,2.038234009614686,0.50116,2.631942672065542,0.4707
,,76,2.0365698203406373,0.50199,2.3059496472153485,0.5104
,,77,2.035979890305063,0.50113,2.2424478500704224,0.5227
,,78,2.0241426697472478,0.50526,2.237080183210252,0.5269
,,79,2.0166514954908425,0.50801,2.285220734680755,0.5299
,,80,2.021615880224711,0.5085,2.346237020402015,0.5197
,,81,2.0064338402979818,0.5075,2.241391719896582,0.5182
,,82,2.010942306207574,0.50687,2.1796403663067876,0.5339
,,83,2.0160164163850456,0.50643,2.088351854795142,0.5446
,,84,1.999208118299694,0.50923,2.2389373552950125,0.53
,,85,1.995378240142637,0.5127,2.2340488961980314,0.5363
,,86,1.99348932413189,0.51068,2.376981046380876,0.5143
,,87,1.9860792054849512,0.5129,2.2146999783153776,0.5278
,,88,1.979601096161796,0.51384,2.387332216093812,0.5084
,,89,1.9766069979923766,0.51453,2.6652294699149794,0.4667
,,90,1.9740302018497302,0.5157,2.237543350533594,0.5331
,,91,1.9666596558087928,0.51773,2.5801532057267202,0.4955
,,92,1.9650853863152702,0.51717,2.2324981334843215,0.5248
,,93,1.9656157275599897,0.51657,2.243296405937098,0.5322
,,94,1.94906221737947,0.51988,2.5653875417347196,0.49
,,95,1.9566589849989127,0.51839,2.140105768849578,0.5362
,,96,1.9489641061524297,0.52223,2.324019441121741,0.5092
,,97,1.9359799382631735,0.5225,2.7627496824988835,0.4676
,,98,1.944004963426029,0.52217,2.4058648302585266,0.5173
,,99,1.934314158109143,0.52331,2.6541751970218708,0.4805
,,100,1.9348473106808675,0.52208,2.8692554733421227,0.4434
,,101,1.9282933540661316,0.52444,2.3511169658431523,0.5081
,,102,1.9205077842373373,0.5272,2.339349723314937,0.5298
,,103,1.9165206893020883,0.52692,2.3008513231820698,0.5258
,,104,1.918982860224936,0.52832,2.2924967408180237,0.5317
,,105,1.9094885256894105,0.52953,2.1734195396869995,0.5401
,,106,1.906264627985942,0.53047,2.155528040626381,0.5271
,,107,1.902235102927898,0.52935,2.4842580209804486,0.4986
,,108,1.8959910322333235,0.53155,2.2297769981094553,0.5399
,,109,1.8861456624687176,0.53403,2.298808662951747,0.532
,,110,1.8820300795842924,0.53594,2.2202526164960257,0.5285
,,111,1.8779176603192869,0.53574,2.356233550023429,0.5216
,,112,1.8772666686026336,0.53479,2.725347045101697,0.4738
,,113,1.8791340566657084,0.53598,2.670003709913809,0.4845
,,114,1.8692618143528015,0.53647,2.2559296285049824,0.5416
,,115,1.8654874711085463,0.53888,2.2887535095214844,0.5428
,,116,1.8574161962475009,0.54011,2.035421942608266,0.5575
,,117,1.8496734213341228,0.5409,2.4026181335690655,0.5203
,,118,1.8575167018739158,0.54127,2.3487801929063434,0.5214
