Clean Accuracy,62.92,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,16.206,1,2.116957068138415,0.02509,5.425772196129907,0.0317
shot_noise,20.88,2,1.9480510779353968,0.0607,4.5206651265108135,0.0753
impulse_noise,21.178,3,1.8173597985521301,0.09984,5.245886603488198,0.077
defocus_blur,13.448,4,1.719986811623244,0.12899,5.333700780627094,0.0756
glass_blur,14.42,5,1.6400135290592224,0.1573,4.97361685656294,0.1153
motion_blur,17.974,6,1.5882718259721156,0.17836,4.076357117182092,0.1677
zoom_blur,16.05,7,1.5352197432761912,0.19762,8.425075844873357,0.0356
snow,22.34,8,1.48940599833608,0.21522,4.013607498965686,0.1991
frost,23.952,9,1.455338592724422,0.22923,5.737326953984514,0.1185
fog,18.298,10,1.4210943915045169,0.24211,3.646550480323502,0.2577
brightness,31.59,11,1.3918195525398644,0.25391,4.191977552220791,0.1991
contrast,5.918,12,1.3705102473573612,0.26262,3.9533347570443453,0.2444
elastic_transform,25.17,13,1.3467023688204147,0.27148,3.2867544557474835,0.3067
pixelate,34.472,14,1.3252410807877855,0.2803,3.389558451085151,0.2988
jpeg_compression,33.466,15,1.3117894143094797,0.28733,3.8596208336987075,0.266
speckle_noise,16.248,16,1.2959630522886505,0.29209,3.833869630777383,0.2899
gaussian_blur,14.194,17,1.2840200668710577,0.29871,3.3227744389183913,0.3239
spatter,30.83,18,1.2656119153322771,0.30698,3.1811752062809617,0.3366
saturate,25.862,19,1.2505075878194531,0.31137,3.4913055685502066,0.3026
Average,21.183999999999997,20,1.2363286875855282,0.31878,2.973307926443559,0.3525
,,21,1.2284453259709547,0.32204,3.0932862124865568,0.3465
,,22,1.2199937329267907,0.32655,3.0980006984517545,0.3477
,,23,1.2112980332520917,0.33157,3.0540868375874775,0.3606
,,24,1.2030059393409573,0.33476,2.839023190208628,0.3813
,,25,1.1942248581467991,0.33827,4.021989413454563,0.2805
,,26,1.1835124050564778,0.34095,2.811849634858626,0.3913
,,27,1.1792221593734857,0.34502,2.77922719490679,0.4057
,,28,1.1676062356937877,0.34919,2.716967783396757,0.3955
