Clean Accuracy,64.34,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,23.19,1,4.544366956366908,0.04109,4.544516216350507,0.0711
shot_noise,28.17,2,3.9342167770771113,0.10954,4.257284396811377,0.1119
impulse_noise,25.532,3,3.56281179387856,0.16659,3.981113313119623,0.1476
defocus_blur,25.464,4,3.299606310741981,0.21197,3.83375198629838,0.1891
glass_blur,24.202,5,3.0971318425424874,0.25202,3.5897780490826956,0.2298
motion_blur,30.428,6,2.9428280244397995,0.28178,3.2867887804779827,0.2756
zoom_blur,29.356,7,2.8164676848579857,0.30879,2.864294433895546,0.3456
snow,31.682,8,2.7142485133217424,0.33101,3.117870738234701,0.328
frost,39.058,9,2.6328833462941983,0.34823,2.6405745639076716,0.3912
fog,35.192,10,2.557464948700517,0.36122,2.6875544771363464,0.3921
brightness,39.872,11,2.505488181662986,0.37232,2.609000654160222,0.4064
contrast,20.714,12,2.4477867305736103,0.38502,2.5783784917638273,0.4009
elastic_transform,37.874,13,2.3967662816462307,0.39663,2.513325473930262,0.4184
pixelate,41.846,14,2.3595378037608796,0.40483,2.5403432981877385,0.418
jpeg_compression,43.34,15,2.314534927725487,0.41498,2.900822041909906,0.3726
speckle_noise,24.274,16,2.2847115903559243,0.42156,2.485742120803157,0.4432
gaussian_blur,26.19,17,2.264500332762823,0.42501,2.4743574525736554,0.4416
spatter,33.612,18,2.2244235236016685,0.43525,3.0367068731332125,0.3704
saturate,37.06,19,2.2033923379600506,0.43949,2.508231235455863,0.4422
Average,31.424000000000003,20,2.177146685855163,0.44571,2.557441642012777,0.4233
,,21,2.1606530141647515,0.44765,2.2880256696592403,0.4762
,,22,2.1388673471367876,0.4541,2.339503549322297,0.4751
,,23,2.1225394713299353,0.45725,2.265008555182928,0.4728
,,24,2.0990804854561302,0.46041,2.279465338851832,0.4897
,,25,2.0759080169755784,0.46689,2.328736709643014,0.4757
,,26,2.0666654695330373,0.46802,2.5057931912096243,0.4547
,,27,2.0583314077018775,0.47107,2.2999799327005315,0.4898
,,28,2.0381032955616027,0.4755,2.4389634886874427,0.4682
,,29,2.0279130696335717,0.47753,2.240805719472185,0.5003
