Clean Accuracy,64.1,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,22.67,1,3.8140118173930957,0.04593,4.385818695720238,0.0825
shot_noise,27.258,2,3.3026672385232834,0.11399,4.388626442679876,0.0979
impulse_noise,28.324,3,2.993122207844044,0.1676,4.007190577591522,0.1423
defocus_blur,23.62,4,2.768402807547918,0.20927,3.5887424327150175,0.2178
glass_blur,21.386,5,2.6046434393929094,0.24701,3.5573273610465135,0.2259
motion_blur,28.674,6,2.48330503534478,0.27117,3.153802138340624,0.284
zoom_blur,27.044,7,2.3834484018328244,0.29602,3.589562437202357,0.2526
snow,31.514,8,2.291740748278625,0.31751,2.9380309189422222,0.3357
frost,36.714,9,2.2262885585770276,0.33506,2.8599915972238854,0.362
fog,33.34,10,2.155633319521804,0.35012,2.746078362947778,0.3664
brightness,40.63,11,2.0983658811015546,0.36333,2.683639079709596,0.3846
contrast,19.748,12,2.058366428250852,0.37357,2.746394533145277,0.397
elastic_transform,35.426,13,2.012837434363792,0.38338,2.749327120901663,0.3943
pixelate,40.68,14,1.9797493449562347,0.39189,2.7862867977045758,0.388
jpeg_compression,41.678,15,1.9555722113765415,0.39984,2.582194338870954,0.4215
speckle_noise,23.43,16,1.910608315711741,0.40857,2.4387881982175608,0.4384
gaussian_blur,24.366,17,1.892706303950161,0.41248,2.5493171139608455,0.4102
spatter,34.99,18,1.8644541745905376,0.42168,2.711716475366037,0.407
saturate,37.758,19,1.8427738605252921,0.42683,2.4665418742578242,0.4485
Average,30.486842105263158,20,1.8179533778858916,0.4322,2.4610623664493803,0.4431
,,21,1.8078918502763714,0.43532,2.4370678497266165,0.4441
,,22,1.7853124387124006,0.44317,2.4450225317025485,0.4481
,,23,1.771486982512657,0.44726,2.5397257880319524,0.4489
,,24,1.7546875380798983,0.44736,2.2299661847609507,0.4814
,,25,1.7339901658885009,0.45286,2.395852600471883,0.4632
,,26,1.7256433166506346,0.45622,2.279335215876374,0.4865
,,27,1.713387454867058,0.45923,2.3895664464069317,0.4777
,,28,1.6979925467839936,0.46192,2.3321285262892517,0.4744
,,29,1.692009432846323,0.46448,2.538666788535782,0.4658
,,30,1.673139214210803,0.46598,2.355369106878208,0.4646
,,31,1.674247339405977,0.46838,2.34709102368053,0.4876
,,32,1.6584579540640496,0.47262,2.371509281894829,0.4758
,,33,1.6460673889845534,0.47623,2.2479221602029438,0.4921
,,34,1.6426399075771536,0.47588,2.351573672475694,0.4903
,,35,1.6349043977230102,0.47912,2.3135079945190045,0.4783
,,36,1.621597815200191,0.48085,2.2020099064971825,0.4951
,,37,1.6141908857828515,0.48473,2.356089527848401,0.4802
,,38,1.6091826423964537,0.48514,2.4021136745621887,0.4652
,,39,1.5998924735866848,0.48709,2.4354911529565157,0.4529
,,40,1.5895469679551966,0.48812,2.164481885071042,0.5107
,,41,1.5891483980981285,0.49256,2.372805906247489,0.4805
,,42,1.5823739811282633,0.49095,2.1774494263190256,0.5106
,,43,1.574350952035021,0.49392,2.425564774984046,0.4783
,,44,1.5699906004664232,0.49566,2.305133599269239,0.4966
,,45,1.5639804842526956,0.49674,2.31944281994542,0.4948
,,46,1.558832296934884,0.49826,2.544235738017891,0.4789
,,47,1.545672318667097,0.50045,2.2879920533940763,0.5002
,,48,1.5457527921022967,0.49966,2.3088505833963806,0.4979
,,49,1.539254298752836,0.50266,2.1497052591058274,0.526
,,50,1.530186351150503,0.50289,2.283909083167209,0.4967
,,51,1.532489971736508,0.50526,2.5805411572697796,0.453
,,52,1.52473069746476,0.50626,2.423334059835989,0.4896
,,53,1.5133368138157193,0.50842,2.35250313976143,0.5034
,,54,1.5132454647432507,0.50928,2.3218283909785598,0.5121
,,55,1.513188768378304,0.5072,2.6151551249661025,0.4715
,,56,1.5017804811372781,0.50942,2.330275350733648,0.4908
,,57,1.4997427949820028,0.51233,2.1727724384657945,0.5148
,,58,1.4934163342046616,0.51424,3.2467243263993084,0.397
,,59,1.4891812215985545,0.51246,2.2018113521080984,0.5132
,,60,1.491684641831976,0.51264,2.3563802038566974,0.4976
,,61,1.4811883245587654,0.51707,2.1941058741340154,0.527
,,62,1.4726311489749138,0.51966,2.1496867929832844,0.5234
,,63,1.4667159007943196,0.51903,2.3146911587896226,0.4953
,,64,1.4659148293840305,0.51847,2.365961353990096,0.5043
,,65,1.46794542479698,0.51875,2.2778241340118117,0.5107
,,66,1.4630276981522055,0.52229,2.0820561368254165,0.5317
,,67,1.460338354720484,0.52259,2.1770120889325684,0.5269
,,68,1.4613516344438733,0.52171,2.207254816459704,0.5252
,,69,1.4545682273862306,0.5247,2.120261645769771,0.5412
,,70,1.4488430439358781,0.52611,2.199701134162613,0.5224
,,71,1.4379071769354594,0.53056,2.2228816430779954,0.5319
,,72,1.4365154395018087,0.52754,2.260607407817358,0.5188
,,73,1.4331028424870327,0.52852,2.2280108943770203,0.5151
,,74,1.43152369638843,0.52919,2.5108917151825336,0.4786
,,75,1.4262775351934116,0.52925,2.5958305144611793,0.4811
,,76,1.4291276709198037,0.53073,2.212827690040009,0.5291
,,77,1.4254881068873588,0.53099,2.2243022194391564,0.514
,,78,1.4113400781246097,0.53576,2.2232268143303786,0.5414
,,79,1.4135627533163866,0.53368,2.2661178821249854,0.5198
,,80,1.411151843302695,0.53652,2.2726461102690876,0.5204
,,81,1.405009259500772,0.536,2.24126985254167,0.5196
,,82,1.4033514625581025,0.53872,2.2392918595784828,0.5248
,,83,1.39055181182254,0.53971,2.032067641427245,0.5523
,,84,1.3908153004048731,0.54048,2.119660029682932,0.5447
