Clean Accuracy,61.26,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,17.736,1,3.9688505044068827,0.05211,4.725309308571152,0.0637
shot_noise,22.014,2,3.3196102124650766,0.14854,3.8091063258014146,0.1619
impulse_noise,19.348,3,2.946393468190947,0.22113,3.8255219912227196,0.1833
defocus_blur,9.81,4,2.7165666239340895,0.27444,3.5809809829615338,0.232
glass_blur,14.906,5,2.5426047836118344,0.31592,3.5336758999884883,0.2306
motion_blur,13.074,6,2.4139046010458864,0.34697,3.4073838010618958,0.2666
zoom_blur,10.778,7,2.3090014672645216,0.37276,3.21620821801922,0.2909
snow,20.36,8,2.219461026094149,0.39619,2.9757039154632183,0.3233
frost,24.664,9,2.1502138903683714,0.41252,2.9214894711216792,0.3409
fog,17.59,10,2.0906400090593205,0.42666,2.6571869940697392,0.3867
brightness,27.626,11,2.03539462010269,0.44114,2.5661627906787245,0.4029
contrast,6.568,12,1.988365564047528,0.45475,2.6360017755363563,0.3898
elastic_transform,19.76,13,1.9507657460239538,0.46208,2.442968963067743,0.4283
pixelate,31.96,14,1.9151423881425882,0.47361,2.438170985330509,0.4267
jpeg_compression,30.844,15,1.8750093541181911,0.48449,2.3141169140610516,0.4614
speckle_noise,17.24,16,1.8423239010984025,0.49046,2.3937932207614563,0.4368
gaussian_blur,10.456,17,1.8224411493981891,0.49737,2.516200696365743,0.4205
spatter,23.89,18,1.791137444393714,0.50579,2.421087838426421,0.4396
saturate,22.19,19,1.7728330884748102,0.51053,2.3494901325129254,0.4488
Average,18.990210526315792,20,1.7502861867475388,0.51712,2.4111129754706275,0.436
,,21,1.728008923323258,0.52321,2.4848479107965398,0.4383
,,22,1.712894310426834,0.52654,2.1199859712697284,0.4965
,,23,1.6948939779835284,0.53097,2.125727540330042,0.4913
,,24,1.6759287495442363,0.53588,2.3188635125944885,0.4617
,,25,1.6594307482090143,0.54102,2.2048667239237436,0.4784
,,26,1.6526790203340829,0.54318,2.4238987844201585,0.4497
,,27,1.6390907647054824,0.54582,2.213220010829877,0.4818
,,28,1.6226950013424124,0.55174,2.613592812532111,0.414
,,29,1.6147645966476187,0.55402,2.3102271466315547,0.4694
,,30,1.6037676203281372,0.55515,2.156608466106125,0.493
,,31,1.5875462962843268,0.56074,2.245595569097543,0.4766
,,32,1.5837823908652187,0.56171,2.2533542061153846,0.4808
,,33,1.5690666961547968,0.56456,2.5017960569526574,0.4398
,,34,1.565126786299069,0.56826,2.3143984094450745,0.4735
,,35,1.555693855980778,0.56877,2.3156948685646057,0.4783
,,36,1.5477920427651661,0.57128,2.702326512034935,0.4041
,,37,1.537644791176252,0.5735,2.243543966661526,0.483
,,38,1.523741507774119,0.57643,2.264010851896262,0.479
,,39,1.5190891687522459,0.58049,2.440514676178558,0.4432
,,40,1.514328843187493,0.57975,2.249370851848699,0.4833
,,41,1.5089186213510422,0.58286,2.2197135309629803,0.4774
,,42,1.4934320602270648,0.58615,2.158522413501257,0.496
,,43,1.49419777899447,0.58515,2.1492963818055166,0.497
,,44,1.490004967393168,0.58783,2.406085539467727,0.4542
,,45,1.4810214076200714,0.59001,2.348656530621686,0.4723
,,46,1.4771228899126467,0.59045,2.225144931787177,0.4892
,,47,1.4705978642644175,0.59256,2.4066087143330632,0.4558
,,48,1.4656794209919317,0.5954,2.2928754264795326,0.4759
,,49,1.4566279209178428,0.59755,2.2963568824755995,0.4761
,,50,1.4521980569185808,0.59768,2.4148613018325613,0.4595
,,51,1.452497355773321,0.5967,2.0530381715750394,0.5219
,,52,1.4445682038431582,0.5994,2.146464743191683,0.5056
,,53,1.439495939885259,0.6009,2.188252765921098,0.5007
,,54,1.4308685565848485,0.60368,2.183634729325017,0.4915
,,55,1.4264342476949667,0.60591,2.104965068871462,0.5172
,,56,1.420283676718202,0.60668,2.058431189271468,0.5153
,,57,1.4201778023291731,0.60632,2.5331525153751615,0.4362
,,58,1.416980858806454,0.60682,2.278485097462618,0.4803
,,59,1.4108910461520905,0.60976,2.151157284084755,0.5043
,,60,1.404927235735042,0.61025,2.065848036657406,0.5224
,,61,1.3952849917399608,0.61331,2.141242136683645,0.5109
,,62,1.3907812522805256,0.61471,2.0249069815949547,0.5316
,,63,1.3940496273967615,0.61461,2.031701480286031,0.5298
,,64,1.3885587173349716,0.61446,2.1712302897549884,0.5122
,,65,1.3867067664175692,0.61697,2.120158076286316,0.5167
,,66,1.3856350409862634,0.61573,2.4084744287442557,0.4604
