Clean Accuracy,67.29,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,18.994,1,5.158253548395298,0.01856,4.672990877417069,0.0527
shot_noise,24.162,2,4.502193335986808,0.073,4.011615928215317,0.127
impulse_noise,19.878,3,4.0304707386304655,0.13435,3.6306056025662,0.1927
defocus_blur,27.532,4,3.6530515690288885,0.1916,3.2134182920938805,0.2631
glass_blur,25.372,5,3.3420357405377166,0.24426,2.9700841858417175,0.3073
motion_blur,35.63,6,3.104973916507438,0.28901,2.9537273539772517,0.3217
zoom_blur,33.544,7,2.9385579781763997,0.31953,2.7533440333378465,0.3566
snow,33.896,8,2.7792758789208842,0.34909,2.6326676773119577,0.3848
frost,37.816,9,2.6539017370594737,0.37381,2.6510654235187965,0.3797
fog,41.108,10,2.548328190508401,0.39653,2.3350081081631817,0.4358
brightness,44.722,11,2.462306006180356,0.41483,2.47808624068393,0.4048
contrast,26.054,12,2.378740064628289,0.42829,2.3262385899507545,0.4427
elastic_transform,43.92,13,2.3062511222136903,0.44524,2.290187115156198,0.448
pixelate,42.484,14,2.249783812886309,0.45799,2.162481320055225,0.4788
jpeg_compression,45.946,15,2.2007641191677667,0.46699,2.270124125329754,0.461
speckle_noise,18.434,16,2.1470103797400393,0.477,2.195736117000821,0.471
gaussian_blur,28.236,17,2.104528016598938,0.48759,2.055304584623892,0.5043
spatter,33.83,18,2.055207141372554,0.49633,2.0540695220609253,0.5043
saturate,42.112,19,2.0168749472064436,0.5037,2.018506572216372,0.5164
Average,32.82473684210526,20,1.9900127602050373,0.51147,2.0668958493425875,0.5058
,,21,1.9536987320541421,0.51903,2.0886195045483262,0.5026
,,22,1.9213714880101822,0.52418,2.026928168308886,0.5097
,,23,1.8993122937429288,0.53005,2.027585341960569,0.5086
,,24,1.8750093185993106,0.53499,2.0347126239462745,0.5141
,,25,1.8448113748789443,0.54076,2.0067333835589736,0.5264
,,26,1.823087180819353,0.54505,1.9974287461630906,0.5301
,,27,1.8016532089399255,0.54884,1.989141739621947,0.5308
,,28,1.771406399319544,0.55683,1.971580510652518,0.5259
,,29,1.7609924951477733,0.55743,2.0396251255952857,0.5197
,,30,1.7440589684659562,0.56026,1.9664994251878956,0.5284
,,31,1.7200083917059252,0.56793,1.8427966040900992,0.5604
,,32,1.6978369957345831,0.57153,2.041182708136643,0.5218
,,33,1.6892774432821347,0.57396,1.983486762529687,0.5329
,,34,1.6659343606980561,0.5798,1.9645764397669443,0.533
,,35,1.6508990224365079,0.57998,1.9020163039617901,0.5426
,,36,1.639431636199317,0.58426,1.9442440678801718,0.5437
,,37,1.6156259987055492,0.58863,1.8505991048450712,0.5542
,,38,1.6089820412113844,0.59062,1.913954824586458,0.5447
,,39,1.5908967277887838,0.59624,2.0170166054858436,0.5266
,,40,1.5837029988503517,0.59875,1.9431368618071834,0.5445
,,41,1.5701472989433563,0.60058,1.911630097823807,0.5496
,,42,1.5530201208865857,0.60261,1.8933124217805983,0.5596
,,43,1.5477408708818734,0.60578,1.9317106627210785,0.5504
,,44,1.5299558942885045,0.60809,1.9812252883669697,0.5456
,,45,1.5256039061204856,0.60909,1.846948975249182,0.56
,,46,1.5103175516628549,0.61401,1.8559756656236286,0.5666
,,47,1.506161087614191,0.61326,1.979230821887149,0.5465
,,48,1.4973993137516939,0.61556,1.8743527335456656,0.5576
,,49,1.4865959998591782,0.61899,1.9744040558609781,0.5428
,,50,1.4763117659732203,0.61964,1.890446112880224,0.5611
,,51,1.4619726351917248,0.62203,2.0014319050161142,0.55
,,52,1.458092835553162,0.62421,1.843149946460241,0.5765
,,53,1.446127358909763,0.62772,1.8720695059510726,0.5631
,,54,1.4382114066644702,0.62948,1.9131606296647954,0.5581
,,55,1.4336241950159487,0.62962,2.06463810386537,0.5425
,,56,1.4203059993436575,0.63355,1.9054837158963651,0.5679
,,57,1.4208528819443929,0.63264,1.9557699659202672,0.5539
,,58,1.404160098651486,0.63755,1.9353695262836506,0.5595
,,59,1.3952185409453215,0.63776,2.078561678717408,0.5383
,,60,1.3907135714350454,0.64098,1.9486039265801636,0.5574
,,61,1.3859443855864921,0.6429,1.9331394773495347,0.5689
,,62,1.371390029673686,0.64413,1.9353407500665398,0.5568
,,63,1.3690351475687588,0.64523,1.872147317928604,0.5725
,,64,1.354056885785154,0.64785,1.9381244891806493,0.5572
,,65,1.3551704927783488,0.64882,1.9779054341436941,0.5556
,,66,1.3492759350315688,0.64974,1.9408538333977325,0.5583
,,67,1.341968881199732,0.6492,1.9292269937599762,0.5655
,,68,1.3281207863632065,0.65338,1.8950666566438312,0.5706
,,69,1.3325270464658128,0.65194,1.8766951530794553,0.5712
,,70,1.3177293677769049,0.65618,1.9682232760175873,0.554
,,71,1.3059783120594366,0.65889,1.9049826030489765,0.5689
,,72,1.3032509512303736,0.65987,1.931538900242576,0.5763
,,73,1.2892618903418636,0.6631,1.8588364071483854,0.5755
,,74,1.293607385948186,0.66217,1.8376970887184143,0.5821
,,75,1.2721970303131795,0.66705,1.8805986084515536,0.573
,,76,1.279932747716489,0.66595,1.9142593764051605,0.5719
,,77,1.2729137369129053,0.66605,1.914735648450972,0.5752
,,78,1.2643715436653713,0.66892,1.9292678825462921,0.5706
,,79,1.2615818726589612,0.66812,2.020513522474072,0.5571
,,80,1.2490289384294349,0.67196,1.972442012044448,0.5678
,,81,1.2504619648084616,0.67082,1.8928415873382665,0.5777
,,82,1.2393117024160711,0.67443,1.8461782275875913,0.5881
,,83,1.2312267010321702,0.67554,1.9211451335798335,0.5674
,,84,1.2260124017972776,0.6783,1.913304977779147,0.5807
,,85,1.2197776903276858,0.67764,1.9708726994598968,0.5648
,,86,1.216368512653024,0.68031,1.970640895487387,0.5666
,,87,1.216079176996675,0.68042,1.9197904746743697,0.5678
,,88,1.1999093221733943,0.68446,1.929564823832693,0.5785
,,89,1.1907379766711799,0.68574,2.0933554278144353,0.5466
,,90,1.1968543733019963,0.68671,1.9205914947051037,0.5716
,,91,1.1799486880107304,0.68906,1.8582417987569977,0.5865
,,92,1.1775715761934704,0.69,1.9357999804653698,0.5736
,,93,1.1739349708990063,0.68854,1.914056482194345,0.5829
,,94,1.1593725563162733,0.69392,1.9107941532436805,0.5763
,,95,1.1524272897969121,0.6955,1.848861601533769,0.5893
,,96,1.1542496460935343,0.69438,1.9083926715428317,0.5854
,,97,1.1499236762676093,0.69557,1.985631637935397,0.5621
,,98,1.1447551402137102,0.69559,1.8961653467975086,0.5796
,,99,1.1404885927124706,0.69847,1.974319373505025,0.5682
,,100,1.1274807074338273,0.70087,1.9014287862596633,0.5775
,,101,1.1203004479255823,0.70364,1.9611308770843698,0.5723
,,102,1.1295167392172167,0.70023,1.9354705289949345,0.5702
,,103,1.1055768510264814,0.7074,2.040778346454041,0.566
,,104,1.1060683042039652,0.70612,2.0437963054149964,0.5601
,,105,1.0965161070494396,0.70902,1.9740490830397304,0.5791
,,106,1.1017844582457677,0.70812,2.054912246480773,0.555
,,107,1.0782921309666256,0.71095,1.9196823028069507,0.5809
,,108,1.0809241994415097,0.71216,2.0133636888069444,0.565
,,109,1.0813181455940237,0.71201,1.9210142259356342,0.5841
,,110,1.0582800149307836,0.71809,1.983734931372389,0.5746
,,111,1.061006386871533,0.71674,1.9179773149611075,0.5842
,,112,1.0597784802736834,0.71706,1.9971373956414717,0.5804
,,113,1.0444305318853129,0.72237,1.9393084743354894,0.5822
,,114,1.0493032625111778,0.72089,1.9408050270020207,0.5808
,,115,1.0419223992263569,0.72127,1.922351979756657,0.5794
,,116,1.0334636315207957,0.72438,1.9851684260971938,0.5729
,,117,1.0267047085572996,0.72576,1.9157020208201831,0.5913
,,118,1.0164195506469063,0.72849,1.982159690766395,0.5835
,,119,1.010375962080553,0.73088,2.028473951394045,0.5808
,,120,1.0109589970325266,0.72936,1.9820318976535072,0.5801
,,121,1.003525797134775,0.73267,1.9022868479354471,0.5898
,,122,0.9897320685941545,0.73437,1.8943660078169424,0.5861
,,123,0.9878922931068693,0.73556,2.0142510359800316,0.5738
,,124,0.9847025325536118,0.73619,1.9409916544262367,0.5852
,,125,0.9830188784757843,0.73454,2.0887603405155715,0.5731
,,126,0.9743809597114163,0.73891,2.0397727836536457,0.575
,,127,0.9696493560395887,0.74058,2.03889952656589,0.5727
,,128,0.9527481399533694,0.74436,1.8912371117857438,0.599
,,129,0.9502052369401278,0.74562,1.9516555953629409,0.5879
,,130,0.9462977673696435,0.74528,1.9389130473136902,0.5873
,,131,0.949026291403929,0.74541,1.9856978262527079,0.5863
,,132,0.9408250537979633,0.74757,1.9491291000873228,0.5927
,,133,0.9325847365057377,0.74934,1.979781513727164,0.5839
,,134,0.9175204703265138,0.75216,2.07479875298995,0.577
,,135,0.924950599365527,0.75139,1.9614536709423307,0.5958
,,136,0.9099133326421918,0.75578,2.0257547309127033,0.5813
,,137,0.9053939917813176,0.75685,1.9823214230658133,0.5859
,,138,0.9011631252058326,0.75784,2.0062701853015756,0.5861
,,139,0.8854078226687049,0.76192,2.004944796049142,0.5821
,,140,0.8750887959814437,0.76359,2.0383286747751357,0.5825
,,141,0.8825035549109549,0.76279,2.1028501844104333,0.5806
,,142,0.8674760485244224,0.7662,2.0078291296958923,0.5911
,,143,0.8616433952699232,0.76721,2.0789143790172626,0.5809
,,144,0.8527537464638195,0.76917,1.909676510321943,0.5999
,,145,0.8556401119055346,0.76908,2.063803002049651,0.582
,,146,0.8469229078353824,0.77118,1.9654675820205785,0.59
,,147,0.8376469022172797,0.77324,2.009092186825185,0.596
,,148,0.8362586030646053,0.77382,2.0176398769209656,0.5846
,,149,0.8345212624277301,0.77443,1.9732981505273264,0.6002
,,150,0.8158715050238783,0.77922,1.9473214262648473,0.6084
,,151,0.8126279314994203,0.78105,1.9022600869589215,0.6043
,,152,0.8124392378665602,0.78126,2.015419445460356,0.5959
,,153,0.8133480774472132,0.78012,1.8633291457272783,0.6105
,,154,0.7975025074103909,0.78556,2.0207175220115277,0.5912
,,155,0.7917978536823521,0.78784,1.9779207600822932,0.6015
,,156,0.7737304573626165,0.79113,1.9899763985525203,0.5955
,,157,0.7764713534003939,0.79021,1.9430617939067791,0.5983
,,158,0.7771791720862888,0.78991,1.9559937541997885,0.6045
