Clean Accuracy,64.83,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,20.564,1,4.303958159578426,0.04619,4.569207789022712,0.0681
shot_noise,25.4,2,3.7181004868139085,0.11693,4.697309958783886,0.0862
impulse_noise,24.594,3,3.383778169331953,0.17467,5.314649222772332,0.0811
defocus_blur,27.98,4,3.145570579697104,0.21982,4.024002829684487,0.1773
glass_blur,22.28,5,2.9619527975921436,0.25685,3.5811867970454543,0.2338
motion_blur,33.29,6,2.8307717660503924,0.285,3.135951523539386,0.2936
zoom_blur,32.328,7,2.7106118604655154,0.31001,3.003263879425918,0.3431
snow,31.778,8,2.6212404396222984,0.33004,2.926766309557082,0.3497
frost,35.044,9,2.5382016174628608,0.3471,2.7751439764529846,0.3629
fog,35.556,10,2.4659577906893952,0.36341,2.818873055373566,0.3712
brightness,41.696,11,2.4163525372819827,0.37578,2.6288792483414274,0.4037
contrast,20.606,12,2.3565926977130762,0.38686,2.4549767654153367,0.4285
elastic_transform,40.228,13,2.3141740173330088,0.39887,2.3766748014884658,0.4364
pixelate,43.194,14,2.272702976718278,0.40769,2.368872561032259,0.4389
jpeg_compression,42.634,15,2.229914808059897,0.41843,2.407874532138245,0.4356
speckle_noise,21.542,16,2.2036663397498755,0.42447,2.6057040299041363,0.4234
gaussian_blur,29.26,17,2.178592564352333,0.42915,2.535429995271224,0.4326
spatter,35.182,18,2.1486198196325765,0.4359,2.747082486937318,0.4026
saturate,37.9,19,2.123437370790545,0.44094,2.43491887744469,0.4553
Average,31.634526315789476,20,2.0957428877006103,0.44867,2.2709269048292424,0.4731
,,21,2.0863849689893406,0.45188,2.415480150452143,0.4548
,,22,2.0619523281331564,0.45765,2.3625617540335355,0.4645
,,23,2.040237895363127,0.4645,2.322439162037041,0.4614
,,24,2.024914226111244,0.46523,2.3105214245711703,0.4801
,,25,1.9989612645200452,0.47151,2.329048579252219,0.4697
,,26,1.9928043515176115,0.47355,2.2847124006174786,0.4804
,,27,1.9818451040236236,0.47648,2.2736943937555143,0.4851
,,28,1.9643614103117257,0.47933,2.2353911777085895,0.4881
,,29,1.9521633394234015,0.48379,2.253732014305984,0.4915
,,30,1.9349551088059955,0.48717,2.145363566241687,0.5029
,,31,1.929965448806353,0.48863,2.180296253554429,0.5081
,,32,1.9230566236674023,0.49051,2.123925126051601,0.5113
,,33,1.9099905195138644,0.49277,2.231415244597423,0.4876
,,34,1.8989518246687282,0.49471,2.2254069432427612,0.5001
,,35,1.8904035592932835,0.49802,2.073507279534883,0.5221
,,36,1.8813906915657355,0.4998,2.2145493121086797,0.4945
,,37,1.8727143199547478,0.50183,2.1725765210163743,0.5094
,,38,1.8708575448721572,0.50189,2.22938887831531,0.502
,,39,1.8539396940594743,0.50604,2.2554840958571134,0.4948
,,40,1.8507356038483818,0.50676,2.155300416523897,0.503
,,41,1.8440862881862903,0.50971,2.3172968188418617,0.491
,,42,1.8340682590099247,0.51189,2.214891458613963,0.4916
,,43,1.831414031403144,0.51205,2.255428424364404,0.5045
,,44,1.8218549503694714,0.51267,2.4914708273320256,0.4642
,,45,1.8145542881068062,0.51518,2.0387017394922955,0.5322
,,46,1.8085232794742145,0.51664,2.406398413302023,0.4715
,,47,1.8010225180164932,0.51768,2.213314988945104,0.5047
,,48,1.7967197512421766,0.51872,2.3730304029923452,0.4817
,,49,1.7884171531938227,0.52148,2.262768614141247,0.5081
,,50,1.7869514040934764,0.52208,2.070102083532116,0.5156
,,51,1.7803168700784064,0.52457,2.265701674207856,0.4942
,,52,1.7771357104296575,0.52492,2.1466658983049514,0.5214
,,53,1.7707455906721636,0.52648,2.087053591691995,0.5272
,,54,1.7688790055187158,0.52756,2.1343227089205876,0.5178
,,55,1.7616557013958007,0.52902,2.162145755713499,0.5134
,,56,1.7560023462680905,0.52975,2.080782040010525,0.5305
,,57,1.7476773379403916,0.53219,2.0281893369517747,0.5453
,,58,1.7422014918473676,0.53355,2.085448641565782,0.5323
,,59,1.7400640778224488,0.53531,2.351827323436737,0.495
,,60,1.7326422216337356,0.53504,2.14476850968373,0.5268
,,61,1.7278369235260713,0.537,2.2525353869305382,0.5033
,,62,1.7237231519521046,0.53802,2.1138385504106934,0.5304
,,63,1.7179011635463257,0.53813,2.083133560192736,0.5351
,,64,1.7123664573330404,0.54071,2.1771962446502493,0.5241
,,65,1.7132675623344948,0.54167,2.0009577387495887,0.5461
,,66,1.7088262923538227,0.54139,2.1992295263688777,0.5092
,,67,1.7046001437679885,0.54222,2.23691331887547,0.512
,,68,1.6954611611488226,0.5461,2.185404879382894,0.5123
,,69,1.699115041881571,0.54369,2.028307215322422,0.5335
,,70,1.6934877623377553,0.54532,2.1184681495533715,0.5306
,,71,1.6823990137680718,0.54973,2.3805815660500826,0.4937
,,72,1.6811786760454592,0.54895,2.2211617276638367,0.5082
,,73,1.684098343257709,0.54681,2.083777120596246,0.5287
,,74,1.6733405663229315,0.55027,2.177501012252856,0.5249
