Clean Accuracy,65.11,Epoch,Train Loss,Train Acc,Test Loss,Test Acc
gaussian_noise,18.878,1,4.104127584515935,0.04155,4.62692994105665,0.0669
shot_noise,23.326,2,3.545232878926465,0.11292,4.230944386011438,0.1196
impulse_noise,23.784,3,3.2060424943104424,0.16954,3.8716423420966426,0.1682
defocus_blur,21.616,4,2.9795098109623357,0.21369,3.6678545791891555,0.1978
glass_blur,20.93,5,2.801104813585501,0.25182,3.657091382183606,0.2146
motion_blur,26.352,6,2.6595221181659747,0.28327,3.053478396391567,0.3109
zoom_blur,25.328,7,2.5515015445401907,0.30757,2.920122759251655,0.342
snow,29.89,8,2.4556811371117906,0.32845,3.0402914391288274,0.3328
frost,33.108,9,2.37245936985211,0.34922,2.8861790382409396,0.3538
fog,31.438,10,2.307043557276811,0.36288,2.770304289045213,0.3782
brightness,37.764,11,2.256922842596498,0.37551,2.7052073916302453,0.3865
contrast,17.252,12,2.198778406433437,0.38964,2.6382224333437185,0.4043
elastic_transform,34.292,13,2.157574868872952,0.39864,2.686007136031042,0.3959
pixelate,39.612,14,2.1200354384339373,0.40805,2.424180438246908,0.4508
jpeg_compression,39.534,15,2.084703417232884,0.41609,2.600911908511874,0.4238
speckle_noise,19.648,16,2.053825166371777,0.42624,2.998897952369497,0.3759
gaussian_blur,22.342,17,2.0336323878954135,0.42764,2.565701887577395,0.42
spatter,32.038,18,2.0037269958144868,0.43516,2.3891862842101084,0.4561
saturate,33.534,19,1.976096629943994,0.44318,2.450871580009219,0.4444
Average,27.929789473684213,20,1.959431278126319,0.44638,2.3168740136713923,0.4719
,,21,1.9414693655260384,0.45015,2.5099396675447876,0.4483
,,22,1.9210944561397327,0.45859,2.652906345415719,0.4292
,,23,1.9034460045187676,0.46066,2.5061523295656034,0.4417
,,24,1.891139999070131,0.46357,2.5622618922704383,0.4272
,,25,1.8738284350356178,0.4687,2.256850466698031,0.491
,,26,1.8554236497110723,0.47274,2.213718306414689,0.4868
,,27,1.8494406551351328,0.47732,2.395935985106456,0.4719
,,28,1.83119276737618,0.47971,2.2634801819354675,0.4894
,,29,1.8255024364842174,0.47948,2.356101558178286,0.4637
,,30,1.8103249155346999,0.48436,2.333109300347823,0.4727
,,31,1.79247550738742,0.48941,2.179323668721356,0.4906
,,32,1.7864499892420171,0.49064,2.1631123333037654,0.507
,,33,1.7836185065681671,0.49287,2.3078310368936275,0.488
,,34,1.7760680371233264,0.49225,2.2550759104233755,0.4942
,,35,1.761837854257325,0.49493,2.205018587504761,0.4944
,,36,1.758403114498119,0.49684,2.151600074918964,0.5117
,,37,1.7435982437694775,0.50019,2.1539137665229506,0.514
,,38,1.7436272480603678,0.50104,2.3336897620671913,0.488
,,39,1.7367225283247125,0.50164,2.185665457309047,0.5111
,,40,1.7256760591131342,0.5047,2.259513483771795,0.4981
,,41,1.7237035292188834,0.50619,2.3457199320008484,0.4841
,,42,1.712006506102774,0.5097,2.287293570705607,0.493
,,43,1.7054830342912308,0.51013,2.181484350675269,0.5053
,,44,1.700615359236822,0.51227,2.2766543219361126,0.5
,,45,1.6919208891556392,0.51377,2.120419231396687,0.5335
,,46,1.683109586348619,0.51537,2.203529524652264,0.5066
,,47,1.6807768389087199,0.51505,2.205707965017874,0.5168
,,48,1.6733583554892284,0.52036,2.2587919853910616,0.5135
,,49,1.6749915226036325,0.51882,2.3386292789555805,0.4938
,,50,1.6689177039639114,0.52083,2.045967179763166,0.5311
,,51,1.6606529464807047,0.52219,2.1769373069835614,0.5134
,,52,1.6549828139412435,0.52332,2.2274135886868343,0.5035
,,53,1.6543200343771054,0.52293,2.327520101130763,0.5129
,,54,1.6515577019328047,0.52461,2.374885293501842,0.4915
,,55,1.6429615947596556,0.52639,2.141326190550116,0.5218
,,56,1.6372718015290282,0.52696,2.1821935689902006,0.5101
,,57,1.623922646655451,0.53148,2.1088531092752385,0.5304
,,58,1.6311588517540252,0.52701,2.11236035823822,0.5252
,,59,1.6200938956511906,0.53195,2.8081525036051302,0.432
,,60,1.6215555413299814,0.53306,2.2458582950543753,0.5057
,,61,1.6163778004743863,0.53279,2.2886656439757047,0.496
,,62,1.6117202420063945,0.5356,2.24865455793429,0.511
,,63,1.6081875712060563,0.53382,2.104302478741996,0.5232
,,64,1.5944934283071162,0.53894,2.3448662146737305,0.4969
,,65,1.6006919404734736,0.53713,2.3675293273563627,0.5058
,,66,1.5886894836450172,0.54018,2.0524722979038574,0.5369
,,67,1.594228645572272,0.53977,2.334257211111769,0.489
,,68,1.580365998665695,0.54084,2.3276890259754808,0.4947
,,69,1.5775797542403727,0.54431,2.147881774208214,0.5369
,,70,1.5792693658862882,0.54163,2.131878359408318,0.5291
,,71,1.5693256074510267,0.54152,2.0659435210348684,0.5242
,,72,1.5658039647295041,0.54537,2.100257509871374,0.5335
,,73,1.57111958347623,0.54614,2.2845848828931397,0.5074
,,74,1.5621703387526296,0.54632,2.2448246939272822,0.5187
,,75,1.5587740256963178,0.54582,2.1359688790538645,0.5184
,,76,1.5534050386884939,0.55007,2.1041696682760986,0.5337
,,77,1.5494771064699764,0.55046,2.2076094648506066,0.5286
